id,item_id,item,agreement_response,agreement_rt,null_resp
10211,1,I never want to be sad again. ,2,4407,0
10211,2,I feel that occasional sadness is important. ,-2,7428,0
10211,3,I enjoy feeling melancholy sometimes.,-1,3394,0
10211,4,It is not always bad to feel low. ,0,2614,0
10211,5,It is never good to feel low. ,2,3180,0
10211,6,When I  feel low I can see things more clearly.,-1,1954,0
10211,7,Feeling sad sometimes is part of normal life,1,2352,0
10211,8,I have learnt a lot about myself by being happy. ,1,2519,0
10211,9,I have learnt a lot about myself by being sad. ,-1,5257,0
10211,10,How one feels is not the most important thing. ,-2,3412,0
10211,11,"I am always trying to be myself, even if this makes me feel low.",-1,2257,0
10211,12,Feeling anger is always good. ,-2,2106,0
10211,13,Feeling anger is never good. ,-1,2312,0
10211,14,Anger can be important in life.,0,3518,0
10213,1,I never want to be sad again. ,-1,6219,0
10213,2,I feel that occasional sadness is important. ,1,1978,0
10213,3,I enjoy feeling melancholy sometimes.,-2,3363,0
10213,4,It is not always bad to feel low. ,1,7488,0
10213,5,It is never good to feel low. ,-1,1712,0
10213,6,When I  feel low I can see things more clearly.,-1,6086,0
10213,7,Feeling sad sometimes is part of normal life,2,4128,0
10213,8,I have learnt a lot about myself by being happy. ,2,19254,0
10213,9,I have learnt a lot about myself by being sad. ,1,3610,0
10213,10,How one feels is not the most important thing. ,-1,3654,0
10213,11,"I am always trying to be myself, even if this makes me feel low.",-2,5888,0
10213,12,Feeling anger is always good. ,2,2293,0
10213,13,Feeling anger is never good. ,-1,1913,0
10213,14,Anger can be important in life.,1,2969,0
10214,1,I never want to be sad again. ,-2,2796,0
10214,2,I feel that occasional sadness is important. ,2,8035,0
10214,3,I enjoy feeling melancholy sometimes.,1,6368,0
10214,4,It is not always bad to feel low. ,1,6548,0
10214,5,It is never good to feel low. ,-2,4213,0
10214,6,When I  feel low I can see things more clearly.,1,6743,0
10214,7,Feeling sad sometimes is part of normal life,1,6886,0
10214,8,I have learnt a lot about myself by being happy. ,1,1778,0
10214,9,I have learnt a lot about myself by being sad. ,1,9079,0
10214,10,How one feels is not the most important thing. ,-1,2740,0
10214,11,"I am always trying to be myself, even if this makes me feel low.",2,18169,0
10214,12,Feeling anger is always good. ,-1,4315,0
10214,13,Feeling anger is never good. ,-2,16825,0
10214,14,Anger can be important in life.,1,20298,0
10215,1,I never want to be sad again. ,0,2870,0
10215,2,I feel that occasional sadness is important. ,1,2033,0
10215,3,I enjoy feeling melancholy sometimes.,1,2336,0
10215,4,It is not always bad to feel low. ,0,15448,0
10215,5,It is never good to feel low. ,0,1586,0
10215,6,When I  feel low I can see things more clearly.,-1,4213,0
10215,7,Feeling sad sometimes is part of normal life,1,1249,0
10215,8,I have learnt a lot about myself by being happy. ,1,4273,0
10215,9,I have learnt a lot about myself by being sad. ,1,2108,0
10215,10,How one feels is not the most important thing. ,-1,7519,0
10215,11,"I am always trying to be myself, even if this makes me feel low.",-1,6355,0
10215,12,Feeling anger is always good. ,0,6445,0
10215,13,Feeling anger is never good. ,-1,2547,0
10215,14,Anger can be important in life.,1,2572,0
10216,1,I never want to be sad again. ,1,7013,0
10216,2,I feel that occasional sadness is important. ,1,10110,0
10216,3,I enjoy feeling melancholy sometimes.,0,3355,0
10216,4,It is not always bad to feel low. ,1,2855,0
10216,5,It is never good to feel low. ,-1,4826,0
10216,6,When I  feel low I can see things more clearly.,0,32484,0
10216,7,Feeling sad sometimes is part of normal life,2,11726,0
10216,8,I have learnt a lot about myself by being happy. ,2,5894,0
10216,9,I have learnt a lot about myself by being sad. ,1,5355,0
10216,10,How one feels is not the most important thing. ,-1,13266,0
10216,11,"I am always trying to be myself, even if this makes me feel low.",1,361655,0
10216,12,Feeling anger is always good. ,-1,5161,0
10216,13,Feeling anger is never good. ,-1,3763,0
10216,14,Anger can be important in life.,1,42539,0
10217,1,I never want to be sad again. ,2,1039,0
10217,2,I feel that occasional sadness is important. ,1,2946,0
10217,3,I enjoy feeling melancholy sometimes.,0,1772,0
10217,4,It is not always bad to feel low. ,1,4208,0
10217,5,It is never good to feel low. ,-1,2865,0
10217,6,When I  feel low I can see things more clearly.,0,8370,0
10217,7,Feeling sad sometimes is part of normal life,1,2673,0
10217,8,I have learnt a lot about myself by being happy. ,1,1844,0
10217,9,I have learnt a lot about myself by being sad. ,2,4764,0
10217,10,How one feels is not the most important thing. ,2,3615,0
10217,11,"I am always trying to be myself, even if this makes me feel low.",1,3473,0
10217,12,Feeling anger is always good. ,-1,2938,0
10217,13,Feeling anger is never good. ,2,3040,0
10217,14,Anger can be important in life.,-1,2762,0
10223,1,I never want to be sad again. ,0,41958,0
10223,2,I feel that occasional sadness is important. ,1,3656,0
10223,3,I enjoy feeling melancholy sometimes.,0,20658,0
10223,4,It is not always bad to feel low. ,1,5391,0
10223,5,It is never good to feel low. ,-1,5306,0
10223,6,When I  feel low I can see things more clearly.,-1,11766,0
10223,7,Feeling sad sometimes is part of normal life,2,3652,0
10223,8,I have learnt a lot about myself by being happy. ,1,6292,0
10223,9,I have learnt a lot about myself by being sad. ,2,23805,0
10223,10,How one feels is not the most important thing. ,-1,5053,0
10223,11,"I am always trying to be myself, even if this makes me feel low.",1,9425,0
10223,12,Feeling anger is always good. ,-2,5170,0
10223,13,Feeling anger is never good. ,0,7533,0
10223,14,Anger can be important in life.,1,3187,0
10224,1,I never want to be sad again. ,-1,2418,0
10224,2,I feel that occasional sadness is important. ,1,2595,0
10224,3,I enjoy feeling melancholy sometimes.,1,3447,0
10224,4,It is not always bad to feel low. ,1,2290,0
10224,5,It is never good to feel low. ,-1,3318,0
10224,6,When I  feel low I can see things more clearly.,-1,7479,0
10224,7,Feeling sad sometimes is part of normal life,1,1867,0
10224,8,I have learnt a lot about myself by being happy. ,2,4889,0
10224,9,I have learnt a lot about myself by being sad. ,1,4156,0
10224,10,How one feels is not the most important thing. ,1,10284,0
10224,11,"I am always trying to be myself, even if this makes me feel low.",1,5064,0
10224,12,Feeling anger is always good. ,-2,12611,0
10224,13,Feeling anger is never good. ,-2,3645,0
10224,14,Anger can be important in life.,1,2181,0
10225,1,I never want to be sad again. ,0,2354,0
10225,2,I feel that occasional sadness is important. ,0,2750,0
10225,3,I enjoy feeling melancholy sometimes.,0,4132,0
10225,4,It is not always bad to feel low. ,0,2931,0
10225,5,It is never good to feel low. ,0,2838,0
10225,6,When I  feel low I can see things more clearly.,-1,3301,0
10225,7,Feeling sad sometimes is part of normal life,1,2031,0
10225,8,I have learnt a lot about myself by being happy. ,1,1583,0
10225,9,I have learnt a lot about myself by being sad. ,0,7483,0
10225,10,How one feels is not the most important thing. ,0,2849,0
10225,11,"I am always trying to be myself, even if this makes me feel low.",0,6535,0
10225,12,Feeling anger is always good. ,-1,1680,0
10225,13,Feeling anger is never good. ,0,3202,0
10225,14,Anger can be important in life.,0,1245,0
10226,1,I never want to be sad again. ,0,4776,0
10226,2,I feel that occasional sadness is important. ,-1,4974,0
10226,3,I enjoy feeling melancholy sometimes.,1,2935,0
10226,4,It is not always bad to feel low. ,-2,4057,0
10226,5,It is never good to feel low. ,-2,1354,0
10226,6,When I  feel low I can see things more clearly.,0,6863,0
10226,7,Feeling sad sometimes is part of normal life,1,3167,0
10226,8,I have learnt a lot about myself by being happy. ,2,1763,0
10226,9,I have learnt a lot about myself by being sad. ,1,6992,0
10226,10,How one feels is not the most important thing. ,-2,6411,0
10226,11,"I am always trying to be myself, even if this makes me feel low.",1,4240,0
10226,12,Feeling anger is always good. ,-2,9174,0
10226,13,Feeling anger is never good. ,-1,4650,0
10226,14,Anger can be important in life.,-2,5813,0
10227,1,I never want to be sad again. ,-1,2208,0
10227,2,I feel that occasional sadness is important. ,1,1282,0
10227,3,I enjoy feeling melancholy sometimes.,1,8650,0
10227,4,It is not always bad to feel low. ,1,4366,0
10227,5,It is never good to feel low. ,0,1555,0
10227,6,When I  feel low I can see things more clearly.,1,3619,0
10227,7,Feeling sad sometimes is part of normal life,2,4210,0
10227,8,I have learnt a lot about myself by being happy. ,2,3066,0
10227,9,I have learnt a lot about myself by being sad. ,2,1857,0
10227,10,How one feels is not the most important thing. ,0,3073,0
10227,11,"I am always trying to be myself, even if this makes me feel low.",1,5595,0
10227,12,Feeling anger is always good. ,0,2456,0
10227,13,Feeling anger is never good. ,-1,1070,0
10227,14,Anger can be important in life.,1,1023,0
10228,1,I never want to be sad again. ,0,5620,0
10228,2,I feel that occasional sadness is important. ,2,4028,0
10228,3,I enjoy feeling melancholy sometimes.,2,2606,0
10228,4,It is not always bad to feel low. ,1,3734,0
10228,5,It is never good to feel low. ,-1,3618,0
10228,6,When I  feel low I can see things more clearly.,-1,2840,0
10228,7,Feeling sad sometimes is part of normal life,2,3980,0
10228,8,I have learnt a lot about myself by being happy. ,0,5409,0
10228,9,I have learnt a lot about myself by being sad. ,1,3415,0
10228,10,How one feels is not the most important thing. ,2,778,0
10228,11,"I am always trying to be myself, even if this makes me feel low.",0,8941,0
10228,12,Feeling anger is always good. ,-2,1949,0
10228,13,Feeling anger is never good. ,0,6799,0
10228,14,Anger can be important in life.,1,5796,0
10229,1,I never want to be sad again. ,2,4005,0
10229,2,I feel that occasional sadness is important. ,-1,8805,0
10229,3,I enjoy feeling melancholy sometimes.,-2,16215,0
10229,4,It is not always bad to feel low. ,1,5801,0
10229,5,It is never good to feel low. ,0,13620,0
10229,6,When I  feel low I can see things more clearly.,-1,2434,0
10229,7,Feeling sad sometimes is part of normal life,-2,8225,0
10229,8,I have learnt a lot about myself by being happy. ,2,6123,0
10229,9,I have learnt a lot about myself by being sad. ,1,1094,0
10229,10,How one feels is not the most important thing. ,1,3715,0
10229,11,"I am always trying to be myself, even if this makes me feel low.",1,24460,0
10229,12,Feeling anger is always good. ,-2,8132,0
10229,13,Feeling anger is never good. ,1,6007,0
10229,14,Anger can be important in life.,-1,2652,0
10230,1,I never want to be sad again. ,-1,2647,0
10230,2,I feel that occasional sadness is important. ,1,1510,0
10230,3,I enjoy feeling melancholy sometimes.,0,3279,0
10230,4,It is not always bad to feel low. ,1,8076,0
10230,5,It is never good to feel low. ,-1,4965,0
10230,6,When I  feel low I can see things more clearly.,-1,10182,0
10230,7,Feeling sad sometimes is part of normal life,2,3602,0
10230,8,I have learnt a lot about myself by being happy. ,0,880,0
10230,9,I have learnt a lot about myself by being sad. ,0,1705,0
10230,10,How one feels is not the most important thing. ,-1,6258,0
10230,11,"I am always trying to be myself, even if this makes me feel low.",1,1195,0
10230,12,Feeling anger is always good. ,0,5814,0
10230,13,Feeling anger is never good. ,-1,1858,0
10230,14,Anger can be important in life.,1,5482,0
10231,1,I never want to be sad again. ,1,11309,0
10231,2,I feel that occasional sadness is important. ,1,2547,0
10231,3,I enjoy feeling melancholy sometimes.,0,4828,0
10231,4,It is not always bad to feel low. ,1,2757,0
10231,5,It is never good to feel low. ,0,47705,0
10231,6,When I  feel low I can see things more clearly.,-1,3673,0
10231,7,Feeling sad sometimes is part of normal life,2,2885,0
10231,8,I have learnt a lot about myself by being happy. ,-1,11650,0
10231,9,I have learnt a lot about myself by being sad. ,-1,4910,0
10231,10,How one feels is not the most important thing. ,-1,3287,0
10231,11,"I am always trying to be myself, even if this makes me feel low.",0,3643,0
10231,12,Feeling anger is always good. ,-2,3329,0
10231,13,Feeling anger is never good. ,-1,3766,0
10231,14,Anger can be important in life.,0,2572,0
10232,1,I never want to be sad again. ,-1,6236,0
10232,2,I feel that occasional sadness is important. ,1,3886,0
10232,3,I enjoy feeling melancholy sometimes.,-2,3612,0
10232,4,It is not always bad to feel low. ,1,5409,0
10232,5,It is never good to feel low. ,-2,11837,0
10232,6,When I  feel low I can see things more clearly.,-1,7460,0
10232,7,Feeling sad sometimes is part of normal life,2,18795,0
10232,8,I have learnt a lot about myself by being happy. ,0,951,0
10232,9,I have learnt a lot about myself by being sad. ,0,48516,0
10232,10,How one feels is not the most important thing. ,0,4568,0
10232,11,"I am always trying to be myself, even if this makes me feel low.",-1,3402,0
10232,12,Feeling anger is always good. ,-2,4067,0
10232,13,Feeling anger is never good. ,-1,2971,0
10232,14,Anger can be important in life.,1,5393,0
10233,1,I never want to be sad again. ,0,2347,0
10233,2,I feel that occasional sadness is important. ,1,5186,0
10233,3,I enjoy feeling melancholy sometimes.,0,2428,0
10233,4,It is not always bad to feel low. ,1,3228,0
10233,5,It is never good to feel low. ,-1,2353,0
10233,6,When I  feel low I can see things more clearly.,0,3599,0
10233,7,Feeling sad sometimes is part of normal life,1,3539,0
10233,8,I have learnt a lot about myself by being happy. ,2,5407,0
10233,9,I have learnt a lot about myself by being sad. ,2,4416,0
10233,10,How one feels is not the most important thing. ,0,6390,0
10233,11,"I am always trying to be myself, even if this makes me feel low.",1,5244,0
10233,12,Feeling anger is always good. ,-1,4348,0
10233,13,Feeling anger is never good. ,-1,8394,0
10233,14,Anger can be important in life.,1,2339,0
10234,1,I never want to be sad again. ,0,3373,0
10234,2,I feel that occasional sadness is important. ,2,2274,0
10234,3,I enjoy feeling melancholy sometimes.,1,2153,0
10234,4,It is not always bad to feel low. ,2,3874,0
10234,5,It is never good to feel low. ,-1,3105,0
10234,6,When I  feel low I can see things more clearly.,-1,4690,0
10234,7,Feeling sad sometimes is part of normal life,2,2725,0
10234,8,I have learnt a lot about myself by being happy. ,1,3876,0
10234,9,I have learnt a lot about myself by being sad. ,1,7310,0
10234,10,How one feels is not the most important thing. ,-2,4328,0
10234,11,"I am always trying to be myself, even if this makes me feel low.",-1,6456,0
10234,12,Feeling anger is always good. ,-1,5127,0
10234,13,Feeling anger is never good. ,1,2550,0
10234,14,Anger can be important in life.,0,3239,0
10235,1,I never want to be sad again. ,-1,3967,0
10235,2,I feel that occasional sadness is important. ,1,15047,0
10235,3,I enjoy feeling melancholy sometimes.,-1,3195,0
10235,4,It is not always bad to feel low. ,1,6144,0
10235,5,It is never good to feel low. ,-1,6603,0
10235,6,When I  feel low I can see things more clearly.,-1,20192,0
10235,7,Feeling sad sometimes is part of normal life,2,89132,0
10235,8,I have learnt a lot about myself by being happy. ,2,1750,0
10235,9,I have learnt a lot about myself by being sad. ,2,3928,0
10235,10,How one feels is not the most important thing. ,-1,23948,0
10235,11,"I am always trying to be myself, even if this makes me feel low.",1,13594,0
10235,12,Feeling anger is always good. ,-2,35554,0
10235,13,Feeling anger is never good. ,-1,9166,0
10235,14,Anger can be important in life.,0,9308,0
10236,1,I never want to be sad again. ,-1,7282,0
10236,2,I feel that occasional sadness is important. ,1,2447,0
10236,3,I enjoy feeling melancholy sometimes.,-1,6688,0
10236,4,It is not always bad to feel low. ,-1,6228,0
10236,5,It is never good to feel low. ,-1,3367,0
10236,6,When I  feel low I can see things more clearly.,-1,2990,0
10236,7,Feeling sad sometimes is part of normal life,2,3994,0
10236,8,I have learnt a lot about myself by being happy. ,-1,42103,0
10236,9,I have learnt a lot about myself by being sad. ,1,1660,0
10236,10,How one feels is not the most important thing. ,0,2943,0
10236,11,"I am always trying to be myself, even if this makes me feel low.",1,6653,0
10236,12,Feeling anger is always good. ,-1,7888,0
10236,13,Feeling anger is never good. ,-1,632,0
10236,14,Anger can be important in life.,2,2508,0
10237,1,I never want to be sad again. ,-2,1752,0
10237,2,I feel that occasional sadness is important. ,2,6126,0
10237,3,I enjoy feeling melancholy sometimes.,1,2969,0
10237,4,It is not always bad to feel low. ,2,2913,0
10237,5,It is never good to feel low. ,-2,2671,0
10237,6,When I  feel low I can see things more clearly.,1,2184,0
10237,7,Feeling sad sometimes is part of normal life,2,4254,0
10237,8,I have learnt a lot about myself by being happy. ,2,12632,0
10237,9,I have learnt a lot about myself by being sad. ,2,2153,0
10237,10,How one feels is not the most important thing. ,-1,4886,0
10237,11,"I am always trying to be myself, even if this makes me feel low.",1,5936,0
10237,12,Feeling anger is always good. ,-1,3442,0
10237,13,Feeling anger is never good. ,-2,4089,0
10237,14,Anger can be important in life.,2,1495,0
10239,1,I never want to be sad again. ,1,2498,0
