id,item_id,item,view_response,choice_text,view_rt,null_resp
10211,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6237.0,0
10211,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,8677.0,0
10213,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",9177.0,0
10213,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,5196.0,0
10214,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6655.0,0
10214,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,12101.0,0
10215,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7427.0,0
10215,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,5079.0,0
10216,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",25971.0,0
10216,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,17197.0,0
10217,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",10137.0,0
10217,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,15387.0,0
10223,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7383.0,0
10223,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,16535.0,0
10224,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",13800.0,0
10224,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10744.0,0
10225,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",12767.0,0
10225,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,16333.0,0
10226,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",12217.0,0
10226,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,25579.0,0
10227,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",11601.0,0
10227,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8103.0,0
10228,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",10058.0,0
10228,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10982.0,0
10229,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",10033.0,0
10229,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,12796.0,0
10230,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",4067.0,0
10230,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,17685.0,0
10231,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7266.0,0
10231,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8256.0,0
10232,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",23705.0,0
10232,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,11008.0,0
10233,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",8584.0,0
10233,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,10463.0,0
10234,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",8527.0,0
10234,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8668.0,0
10235,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",3762.0,0
10235,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,49057.0,0
10236,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6994.0,0
10236,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,12352.0,0
10237,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",4855.0,0
10237,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,20119.0,0
10239,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7679.0,0
10239,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12021.0,0
10253,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",32148.0,0
10253,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,43641.0,0
