"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695822046450,"27/09/2023 13:40:46",1695807646450,-4,"27/09/2023 05:40:46",144636,4,"questionnaire-wop8",NA,31896341,9431917,NA,"complete","dpankh","3XUHV3NRVQXOPEMGDB9BDMNOXDMH51","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1-0","1","SUPAMT62293"
"1",1695832809657,"27/09/2023 16:40:09",1695818409657,-4,"27/09/2023 08:40:09",144636,4,"questionnaire-wop8",NA,31896389,9431923,NA,"complete","djmbpp","3PXX5PX6L3XB47VB8FQWZM0CUEIABK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","0-2","3","SUPAMT35697"
"1",1695825774222,"27/09/2023 14:42:54",1695807774222,-5,"27/09/2023 04:42:54",144636,4,"questionnaire-wop8",NA,31896414,9431924,NA,"complete","zevsju","352YTHGRO1C6TVIGZ6Q18UHAXHRH4W","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","1-0","1","SUPAMT79593"
"1",1695822503413,"27/09/2023 13:48:23",1695808103413,-4,"27/09/2023 05:48:23",144636,4,"questionnaire-wop8",NA,31896600,9431959,NA,"complete","oeamun","3TVRFO09GQEZDTPGA274XX7F7UIXLD","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1600x1093",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","1-0","1","SUPAMT05446"
"1",1695833956522,"27/09/2023 16:59:16",1695808756522,-7,"27/09/2023 02:59:16",144636,4,"questionnaire-wop8",NA,31896922,9431954,NA,"complete","jvuuyj","34S9DKFK79OE1YIBRB9LT3IDEUAYNI","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","1-0","1","SUPAMT89096"
"1",1695822826731,"27/09/2023 13:53:46",1695808426731,-4,"27/09/2023 05:53:46",144636,4,"questionnaire-wop8",NA,31896971,9432035,NA,"complete","pbhmjd","3C44YUNSI7OB68ZXBUZZK7D7WL5PDX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1-0","1","SUPAMT53772"
"1",1695826705669,"27/09/2023 14:58:25",1695808705669,-5,"27/09/2023 04:58:25",144636,4,"questionnaire-wop8",NA,31896976,9431952,NA,"complete","dbvzfr","3HPZF4IVNSSVAULK2L07DSO1FRXYC3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1346x602",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPAMT13097"
"1",1695823114935,"27/09/2023 13:58:34",1695808714935,-4,"27/09/2023 05:58:34",144636,4,"questionnaire-wop8",NA,31896986,9431998,NA,"complete","locbhl","3CFJTT4SXZP38DBJ7M6TBI2ZOW8I7M","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPAMT84418"
"1",1695823261902,"27/09/2023 14:01:01",1695808861902,-4,"27/09/2023 06:01:01",144636,4,"questionnaire-wop8",NA,31897096,9432034,NA,"complete","bmhlit","3RRCEFRB7SBW2IFUZEG5MJEC24YB4M","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT38211"
"1",1695823340023,"27/09/2023 14:02:20",1695808940023,-4,"27/09/2023 06:02:20",144636,4,"questionnaire-wop8",NA,31897135,9432024,NA,"complete","qlzqvl","3137ONMDKM4AL1KY46KWWGH0V6JEGB","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1-0","1","SUPAMT26473"
"1",1695823634166,"27/09/2023 14:07:14",1695809234166,-4,"27/09/2023 06:07:14",144636,4,"questionnaire-wop8",NA,31897291,9432112,NA,"rejected - time limit reached","","3EJPLAJKESF6Z3MOOGPN5Z5TPYR6Z9","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","414x896","414x714",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPAMT44779"
"1",1695845301883,"27/09/2023 20:08:21",1695830901883,-4,"27/09/2023 12:08:21",144636,4,"questionnaire-wop8",NA,31897314,9432154,NA,"complete","gpgjfx","3K3R2QNK8H2CVNUCG0TR8HHGDHK9UY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","1-0","1","SUPAMT40465"
"1",1695827291532,"27/09/2023 15:08:11",1695809291532,-5,"27/09/2023 05:08:11",144636,4,"questionnaire-wop8",NA,31897326,9432048,NA,"complete","zqvzay","3SUWZRL0M4C8O8VSSTBAKP4B1SH6E2","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","1-0","1","SUPAMT05565"
"1",1695827377507,"27/09/2023 15:09:37",1695809377507,-5,"27/09/2023 05:09:37",144636,4,"questionnaire-wop8",NA,31897379,9432047,NA,"complete","ajsggl","3FTF2T8WLXHPNRJHB08SQ52DYZSW9L","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","0-2","3","SUPAMT64920"
"1",1695823837445,"27/09/2023 14:10:37",1695809437445,-4,"27/09/2023 06:10:37",144636,4,"questionnaire-wop8",NA,31897412,9432110,NA,"complete","nmmhkj","3G5F9DBFOVW5N81VJ2ROHKHNA10VHY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Failed AC2","Passed AC1","0-2","3","SUPAMT53463"
"1",1695824303783,"27/09/2023 14:18:23",1695809903783,-4,"27/09/2023 06:18:23",144636,4,"questionnaire-wop8",NA,31897714,9432180,NA,"complete","ywycqd","","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT90660"
