"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695817626752,"27/09/2023 12:27:06",1695803226752,-4,"27/09/2023 04:27:06",144636,3,"questionnaire-xamc",NA,31894216,9431509,NA,"complete","osbhtc","3RYC5T2D79S57II2TVUJPWUBBMLRPU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPAMT38416"
"1",1695821242807,"27/09/2023 13:27:22",1695803242807,-5,"27/09/2023 03:27:22",144636,3,"questionnaire-xamc",NA,31894219,9431510,NA,"complete","vcnpts","3FIJLY1B60384SDT20UP87GS8YAFPN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x960","1536x835",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT74201"
"1",1695817714786,"27/09/2023 12:28:34",1695803314786,-4,"27/09/2023 04:28:34",144636,3,"questionnaire-xamc",NA,31894246,9431511,NA,"complete","kxxpyk","3ZSY5X72N3ANMI61EVH40WPL1HPROD","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPAMT02681"
"1",1695817762301,"27/09/2023 12:29:22",1695803362301,-4,"27/09/2023 04:29:22",144636,3,"questionnaire-xamc",NA,31894260,9431522,NA,"complete","umrsqi","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT47263"
"1",1695839390608,"27/09/2023 18:29:50",1695824990608,-4,"27/09/2023 10:29:50",144636,3,"questionnaire-xamc",NA,31894266,9431516,NA,"complete","uybgfq","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPAMT42249"
"1",1695817821581,"27/09/2023 12:30:21",1695803421581,-4,"27/09/2023 04:30:21",144636,3,"questionnaire-xamc",NA,31894289,9431515,NA,"complete","ospqgx","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT75668"
"1",1695817999623,"27/09/2023 12:33:19",1695803599623,-4,"27/09/2023 04:33:19",144636,3,"questionnaire-xamc",NA,31894326,9431524,NA,"rejected - time limit reached","","3NPI0JQDAU4INXVUXKZEPBVTZ7IPT5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT54374"
"1",1695817846586,"27/09/2023 12:30:46",1695803446586,-4,"27/09/2023 04:30:46",144636,3,"questionnaire-xamc",NA,31894301,9431531,NA,"complete","fusbxb","3TXWC2NHN5PWGA28RVYRTGZSSKMS9O","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1515x687",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPAMT53839"
"1",1695821516594,"27/09/2023 13:31:56",1695803516594,-5,"27/09/2023 03:31:56",144636,3,"questionnaire-xamc",NA,31894335,9431537,NA,"complete","xjuqtc","3FDJT1UU7A7FR4NOJWC8QE3GPUQK58","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPAMT83502"
"1",1695818085482,"27/09/2023 12:34:45",1695803685482,-4,"27/09/2023 04:34:45",144636,3,"questionnaire-xamc",NA,31894425,9431555,NA,"complete","sxmyof","354P56DE9Q2S2REFCY07FK8MXUY7SR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT29912"
"1",1695821906890,"27/09/2023 13:38:26",1695803906890,-5,"27/09/2023 03:38:26",144636,3,"questionnaire-xamc",NA,31894521,9431569,NA,"complete","akgoar","3RSDURM96GLA7S5YYC623GO402YEYY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPAMT07312"
