"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695667801726,"25/09/2023 18:50:01",1695653401726,-4,"25/09/2023 10:50:01",144247,6,"questionnaire-xamc",NA,31848045,9416665,NA,"complete","idnqyy","34HJIJKLPBVBBWD04V75NV8J4L54VP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT33623"
"1",1695689501570,"26/09/2023 00:51:41",1695671501570,-5,"25/09/2023 14:51:41",144247,6,"questionnaire-xamc",NA,31848239,9416671,NA,"complete","jfajas","3DI28L7YXGDDHMUVMNZTPTDUS6T1E4","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1707x773",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Failed AC2","Passed AC1","1","2","SUPAMT78856"
"1",1695682321721,"25/09/2023 22:52:01",1695667921721,-4,"25/09/2023 14:52:01",144247,6,"questionnaire-xamc",NA,31848280,9416677,NA,"complete","zcuqxv","33IZTU6J870MH6K6UB459JLAYCGSXN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT58446"
"1",1695678840102,"25/09/2023 21:54:00",1695653640102,-7,"25/09/2023 07:54:00",144247,6,"questionnaire-xamc",NA,31848462,9416678,NA,"complete","sioyut","3483FV8BEKIGTSJCZ9G9IOVM3EI260","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT52091"
"1",1695668138949,"25/09/2023 18:55:38",1695653738949,-4,"25/09/2023 10:55:38",144247,6,"questionnaire-xamc",NA,31848644,9416674,NA,"complete","oimylj","3ZSY5X72N3ANMI61EVH40WPL06SORQ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1362x598",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Failed AC2","Passed AC1","1","2","SUPAMT61059"
"1",1695679336584,"25/09/2023 22:02:16",1695654136584,-7,"25/09/2023 08:02:16",144247,6,"questionnaire-xamc",NA,31849357,9416680,NA,"complete","jwvcoa","336KAV9KYWRICCTI5SB11FFF2OBY2W","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1517x687",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT25665"
"1",1695671180496,"25/09/2023 19:46:20",1695656780496,-4,"25/09/2023 11:46:20",144247,6,"questionnaire-xamc",NA,31852380,9416690,NA,"complete","uckwzd","3IQ1VMJRYZJSGEGEAVC08G5M53J9AQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT94886"
"1",1695667883532,"25/09/2023 18:51:23",1695653483532,-4,"25/09/2023 10:51:23",144247,6,"questionnaire-xamc",NA,31848202,9416702,NA,"complete","xlbnvu","3KWTYT08762QBA564WO95EGVDJZ5LD","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT02996"
"1",1695667897341,"25/09/2023 18:51:37",1695653497341,-4,"25/09/2023 10:51:37",144247,6,"questionnaire-xamc",NA,31848234,9416698,NA,"complete","badtgi","3B3WTRP3DH13BBLAXGJL2YMOTFR92J","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x657",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT37681"
"1",1695667857660,"25/09/2023 18:50:57",1695653457660,-4,"25/09/2023 10:50:57",144247,6,"questionnaire-xamc",NA,31848284,9416701,NA,"rejected - time limit reached","","3UWN2HHPU44H5C62S5HWBHUCWY6SN3","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x598",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPAMT82878"
