"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1697545856676,"17/10/2023 12:30:56",1697549456676,1,"17/10/2023 14:30:56",147682,3,"task-hbx7",NA,32290931,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF43420"
"2",1697545860231,"17/10/2023 12:31:00",1697549460231,1,"17/10/2023 14:31:00",147682,3,"task-hbx7",NA,32290931,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3291.08900004768,3283.202,3291.08900004768,3291.08900004768,3283.202,3291.08900004768,1,3291.08900004768,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF43420"
"3",1697545864281,"17/10/2023 12:31:04",1697549464281,1,"17/10/2023 14:31:04",147682,3,"task-hbx7",NA,32290931,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",4057.687,4050.447,4057.687,4057.687,4050.447,4057.687,1,4057.687,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF43420"
"4",1697545866723,"17/10/2023 12:31:06",1697549466723,1,"17/10/2023 14:31:06",147682,3,"task-hbx7",NA,32290931,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","spepx9",3,"continue","",2449.54000007153,2433.236,2449.54000007153,2449.54000007153,2433.236,2449.54000007153,1,2449.54000007153,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF43420"
"5",1697545869332,"17/10/2023 12:31:09",1697549469332,1,"17/10/2023 14:31:09",147682,3,"task-hbx7",NA,32290931,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 9","8nvnao",4,"continue","",2625.70400004768,2616.562,2625.70400004768,2625.70400004768,2616.562,2625.70400004768,1,2625.70400004768,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF43420"
"6",1697545869334,"17/10/2023 12:31:09",1697549469334,1,"17/10/2023 14:31:09",147682,3,"task-hbx7",NA,32290931,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF43420"
"1",1697545864481,"17/10/2023 12:31:04",1697549464481,1,"17/10/2023 14:31:04",147682,3,"task-hbx7",NA,32290938,9549831,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1440","2560x1279",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF96180"
"2",1697545867605,"17/10/2023 12:31:07",1697549467605,1,"17/10/2023 14:31:07",147682,3,"task-hbx7",NA,32290938,9549831,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1440","2560x1279",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",2985.22,2968.7,2985.22,2985.22,2968.7,2985.22,1,2985.22,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF96180"
"3",1697545871532,"17/10/2023 12:31:11",1697549471532,1,"17/10/2023 14:31:11",147682,3,"task-hbx7",NA,32290938,9549831,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1440","2560x1279",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",3943.52,3936.02,3943.52,3943.52,3936.02,3943.52,1,3943.52,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF96180"
"4",1697545883641,"17/10/2023 12:31:23",1697549483641,1,"17/10/2023 14:31:23",147682,3,"task-hbx7",NA,32290938,9549831,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1440","2560x1279",NA,NA,0,"Task Introduction and Instructions (Clone)",9,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","spepx9",3,"continue","",12116.5,12110.1,12116.5,12116.5,12110.1,12116.5,1,12116.5,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF96180"
