"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
1,1701279410795,"29/11/2023 17:36:50",1701279410795,0,"29/11/2023 17:36:50",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF08618"
2,1701279430684,"29/11/2023 17:37:10",1701279430684,0,"29/11/2023 17:37:10",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",19913.246,19900.732,19913.246,19913.246,19900.732,19913.246,1,19913.246,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF08618"
3,1701279430686,"29/11/2023 17:37:10",1701279430686,0,"29/11/2023 17:37:10",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",8099.676,19900.732,19916.0460000119,8099.676,19900.732,19916.0460000119,1,8099.676,11816.3700000119,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF08618"
4,1701279430687,"29/11/2023 17:37:10",1701279430687,0,"29/11/2023 17:37:10",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",13700.217,19900.732,19916.4460000179,13700.217,19900.732,19916.4460000179,1,13700.217,6216.22900001788,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF08618"
5,1701279430687,"29/11/2023 17:37:10",1701279430687,0,"29/11/2023 17:37:10",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",19167.428,19900.732,19916.9460000179,19167.428,19900.732,19916.9460000179,1,19167.428,749.518000017881,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF08618"
6,1701279447995,"29/11/2023 17:37:27",1701279447995,0,"29/11/2023 17:37:27",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",17325.014,17316.729,17325.014,17325.014,17316.729,17325.014,1,17325.014,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF08618"
7,1701279447998,"29/11/2023 17:37:27",1701279447998,0,"29/11/2023 17:37:27",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",3966.508,17316.729,17327.613999994,3966.508,17316.729,17327.613999994,1,3966.508,13361.105999994,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF08618"
8,1701279447998,"29/11/2023 17:37:27",1701279447998,0,"29/11/2023 17:37:27",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",8516.326,17316.729,17328.113999994,8516.326,17316.729,17328.113999994,1,8516.326,8811.78799999404,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF08618"
9,1701279447999,"29/11/2023 17:37:27",1701279447999,0,"29/11/2023 17:37:27",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",16266.771,17316.729,17328.514,16266.771,17316.729,17328.514,1,16266.771,1061.743,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF08618"
10,1701279458111,"29/11/2023 17:37:38",1701279458111,0,"29/11/2023 17:37:38",154366,3,"task-gjqt",NA,33302778,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",10124.4850000179,10117.018,10124.4850000179,10124.4850000179,10117.018,10124.4850000179,1,10124.4850000179,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF08618"
