"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1702488261976,"13/12/2023 17:24:21",1702488261976,0,"13/12/2023 17:24:21",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF51148"
"2",1702488290754,"13/12/2023 17:24:50",1702488290754,0,"13/12/2023 17:24:50",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",29841.736,29825.07,29841.736,29841.736,29825.07,29841.736,1,29841.736,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF51148"
"3",1702488290755,"13/12/2023 17:24:50",1702488290755,0,"13/12/2023 17:24:50",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",11274.772,29825.07,29841.736,11274.772,29825.07,29841.736,1,11274.772,18566.964,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF51148"
"4",1702488290755,"13/12/2023 17:24:50",1702488290755,0,"13/12/2023 17:24:50",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",24191.466,29825.07,29841.736,24191.466,29825.07,29841.736,1,24191.466,5650.27,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF51148"
"5",1702488290756,"13/12/2023 17:24:50",1702488290756,0,"13/12/2023 17:24:50",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",28591.786,29825.07,29841.736,28591.786,29825.07,29841.736,1,28591.786,1249.95,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF51148"
"6",1702488317614,"13/12/2023 17:25:17",1702488317614,0,"13/12/2023 17:25:17",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",26882.8299999762,26867.186,26882.8299999762,26882.8299999762,26867.186,26882.8299999762,1,26882.8299999762,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF51148"
"7",1702488317616,"13/12/2023 17:25:17",1702488317616,0,"13/12/2023 17:25:17",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",5933.657,26867.186,26883.852,5933.657,26867.186,26883.852,1,5933.657,20950.195,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF51148"
"8",1702488317617,"13/12/2023 17:25:17",1702488317617,0,"13/12/2023 17:25:17",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",11300.109,26867.186,26883.852,11300.109,26867.186,26883.852,1,11300.109,15583.743,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF51148"
"9",1702488317617,"13/12/2023 17:25:17",1702488317617,0,"13/12/2023 17:25:17",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",25967.222,26867.186,26883.852,25967.222,26867.186,26883.852,1,25967.222,916.630000000005,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF51148"
"10",1702488335407,"13/12/2023 17:25:35",1702488335407,0,"13/12/2023 17:25:35",157047,5,"task-gjqt",NA,33645520,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",17808.9439999881,17799.776,17808.9439999881,17808.9439999881,17799.776,17808.9439999881,1,17808.9439999881,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF51148"
