"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1692005854503,"14/08/2023 09:37:34",1692009454503,1,"14/08/2023 11:37:34",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF16300"
"2",1692005857827,"14/08/2023 09:37:37",1692009457827,1,"14/08/2023 11:37:37",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",3332.56399998212,3316.558,3332.56399998212,3332.56399998212,3316.558,3332.56399998212,1,3332.56399998212,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPPRF16300"
"3",1692005858904,"14/08/2023 09:37:38",1692009458904,1,"14/08/2023 11:37:38",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",1093.50599998212,1083.264,1093.50599998212,1093.50599998212,1083.264,1093.50599998212,1,1093.50599998212,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPPRF16300"
"4",1692005862019,"14/08/2023 09:37:42",1692009462019,1,"14/08/2023 11:37:42",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",3125.84200000596,3116.738,3125.84200000596,3125.84200000596,3116.738,3125.84200000596,1,3125.84200000596,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPPRF16300"
"5",1692005864266,"14/08/2023 09:37:44",1692009464266,1,"14/08/2023 11:37:44",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",2255.60400000596,2249.907,2255.60400000596,2255.60400000596,2249.907,2255.60400000596,1,2255.60400000596,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPPRF16300"
"6",1692005871580,"14/08/2023 09:37:51",1692009471580,1,"14/08/2023 11:37:51",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",7319.49699998808,7316.704,7319.49699998808,7319.49699998808,7316.704,7319.49699998808,1,7319.49699998808,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPPRF16300"
"7",1692005872324,"14/08/2023 09:37:52",1692009472324,1,"14/08/2023 11:37:52",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",746.593000000001,733.413,746.593000000001,746.593000000001,733.413,746.593000000001,1,746.593000000001,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPPRF16300"
"8",1692005914735,"14/08/2023 09:38:34",1692009514735,1,"14/08/2023 11:38:34",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",42420.779999994,42416.44,42420.779999994,42420.779999994,42416.44,42420.779999994,1,42420.779999994,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPPRF16300"
"9",1692005914737,"14/08/2023 09:38:34",1692009514737,1,"14/08/2023 11:38:34",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","Said everything you saw.",12366.605,42416.44,42426.4799999821,12366.605,42416.44,42426.4799999821,1,12366.605,30059.8749999821,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPPRF16300"
"10",1692005914737,"14/08/2023 09:38:34",1692009514737,1,"14/08/2023 11:38:34",140743,17,"task-w8vi",NA,31172519,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","Satisfactory explanation ",24366.456,42416.44,42426.8799999881,24366.456,42416.44,42426.8799999881,1,24366.456,18060.4239999881,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPPRF16300"
