"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"1",1,1692005536357,"14/08/2023 09:32:16",1692009136357,1,"14/08/2023 11:32:16",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","",NA,NA,NA,"SUPPRF16300"
"2",2,1692005553499,"14/08/2023 09:32:33",1692009153499,1,"14/08/2023 11:32:33",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",1,"Instructions","Screen 3","6w7c99",1,"continue","",17150.098,17133.354,17150.098,17150.098,17133.354,17150.098,1,17150.098,0,0,NA,"Click To Continue","Continue Button",2,"object-29",NA,NA,"","","Instructions",NA,NA,NA,"SUPPRF16300"
"3",3,1692005557012,"14/08/2023 09:32:37",1692009157012,1,"14/08/2023 11:32:37",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",1,"Instructions","Screen 4","4vof69",2,"continue","",3533.569,3516.809,3533.569,3533.569,3516.809,3533.569,1,3533.569,0,0,NA,"Click To Continue","Continue Button",2,"object-41",NA,NA,"","","Instructions",NA,NA,NA,"SUPPRF16300"
"4",4,1692005562590,"14/08/2023 09:32:42",1692009162590,1,"14/08/2023 11:32:42",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",1,"Task","Screen 1","113qg5",1,"response","Excellent!",5594.59799998808,5583.195,5594.59799998808,5594.59799998808,5583.195,5594.59799998808,1,5594.59799998808,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"You appeared very confident.","Excellent!","Task",NA,NA,NA,"SUPPRF16300"
"5",5,1692005564346,"14/08/2023 09:32:44",1692009164346,1,"14/08/2023 11:32:44",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",1,"Task","Screen 3","izqege",2,"continue","",1766.795,1766.795,1766.795,1766.795,1766.795,1766.795,1,1766.795,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You appeared very confident.","Excellent!","Task",NA,NA,NA,"SUPPRF16300"
"6",6,1692005566974,"14/08/2023 09:32:46",1692009166974,1,"14/08/2023 11:32:46",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",2,"Task","Screen 1","113qg5",1,"response","You said all the right things.",2628.60799998808,2616.551,2628.60799998808,2628.60799998808,2616.551,2628.60799998808,1,2628.60799998808,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You said all the right things.","That was perfect.","Task",NA,NA,NA,"SUPPRF16300"
"7",7,1692005568728,"14/08/2023 09:32:48",1692009168728,1,"14/08/2023 11:32:48",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",2,"Task","Screen 3","izqege",2,"continue","",1766.597,1766.597,1766.597,1766.597,1766.597,1766.597,1,1766.597,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You said all the right things.","That was perfect.","Task",NA,NA,NA,"SUPPRF16300"
"8",8,1692005569873,"14/08/2023 09:32:49",1692009169873,1,"14/08/2023 11:32:49",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",3,"Task","Screen 1","113qg5",1,"response","You appeared very confident.",1145.76,1133.241,1145.76,1145.76,1133.241,1145.76,1,1145.76,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"That was decent.","You appeared very confident.","Task",NA,NA,NA,"SUPPRF16300"
"9",9,1692005571628,"14/08/2023 09:32:51",1692009171628,1,"14/08/2023 11:32:51",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",3,"Task","Screen 3","izqege",2,"continue","",1766.833,1766.833,1766.833,1766.833,1766.833,1766.833,1,1766.833,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was decent.","You appeared very confident.","Task",NA,NA,NA,"SUPPRF16300"
"10",10,1692005574726,"14/08/2023 09:32:54",1692009174726,1,"14/08/2023 11:32:54",140743,17,"task-5vg1",NA,31172407,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",4,"Task","Screen 1","113qg5",1,"response","Well done!",3099.186,3083.226,3099.186,3099.186,3083.226,3099.186,1,3099.186,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"That was satisfactory.","Well done!","Task",NA,NA,NA,"SUPPRF16300"
