"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"1",1,1692005872045,"14/08/2023 09:37:52",1692009472045,1,"14/08/2023 11:37:52",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPPRF20908"
"2",2,1692005922991,"14/08/2023 09:38:42",1692009522991,1,"14/08/2023 11:38:42",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",50948,50931,50948,50948,50931,50948,1,50948,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"3",3,1692005923006,"14/08/2023 09:38:43",1692009523006,1,"14/08/2023 11:38:43",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","You gave some detail about their clothing.",39040,50931,50948,39040,50931,50948,1,39040,11908,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"4",4,1692005923006,"14/08/2023 09:38:43",1692009523006,1,"14/08/2023 11:38:43",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","You gave some feautures of the room.",26139,50931,50948,26139,50931,50948,1,26139,24809,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"5",5,1692005923850,"14/08/2023 09:38:43",1692009523850,1,"14/08/2023 11:38:43",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",883,883,883,883,883,883,1,883,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"6",6,1692005990949,"14/08/2023 09:39:50",1692009590949,1,"14/08/2023 11:39:50",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Video","w2ir4b",1,"continue","",67095,67078,67095,67095,67078,67095,1,67095,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"7",7,1692005990967,"14/08/2023 09:39:50",1692009590967,1,"14/08/2023 11:39:50",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Video","w2ir4b",1,"response","You definitely knew what the people in the picture were doing.",51672,67078,67095,51672,67078,67095,1,51672,15423,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"8",8,1692005990968,"14/08/2023 09:39:50",1692009590968,1,"14/08/2023 11:39:50",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Video","w2ir4b",1,"response","You were very confident in describing the room in detail.",30721,67078,67095,30721,67078,67095,1,30721,36374,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"9",9,1692005991807,"14/08/2023 09:39:51",1692009591807,1,"14/08/2023 11:39:51",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Fixation","mtm832",2,"continue","",883,883,883,883,883,883,1,883,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"10",10,1692006062523,"14/08/2023 09:41:02",1692009662523,1,"14/08/2023 11:41:02",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Positive Feedback","Video","w2ir4b",1,"continue","",70709,70693,70709,70709,70693,70709,1,70709,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
