"","Submission.id","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Current.uk.area.of.residence","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"1","64d9ff3c7251de5e68eab8bb","APPROVED","2023-08-14T10:17:32.125000Z","2023-08-14T11:19:12.568000Z","2023-08-15T16:39:49.504000Z","2023-08-14T11:19:13.024012Z",3701,"C18Q2QU1",342,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Polish, English","22","Female","White","Poland","United Kingdom","Poland","English","Yes","Unemployed (and job seeking)","","SUPPRF73133"
"2","64d9ff59202825d1e987df74","APPROVED","2023-08-14T10:18:09.792000Z","2023-08-14T11:06:49.177000Z","2023-08-15T16:39:52.240000Z","2023-08-14T11:06:49.678957Z",2920,"C18Q2QU1",156,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)","English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","","SUPPRF13097"
"3","64d9ff71624435bf2a23761d","APPROVED","2023-08-14T10:22:02.019000Z","2023-08-14T10:46:53.407000Z","2023-08-15T16:39:55.095000Z","2023-08-14T10:46:54.009146Z",1492,"C18Q2QU1",858,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","25","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","","SUPPRF16300"
"4","64d9ff8d839c19319fab2911","APPROVED","2023-08-14T10:18:53.367000Z","2023-08-14T11:04:06.238000Z","2023-08-15T16:39:54.036000Z","2023-08-14T11:04:06.868931Z",2713,"C18Q2QU1",118,"London, England ","English, Spanish","20","Male","Other","United Kingdom","United Kingdom","Spain","Spanish","Yes","Part-Time","","SUPPRF18538"
"5","64da000bb77c30175cda1703","APPROVED","2023-08-14T10:22:45.828000Z","2023-08-14T10:56:16.658000Z","2023-08-15T16:39:56.092000Z","2023-08-14T10:56:17.163916Z",2011,"C18Q2QU1",325,"London, England ","English, Tagalog-Filipino","21","Female","Asian","Philippines","United Kingdom","Ireland","English","Yes","Other","","SUPPRF20908"
"6","64da01617f4e2f7acbe39dd7","APPROVED","2023-08-14T10:33:12.517000Z","2023-08-14T11:07:32.306000Z","2023-08-15T16:39:59.424000Z","2023-08-14T11:07:33.184175Z",2060,"C18Q2QU1",1003,"Scotland","English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","SUPPRF56705"
"7","64da02835a5052b70ee79e36","APPROVED","2023-08-14T10:31:55.119000Z","2023-08-14T11:00:23.521000Z","2023-08-15T16:39:58.103000Z","2023-08-14T11:00:24.236788Z",1709,"C18Q2QU1",1124,"London, England ","English","23","Female","Asian","United Kingdom","United Kingdom","Pakistan","English","No","Full-Time","","SUPPRF98941"
"8","64da041f0e6d392fff657804","APPROVED","2023-08-14T10:38:35.578000Z","2023-08-14T11:17:29.003000Z","2023-08-15T16:40:04.755000Z","2023-08-14T11:17:29.503362Z",2334,"C18Q2QU1",60,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","23","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","Due to start a new job within the next month","","SUPPRF15001"
"9","64da04919351a898f9c3ea48","APPROVED","2023-08-14T10:40:44.905000Z","2023-08-14T11:26:11.760000Z","2023-08-15T16:40:05.907000Z","2023-08-14T11:26:12.506557Z",2727,"C18Q2QU1",1589,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","","SUPPRF41746"
"10","64da05cb6b98735afb657801","APPROVED","2023-08-14T10:45:44.430000Z","2023-08-14T11:16:25.959000Z","2023-08-15T16:40:07.324000Z","2023-08-14T11:16:26.466254Z",1842,"C18Q2QU1",356,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Czech, English, Slovak","25","Female","White","Slovakia","United Kingdom","Slovakia","Slovak","No","Full-Time","","SUPPRF94218"
"11","64da217fbeca8340a86d1818","APPROVED","2023-08-14T12:49:56.438000Z","2023-08-14T13:33:51.024000Z","2023-08-15T16:40:09.567000Z","2023-08-14T13:33:51.794447Z",2635,"C18Q2QU1",431,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","SUPPRF27407"
"12","64da21b55d753010d019b257","APPROVED","2023-08-14T12:44:40.202000Z","2023-08-14T13:14:31.386000Z","2023-08-15T16:40:08.594000Z","2023-08-14T13:14:35.079950Z",1792,"C18Q2QU1",269,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)","English, German","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","SUPPRF71024"
"13","64da2331d1c99ce54caf7f00","APPROVED","2023-08-14T12:51:00.279000Z","2023-08-14T13:27:42.975000Z","2023-08-15T16:40:12.448000Z","2023-08-14T13:27:43.760404Z",2203,"C18Q2QU1",1169,"London, England ","English, Italian","25","Female","White","Italy","United Kingdom","Italy","Italian","Yes","Full-Time","","SUPPRF01065"
"14","64da234622c1185dd4ea45b0","APPROVED","2023-08-14T12:51:52.921000Z","2023-08-14T14:04:15.576000Z","2023-08-15T16:40:15.575000Z","2023-08-14T14:04:16.400337Z",4343,"C18Q2QU1",138,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","SUPPRF26790"
"15","64da237da070b69f2c9aafbb","APPROVED","2023-08-14T12:56:40.208000Z","2023-08-14T13:37:25.597000Z","2023-08-15T16:40:16.584000Z","2023-08-14T13:37:26.693715Z",2446,"C18Q2QU1",257,"London, England ","English, Dutch, Italian, Spanish","22","Male","White","Italy","United Kingdom","Italy","English","No","Full-Time","","SUPPRF63488"
"16","64da244f22c1185dd4ea45ff","APPROVED","2023-08-14T12:57:14.566000Z","2023-08-14T13:50:30.769000Z","2023-08-15T16:40:17.646000Z","2023-08-14T13:50:31.424411Z",3197,"C18Q2QU1",477,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)","English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","SUPPRF82002"
"17","64da2735ae3e62b81bdf7946","APPROVED","2023-08-14T13:11:38.743000Z","2023-08-14T13:50:33.096000Z","2023-08-15T16:40:18.700000Z","2023-08-14T13:50:33.693833Z",2335,"C18Q2QU1",169,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","English, Japanese","24","Female","Other","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","SUPPRF05791"
"18","64da2810496ece3b2ddf78ff","APPROVED","2023-08-14T13:11:59.443000Z","2023-08-14T13:47:41.089000Z","2023-08-15T16:40:20.568000Z","2023-08-14T13:47:52.240089Z",2142,"C18Q2QU1",123,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","Indonesian, English","23","Male","Asian","Indonesia","United Kingdom","Indonesia","Indonesian","No","Full-Time","","SUPPRF83190"
"19","64da2b07dffffeb613275ea3","APPROVED","2023-08-14T13:25:59.563000Z","2023-08-14T14:10:30.464000Z","2023-08-15T16:40:22.404000Z","2023-08-14T14:10:31.087041Z",2671,"C18Q2QU1",154,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","English, French","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","","SUPPRF44269"
"20","64da2f985a88203d07bbb784","APPROVED","2023-08-14T13:43:52.413000Z","2023-08-14T14:31:27.775000Z","2023-08-15T16:40:24.271000Z","2023-08-14T14:31:28.256140Z",2856,"C18Q2QU1",177,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","SUPPRF54733"
