"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1,1692005099962,"14/08/2023 09:24:59",1692008699962,1,"14/08/2023 11:24:59",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF73133"
"2",2,1692005135270,"14/08/2023 09:25:35",1692008735270,1,"14/08/2023 11:25:35",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",35343.313999994,35329.536,35343.313999994,35343.313999994,35329.536,35343.313999994,1,35343.313999994,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF73133"
"3",3,1692005135272,"14/08/2023 09:25:35",1692008735272,1,"14/08/2023 11:25:35",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",18264.202,35329.536,35345.813999994,18264.202,35329.536,35345.813999994,1,18264.202,17081.611999994,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF73133"
"4",4,1692005135273,"14/08/2023 09:25:35",1692008735273,1,"14/08/2023 11:25:35",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",24757.243,35329.536,35345.991,24757.243,35329.536,35345.991,1,24757.243,10588.748,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF73133"
"5",5,1692005135273,"14/08/2023 09:25:35",1692008735273,1,"14/08/2023 11:25:35",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",29036.088,35329.536,35345.991,29036.088,35329.536,35345.991,1,29036.088,6309.903,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF73133"
"6",6,1692005154704,"14/08/2023 09:25:54",1692008754704,1,"14/08/2023 11:25:54",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",19448.3779999881,19446.128,19448.3779999881,19448.3779999881,19446.128,19448.3779999881,1,19448.3779999881,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF73133"
"7",7,1692005154710,"14/08/2023 09:25:54",1692008754710,1,"14/08/2023 11:25:54",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",6093.658,19446.128,19453.4779999821,6093.658,19446.128,19453.4779999821,1,6093.658,13359.8199999821,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF73133"
"8",8,1692005154711,"14/08/2023 09:25:54",1692008754711,1,"14/08/2023 11:25:54",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",9706.515,19446.128,19454.777999994,9706.515,19446.128,19454.777999994,1,9706.515,9748.26299999404,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF73133"
"9",9,1692005154714,"14/08/2023 09:25:54",1692008754714,1,"14/08/2023 11:25:54",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",17781.212,19446.128,19456.578000006,17781.212,19446.128,19456.578000006,1,17781.212,1675.36600000596,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF73133"
"10",10,1692005168245,"14/08/2023 09:26:08",1692008768245,1,"14/08/2023 11:26:08",140743,17,"questionnaire-uu2n",NA,31172295,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"BIQ (Charlotte)",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",13542.149999994,13535.945,13542.149999994,13542.149999994,13535.945,13542.149999994,1,13542.149999994,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF73133"
