"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1702911312966,"18/12/2023 14:55:12",1702911312966,0,"18/12/2023 14:55:12",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF23130"
"2",1702911341210,"18/12/2023 14:55:41",1702911341210,0,"18/12/2023 14:55:41",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",28265.9,28250.2,28265.9,28265.9,28250.2,28265.9,1,28265.9,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF23130"
"3",1702911341212,"18/12/2023 14:55:41",1702911341212,0,"18/12/2023 14:55:41",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",11616.8,28250.2,28266.9,11616.8,28250.2,28266.9,1,11616.8,16650.1,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF23130"
"4",1702911341212,"18/12/2023 14:55:41",1702911341212,0,"18/12/2023 14:55:41",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",20033.5,28250.2,28266.9,20033.5,28250.2,28266.9,1,20033.5,8233.4,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF23130"
"5",1702911341213,"18/12/2023 14:55:41",1702911341213,0,"18/12/2023 14:55:41",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",26566.8,28250.2,28266.9,26566.8,28250.2,28266.9,1,26566.8,1700.1,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF23130"
"6",1702911352418,"18/12/2023 14:55:52",1702911352418,0,"18/12/2023 14:55:52",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",11224.0000000119,11216.7,11224.0000000119,11224.0000000119,11216.7,11224.0000000119,1,11224.0000000119,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF23130"
"7",1702911352420,"18/12/2023 14:55:52",1702911352420,0,"18/12/2023 14:55:52",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",5100,11216.7,11226.299999994,5100,11216.7,11226.299999994,1,5100,6126.29999999404,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF23130"
"8",1702911352421,"18/12/2023 14:55:52",1702911352421,0,"18/12/2023 14:55:52",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",8066.7,11216.7,11226.7,8066.7,11216.7,11226.7,1,8066.7,3160,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF23130"
"9",1702911352421,"18/12/2023 14:55:52",1702911352421,0,"18/12/2023 14:55:52",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",10600,11216.7,11227.100000006,10600,11216.7,11227.100000006,1,10600,627.100000005958,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF23130"
"10",1702911360906,"18/12/2023 14:56:00",1702911360906,0,"18/12/2023 14:56:00",157680,2,"task-gjqt",NA,33757591,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",8495.59999999404,8483.4,8495.59999999404,8495.59999999404,8483.4,8495.59999999404,1,8495.59999999404,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF23130"
