"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1689007056056,"10/07/2023 16:37:36",1689010656056,1,"10/07/2023 18:37:36",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM05151"
"2",1689007062493,"10/07/2023 16:37:42",1689010662493,1,"10/07/2023 18:37:42",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",4980.7,4966.66,4980.7,4980.7,4966.66,4980.7,1,4980.7,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WM-026-001-N.jpg",NA,"SUPTM05151"
"3",1689007062494,"10/07/2023 16:37:42",1689010662494,1,"10/07/2023 18:37:42",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","47",3433.32,4966.66,4981.7,3433.32,4966.66,4981.7,1,3433.32,1548.38,0,NA,"Slider","J",3,"object-27","V","CFD-WM-026-001-N.jpg",NA,"SUPTM05151"
"4",1689007063446,"10/07/2023 16:37:43",1689010663446,1,"10/07/2023 18:37:43",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",966.660000000001,966.660000000001,966.660000000001,966.660000000001,966.660000000001,966.660000000001,1,966.660000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WM-026-001-N.jpg",NA,"SUPTM05151"
"5",1689007066683,"10/07/2023 16:37:46",1689010666683,1,"10/07/2023 18:37:46",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",2,"V","Valence","xyoebq",1,"continue","",3237.38,3233.36,3237.38,3237.38,3233.36,3237.38,1,3237.38,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-BF-030-002-S.jpeg",NA,"SUPTM05151"
"6",1689007066686,"10/07/2023 16:37:46",1689010666686,1,"10/07/2023 18:37:46",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",2,"V","Valence","xyoebq",1,"response","40",2000.04,3233.36,3240.38,2000.04,3233.36,3240.38,1,2000.04,1240.34,0,NA,"Slider","J",3,"object-27","V","CFD-BF-030-002-S.jpeg",NA,"SUPTM05151"
"7",1689007067647,"10/07/2023 16:37:47",1689010667647,1,"10/07/2023 18:37:47",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",2,"V","Fixation","68owkj",2,"continue","",966.66,966.66,966.66,966.66,966.66,966.66,1,966.66,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-BF-030-002-S.jpeg",NA,"SUPTM05151"
"8",1689007070387,"10/07/2023 16:37:50",1689010670387,1,"10/07/2023 18:37:50",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",3,"V","Valence","xyoebq",1,"continue","",2742.36,2733.34,2742.36,2742.36,2733.34,2742.36,1,2742.36,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-IF-693-172-H.jpeg",NA,"SUPTM05151"
"9",1689007070388,"10/07/2023 16:37:50",1689010670388,1,"10/07/2023 18:37:50",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",3,"V","Valence","xyoebq",1,"response","74",1200,2733.34,2742.36,1200,2733.34,2742.36,1,1200,1542.36,0,NA,"Slider","J",3,"object-27","V","CFD-IF-693-172-H.jpeg",NA,"SUPTM05151"
"10",1689007071346,"10/07/2023 16:37:51",1689010671346,1,"10/07/2023 18:37:51",137495,33,"task-hr3w",NA,30600284,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"SS1","SS1",3,"V","Fixation","68owkj",2,"continue","",966.66,966.66,966.66,966.66,966.66,966.66,1,966.66,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-IF-693-172-H.jpeg",NA,"SUPTM05151"
