"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Multiple.Choice.Grid.object.2.1..How.often.do.you.have.trouble.wrapping.up.the.final.details.of.a.project..once.the.challenging.parts.have.been.done.","Multiple.Choice.Grid.object.2.1..How.often.do.you.have.trouble.wrapping.up.the.final.details.of.a.project..once.the.challenging.parts.have.been.done..Quantised","Multiple.Choice.Grid.object.2.2..How.often.do.you.have.difficulty.getting.things.in.order.when.you.have.to.do.a.task.that.requires.organization.","Multiple.Choice.Grid.object.2.2..How.often.do.you.have.difficulty.getting.things.in.order.when.you.have.to.do.a.task.that.requires.organization..Quantised","Multiple.Choice.Grid.object.2.3..How.often.do.you.have.problems.remembering.appointments.or.obligations.","Multiple.Choice.Grid.object.2.3..How.often.do.you.have.problems.remembering.appointments.or.obligations..Quantised","Multiple.Choice.Grid.object.2.4..When.you.have.a.task.that.requires.a.lot.of.thought..how.often.do.you.avoid.or.delay.getting.started.","Multiple.Choice.Grid.object.2.4..When.you.have.a.task.that.requires.a.lot.of.thought..how.often.do.you.avoid.or.delay.getting.started..Quantised","Multiple.Choice.Grid.object.2.5..How.often.do.you.fidget.or.squirm.with.your.hands.or.feet.when.you.have.to.sit.down.for.a.long.time.","Multiple.Choice.Grid.object.2.5..How.often.do.you.fidget.or.squirm.with.your.hands.or.feet.when.you.have.to.sit.down.for.a.long.time..Quantised","Multiple.Choice.Grid.object.2.6..How.often.do.you.feel.overly.active.and.compelled.to.do.things..like.you.were.driven.by.a.motor.","Multiple.Choice.Grid.object.2.6..How.often.do.you.feel.overly.active.and.compelled.to.do.things..like.you.were.driven.by.a.motor..Quantised","Multiple.Choice.Grid.object.7.7..How.often.do.you.make.careless.mistakes.when.you.have.to.work.on.a.boring.or.difficult.project.","Multiple.Choice.Grid.object.7.7..How.often.do.you.make.careless.mistakes.when.you.have.to.work.on.a.boring.or.difficult.project..Quantised","Multiple.Choice.Grid.object.7.8..How.often.do.you.have.difficulty.keeping.your.attention.when.you.are.doing.boring.or.repetitive.work.","Multiple.Choice.Grid.object.7.8..How.often.do.you.have.difficulty.keeping.your.attention.when.you.are.doing.boring.or.repetitive.work..Quantised","Multiple.Choice.Grid.object.7.9...How.often.do.you.have.difficulty.concentrating.on.what.people.say.to.you..even.when.they.are.speaking.to.you.directly.","Multiple.Choice.Grid.object.7.9...How.often.do.you.have.difficulty.concentrating.on.what.people.say.to.you..even.when.they.are.speaking.to.you.directly..Quantised","Multiple.Choice.Grid.object.7.10..How.often.do.you.misplace.or.have.difficulty.finding.things.at.home.or.at.work.","Multiple.Choice.Grid.object.7.10..How.often.do.you.misplace.or.have.difficulty.finding.things.at.home.or.at.work..Quantised","Multiple.Choice.Grid.object.7.11..How.often.are.you.distracted.by.activity.or.noise.around.you.","Multiple.Choice.Grid.object.7.11..How.often.are.you.distracted.by.activity.or.noise.around.you..Quantised","Multiple.Choice.Grid.object.7.12..How.often.do.you.leave.your.seat.in.meetings.or.other.situations.in.which.you.are.expected.to.remain.seated.","Multiple.Choice.Grid.object.7.12..How.often.do.you.leave.your.seat.in.meetings.or.other.situations.in.which.you.are.expected.to.remain.seated..Quantised","Multiple.Choice.Grid.object.7.13..How.often.do.you.feel.restless.or.fidgety.","Multiple.Choice.Grid.object.7.13..How.often.do.you.feel.restless.or.fidgety..Quantised","Multiple.Choice.Grid.object.7.14..How.often.do.you.have.difficulty.unwinding.and.relaxing.when.you.have.time.to.yourself.","Multiple.Choice.Grid.object.7.14..How.often.do.you.have.difficulty.unwinding.and.relaxing.when.you.have.time.to.yourself..Quantised","Multiple.Choice.Grid.object.7.15..How.often.do.you.find.yourself.talking.too.much.when.you.are.in.social.situations.","Multiple.Choice.Grid.object.7.15..How.often.do.you.find.yourself.talking.too.much.when.you.are.in.social.situations..Quantised","Multiple.Choice.Grid.object.7.16..When.you.re.in.a.conversation..how.often.do.you.find.yourself.finishing.the.sentences.of.the.people.you.are.talking.to..before.they.can.finish.them.themselves.","Multiple.Choice.Grid.object.7.16..When.you.re.in.a.conversation..how.often.do.you.find.yourself.finishing.the.sentences.of.the.people.you.are.talking.to..before.they.can.finish.them.themselves..Quantised","Multiple.Choice.Grid.object.7.17..How.often.do.you.have.difficulty.waiting.your.turn.in.situations.when.turn.taking.is.required.","Multiple.Choice.Grid.object.7.17..How.often.do.you.have.difficulty.waiting.your.turn.in.situations.when.turn.taking.is.required..Quantised","Multiple.Choice.Grid.object.7.18..How.often.do.you.interrupt.others.when.they.are.busy.","Multiple.Choice.Grid.object.7.18..How.often.do.you.interrupt.others.when.they.are.busy..Quantised","Random_ID"
"1",1689002139673,"10/07/2023 15:15:39",1688987739673,-4,"10/07/2023 07:15:39",137495,33,"questionnaire-sii6",NA,30591002,9082545,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 113.0.0.0","1920x1080","1920x969",NA,"ASRS",5,"Anxious",NA,"In","",NA,"EFDGCHBIAJK","","","B (MDot First)",1,123,"Rarely","2","Sometimes","3","Rarely","2","Often","4","Often","4","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM14738"
"1",1688996705657,"10/07/2023 13:45:05",1689000305657,1,"10/07/2023 15:45:05",137495,33,"questionnaire-sii6",NA,30598028,9084892,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x760",NA,"ASRS",5,"NonAnxious",NA,"In","A",NA,"ABKCJDIEHFG","A","","",NA,NA,"Rarely","2","Rarely","2","Rarely","2","Sometimes","3","Sometimes","3","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM15998"
"1",1689001132354,"10/07/2023 14:58:52",1689004732354,1,"10/07/2023 16:58:52",137495,33,"questionnaire-sii6",NA,30599720,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x720",NA,"ASRS",5,"Anxious",NA,"In","",NA,"CDBEAFKGJHI","","","B (MDot First)",2,213,"Rarely","2","Never","1","Never","1","Sometimes","3","Rarely","2","Never","1","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM50909"
"1",1689001858663,"10/07/2023 15:10:58",1689005458663,1,"10/07/2023 17:10:58",137495,33,"questionnaire-sii6",NA,30599877,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,"ASRS",5,"Anxious",NA,"In","",NA,"DECFBGAHKIJ","","","B (MDot First)",1,231,"Sometimes","3","Sometimes","3","Never","1","Very often","5","Rarely","2","Very often","5","Sometimes","3","Often","4","Often","4","Sometimes","3","Rarely","2","Never","1","Rarely","2","Never","1","Never","1","Never","1","Never","1","Rarely","2","SUPTM05151"
"1",1689019287845,"10/07/2023 20:01:27",1689022887845,1,"10/07/2023 22:01:27",137495,33,"questionnaire-sii6",NA,30603915,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1434x696",NA,"ASRS",5,"Anxious",NA,"In","",NA,"HIGJFKEADBC","","","B (MDot First)",2,321,"Often","4","Sometimes","3","Rarely","2","Very often","5","Often","4","Sometimes","3","Rarely","2","Rarely","2","Sometimes","3","Sometimes","3","Sometimes","3","Never","1","Sometimes","3","Often","4","Sometimes","3","Rarely","2","Rarely","2","Sometimes","3","SUPTM16544"
"1",1689014097271,"10/07/2023 18:34:57",1689017697271,1,"10/07/2023 20:34:57",137495,33,"questionnaire-sii6",NA,30602852,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x494",NA,"ASRS",5,"Anxious",NA,"In","",NA,"GHFIEJDKCAB","","","B (MDot First)",1,213,"Sometimes","3","Sometimes","3","Sometimes","3","Rarely","2","Sometimes","3","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM84507"
"1",1689009443795,"10/07/2023 17:17:23",1689013043795,1,"10/07/2023 19:17:23",137495,33,"questionnaire-sii6",NA,30601918,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,"ASRS",5,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A","","",NA,NA,"Sometimes","3","Rarely","2","Never","1","Sometimes","3","Rarely","2","Never","1","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM34679"
"1",1689005886338,"10/07/2023 16:18:06",1689009486338,1,"10/07/2023 18:18:06",137495,33,"questionnaire-sii6",NA,30600937,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,"ASRS",5,"Anxious",NA,"In","",NA,"EFDGCHBIAJK","","","B (MDot First)",2,123,"Sometimes","3","Very often","5","Never","1","Very often","5","Very often","5","Rarely","2","Sometimes","3","Very often","5","Very often","5","Sometimes","3","Very often","5","Never","1","Very often","5","Very often","5","Never","1","Sometimes","3","Often","4","Sometimes","3","SUPTM31721"
"1",1689013267203,"10/07/2023 18:21:07",1688998867203,-4,"10/07/2023 10:21:07",137495,33,"questionnaire-sii6",NA,30597311,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,"ASRS",5,"Anxious",NA,"In","",NA,"IJHKGAFBECD","","","B (MDot First)",1,231,"Rarely","2","Rarely","2","Rarely","2","Rarely","2","Never","1","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM96648"
"1",1689003465163,"10/07/2023 15:37:45",1688989065163,-4,"10/07/2023 07:37:45",137495,33,"questionnaire-sii6",NA,30591461,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,"ASRS",5,"Anxious",321,"In","",1,"FGEHDICJBKA","","","A (JV first)",NA,NA,"Sometimes","3","Sometimes","3","Rarely","2","Rarely","2","Sometimes","3","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","SUPTM12782"
