"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1689025179291,"10/07/2023 21:39:39",1689028779291,1,"10/07/2023 23:39:39",137495,33,"task-essk",NA,30604224,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM16544"
"2",1689025182320,"10/07/2023 21:39:42",1689028782320,1,"10/07/2023 23:39:42",137495,33,"task-essk",NA,30604224,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 1","r7cy9o",1,"continue","",3046.9750002861,3032.964,3046.9750002861,3046.9750002861,3032.964,3046.9750002861,1,3046.9750002861,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Welcome",NA,"SUPTM16544"
"3",1689025194617,"10/07/2023 21:39:54",1689028794617,1,"10/07/2023 23:39:54",137495,33,"task-essk",NA,30604224,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 2","cnboqy",2,"continue","",12311.9109999046,12298.48,12311.9109999046,12311.9109999046,12298.48,12311.9109999046,1,12311.9109999046,0,0,NA,"Click To Continue","Continue Button",2,"object-8","Welcome",NA,"SUPTM16544"
"4",1689025200600,"10/07/2023 21:40:00",1689028800600,1,"10/07/2023 23:40:00",137495,33,"task-essk",NA,30604224,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 3","2wy2ix",3,"continue","",5995.831,5982.784,5995.831,5995.831,5982.784,5995.831,1,5995.831,0,0,NA,"Click To Continue","Continue Button",2,"object-12","Welcome",NA,"SUPTM16544"
"5",1689025200600,"10/07/2023 21:40:00",1689028800600,1,"10/07/2023 23:40:00",137495,33,"task-essk",NA,30604224,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM16544"
"1",1689007034094,"10/07/2023 16:37:14",1689010634094,1,"10/07/2023 18:37:14",137495,33,"task-essk",NA,30600279,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM05151"
"2",1689007036598,"10/07/2023 16:37:16",1689010636598,1,"10/07/2023 18:37:16",137495,33,"task-essk",NA,30600279,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 1","r7cy9o",1,"continue","",2507.54,2490.88,2507.54,2507.54,2490.88,2507.54,1,2507.54,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Welcome",NA,"SUPTM05151"
"3",1689007043986,"10/07/2023 16:37:23",1689010643986,1,"10/07/2023 18:37:23",137495,33,"task-essk",NA,30600279,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 2","cnboqy",2,"continue","",7407.34,7400,7407.34,7407.34,7400,7407.34,1,7407.34,0,0,NA,"Click To Continue","Continue Button",2,"object-8","Welcome",NA,"SUPTM05151"
"4",1689007053874,"10/07/2023 16:37:33",1689010653874,1,"10/07/2023 18:37:33",137495,33,"task-essk",NA,30600279,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 3","2wy2ix",3,"continue","",9894.34,9883.34,9894.34,9894.34,9883.34,9894.34,1,9894.34,0,0,NA,"Click To Continue","Continue Button",2,"object-12","Welcome",NA,"SUPTM05151"
"5",1689007053877,"10/07/2023 16:37:33",1689010653877,1,"10/07/2023 18:37:33",137495,33,"task-essk",NA,30600279,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"DECFBGAHKIJ",NA,NA,"B (MDot First)",1,231,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM05151"
"1",1689006548642,"10/07/2023 16:29:08",1689010148642,1,"10/07/2023 18:29:08",137495,33,"task-essk",NA,30600151,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x569",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM50909"
"2",1689006551424,"10/07/2023 16:29:11",1689010151424,1,"10/07/2023 18:29:11",137495,33,"task-essk",NA,30600151,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x569",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 1","r7cy9o",1,"continue","",2793.24300004768,2781.466,2793.24300004768,2793.24300004768,2781.466,2793.24300004768,1,2793.24300004768,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Welcome",NA,"SUPTM50909"
"3",1689006559034,"10/07/2023 16:29:19",1689010159034,1,"10/07/2023 18:29:19",137495,33,"task-essk",NA,30600151,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x569",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 2","cnboqy",2,"continue","",7622.577,7610.504,7622.577,7622.577,7610.504,7622.577,1,7622.577,0,0,NA,"Click To Continue","Continue Button",2,"object-8","Welcome",NA,"SUPTM50909"
"4",1689006565453,"10/07/2023 16:29:25",1689010165453,1,"10/07/2023 18:29:25",137495,33,"task-essk",NA,30600151,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x720",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 3","2wy2ix",3,"continue","",6430.67299990463,6428.203,6430.67299990463,6430.67299990463,6428.203,6430.67299990463,1,6430.67299990463,0,0,NA,"Click To Continue","Continue Button",2,"object-12","Welcome",NA,"SUPTM50909"
"5",1689006565454,"10/07/2023 16:29:25",1689010165454,1,"10/07/2023 18:29:25",137495,33,"task-essk",NA,30600151,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x720",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM50909"
