"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions...d..I.do.not.currently.take.or.have.a.history.of.taking.any.psychotropic.medications..I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1690911523997,"01/08/2023 17:38:43",1690915123997,1,"01/08/2023 19:38:43",139282,42,"questionnaire-swmb",NA,30990661,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Consent (without UCL ethics)",3,"In","BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","VF_1st","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM24387"
"1",1690960725988,"02/08/2023 07:18:45",1690964325988,1,"02/08/2023 09:18:45",139282,42,"questionnaire-swmb",NA,30997006,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Consent (without UCL ethics)",3,"In","DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM46030"
"1",1690970248575,"02/08/2023 09:57:28",1690973848575,1,"02/08/2023 11:57:28",139282,42,"questionnaire-swmb",NA,31000548,9196035,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x969",NA,NA,NA,"Consent (without UCL ethics)",3,"In","EFDGCHBIAJ","A (JV first)","study_1 (JV and feedback_list_1)","","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM52921"
"1",1690979413412,"02/08/2023 12:30:13",1690983013412,1,"02/08/2023 14:30:13",139282,42,"questionnaire-swmb",NA,31005586,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Consent (without UCL ethics)",3,"In","FGEHDICJBA","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM66122"
"1",1690987622025,"02/08/2023 14:47:02",1690991222025,1,"02/08/2023 16:47:02",139282,42,"questionnaire-swmb",NA,31010033,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"Consent (without UCL ethics)",3,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM18638"
"1",1691002670210,"02/08/2023 18:57:50",1691006270210,1,"02/08/2023 20:57:50",139282,42,"questionnaire-swmb",NA,31015289,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Consent (without UCL ethics)",3,"In","HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM61449"
"1",1691077356074,"03/08/2023 15:42:36",1691080956074,1,"03/08/2023 17:42:36",139282,42,"questionnaire-swmb",NA,31037006,9203593,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2562x1332","2560x1325",NA,NA,NA,"Consent (without UCL ethics)",3,"In","IJHAGBFCED","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM91602"
"1",1691095785931,"03/08/2023 20:49:45",1691099385931,1,"03/08/2023 22:49:45",139282,42,"questionnaire-swmb",NA,31043065,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Consent (without UCL ethics)",3,"In","JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM79155"
"1",1691228507242,"05/08/2023 09:41:47",1691232107242,1,"05/08/2023 11:41:47",139282,42,"questionnaire-swmb",NA,31065790,9210157,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x595",NA,NA,NA,"Consent (without UCL ethics)",3,"In","ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM01588"
"1",1691236234906,"05/08/2023 11:50:34",1691239834906,1,"05/08/2023 13:50:34",139282,42,"questionnaire-swmb",NA,31067452,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Consent (without UCL ethics)",3,"In","BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","VF_1st","In","1","1","1","1","1","1","1","1","1","1","1","SUPTM20104"
