"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1710524085934,"15/03/2024 17:34:45",1710506085934,-5,"15/03/2024 07:34:45",171533,4,"questionnaire-wop8",NA,36132788,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1-0","1","SUPPRF82392"
"1",1710525353343,"15/03/2024 17:55:53",1710525353343,0,"15/03/2024 17:55:53",171533,4,"questionnaire-wop8",NA,36133689,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1431",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1-0","1","SUPPRF19125"
"1",1710528395126,"15/03/2024 18:46:35",1710513995126,-4,"15/03/2024 10:46:35",171533,4,"questionnaire-wop8",NA,36135371,10670897,NA,"complete",NA,"65f48c7739eb876deb45df6f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1500x1000","1500x831",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPPRF52787"
"1",1710533347602,"15/03/2024 20:09:07",1710518947602,-4,"15/03/2024 12:09:07",171533,4,"questionnaire-wop8",NA,36137885,10671677,NA,"complete",NA,"65f4a74462a3ee2f45d46c76","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x727",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Failed AC2","Passed AC1","0-2","3","SUPPRF67318"
"1",1710533618611,"15/03/2024 20:13:38",1710537218611,1,"15/03/2024 22:13:38",171533,4,"questionnaire-wop8",NA,36138070,10671719,NA,"complete",NA,"65f4a95d55f7947822ff0703","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPPRF34851"
"1",1710534816592,"15/03/2024 20:33:36",1710509616592,-7,"15/03/2024 06:33:36",171533,4,"questionnaire-wop8",NA,36138687,10671802,NA,"complete",NA,"65f4adc74b3b22141fd0590e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x645",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1-0","1","SUPPRF60790"
"1",1710536154498,"15/03/2024 20:55:54",1710518154498,-5,"15/03/2024 10:55:54",171533,4,"questionnaire-wop8",NA,36139524,10671945,NA,"complete",NA,"65f4b2f1a1c2c8a3b4054911","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1-0","1","SUPPRF68963"
"1",1710538895754,"15/03/2024 21:41:35",1710513695754,-7,"15/03/2024 07:41:35",171533,4,"questionnaire-wop8",NA,36140697,10672236,NA,"complete",NA,"65f4b761bd9ff8c80728201f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","1-0","1","SUPPRF84585"
"1",1710540475565,"15/03/2024 22:07:55",1710522475565,-5,"15/03/2024 12:07:55",171533,4,"questionnaire-wop8",NA,36141192,10672354,NA,"complete",NA,"65f4c28dbaabda8dcafee3e9","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x559",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1-0","1","SUPPRF98765"
"1",1710541930999,"15/03/2024 22:32:10",1710527530999,-4,"15/03/2024 14:32:10",171533,4,"questionnaire-wop8",NA,36142077,10672498,NA,"complete",NA,"65f4c9821924d962035ee23d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPPRF97604"
"1",1710545096367,"15/03/2024 23:24:56",1710527096367,-5,"15/03/2024 13:24:56",171533,4,"questionnaire-wop8",NA,36142934,10672728,NA,"complete",NA,"65f4d59bfcabf3140fc11967","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1440","2560x1271",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1-0","1","SUPPRF21256"
"1",1710547778045,"16/03/2024 00:09:38",1710547778045,0,"16/03/2024 00:09:38",171533,4,"questionnaire-wop8",NA,36143343,10672824,NA,"complete",NA,"65f4e159509732b59f7378aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x677",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","1-0","1","SUPPRF99019"
"1",1710553084955,"16/03/2024 01:38:04",1710538684955,-4,"15/03/2024 17:38:04",171533,4,"questionnaire-wop8",NA,36144097,10673034,NA,"complete",NA,"65f4f4e3dc148945f0f080cd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1433x788",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPPRF68317"
