"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1710523162206,"15/03/2024 17:19:22",1710505162206,-5,"15/03/2024 07:19:22",171533,4,"questionnaire-s6dh",NA,36132244,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF82392"
"1",1710524769862,"15/03/2024 17:46:09",1710524769862,0,"15/03/2024 17:46:09",171533,4,"questionnaire-s6dh",NA,36133260,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1379",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF19125"
"1",1710525575728,"15/03/2024 17:59:35",1710511175728,-4,"15/03/2024 09:59:35",171533,4,"questionnaire-s6dh",NA,36133822,10670897,NA,"complete",NA,"65f48c7739eb876deb45df6f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1500x1000","1500x831",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF52787"
"1",1710532436063,"15/03/2024 19:53:56",1710518036063,-4,"15/03/2024 11:53:56",171533,4,"questionnaire-s6dh",NA,36137423,10671677,NA,"complete",NA,"65f4a74462a3ee2f45d46c76","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x727",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPPRF67318"
"1",1710533020504,"15/03/2024 20:03:40",1710536620504,1,"15/03/2024 22:03:40",171533,4,"questionnaire-s6dh",NA,36137730,10671719,NA,"complete",NA,"65f4a95d55f7947822ff0703","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF34851"
"1",1710534104587,"15/03/2024 20:21:44",1710508904587,-7,"15/03/2024 06:21:44",171533,4,"questionnaire-s6dh",NA,36138310,10671802,NA,"complete",NA,"65f4adc74b3b22141fd0590e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x645",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF60790"
"1",1710535434360,"15/03/2024 20:43:54",1710517434360,-5,"15/03/2024 10:43:54",171533,4,"questionnaire-s6dh",NA,36139117,10671945,NA,"complete",NA,"65f4b2f1a1c2c8a3b4054911","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF68963"
"1",1710537998299,"15/03/2024 21:26:38",1710512798299,-7,"15/03/2024 07:26:38",171533,4,"questionnaire-s6dh",NA,36140276,10672236,NA,"complete",NA,"65f4b761bd9ff8c80728201f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF84585"
"1",1710539422120,"15/03/2024 21:50:22",1710521422120,-5,"15/03/2024 11:50:22",171533,4,"questionnaire-s6dh",NA,36140831,10672354,NA,"complete",NA,"65f4c28dbaabda8dcafee3e9","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x559",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF98765"
"1",1710541198844,"15/03/2024 22:19:58",1710526798844,-4,"15/03/2024 14:19:58",171533,4,"questionnaire-s6dh",NA,36141502,10672498,NA,"complete",NA,"65f4c9821924d962035ee23d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF97604"
"1",1710544537378,"15/03/2024 23:15:37",1710526537378,-5,"15/03/2024 13:15:37",171533,4,"questionnaire-s6dh",NA,36142814,10672728,NA,"complete",NA,"65f4d59bfcabf3140fc11967","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1440","2560x1271",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF21256"
"1",1710547316725,"16/03/2024 00:01:56",1710547316725,0,"16/03/2024 00:01:56",171533,4,"questionnaire-s6dh",NA,36143263,10672824,NA,"complete",NA,"65f4e159509732b59f7378aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x677",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF99019"
"1",1710552314385,"16/03/2024 01:25:14",1710537914385,-4,"15/03/2024 17:25:14",171533,4,"questionnaire-s6dh",NA,36143991,10673034,NA,"complete",NA,"65f4f4e3dc148945f0f080cd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1433x788",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF68317"
"1",1710554185185,"16/03/2024 01:56:25",1710539785185,-4,"15/03/2024 17:56:25",171533,4,"questionnaire-s6dh",NA,36144187,10673101,NA,"rejected - time limit reached",NA,"65f4fc3015749b705e09259c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1379x668",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF22695"
"1",1710575480044,"16/03/2024 07:51:20",1710575480044,0,"16/03/2024 07:51:20",171533,4,"questionnaire-s6dh",NA,36145750,10673578,NA,"complete",NA,"65f54f62c2db2b8f78461476","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF24929"
"1",1710587452362,"16/03/2024 11:10:52",1710587452362,0,"16/03/2024 11:10:52",171533,4,"questionnaire-s6dh",NA,36148145,10674075,NA,"complete",NA,"65f57e264af96460db0901a2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF42659"
"1",1710593126309,"16/03/2024 12:45:26",1710593126309,0,"16/03/2024 12:45:26",171533,4,"questionnaire-s6dh",NA,36149541,10674438,NA,"complete",NA,"65f593ae1c411d371249e041","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1920x1080","1920x945",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF60041"
"1",1710596366618,"16/03/2024 13:39:26",1710596366618,0,"16/03/2024 13:39:26",171533,4,"questionnaire-s6dh",NA,36150318,10674633,NA,"complete",NA,"65f5a0f18f9ee4e035af44dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1181x709",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF42335"
"1",1710598068127,"16/03/2024 14:07:48",1710598068127,0,"16/03/2024 14:07:48",171533,4,"questionnaire-s6dh",NA,36150727,10674739,NA,"complete",NA,"65f5a7a0a41725db8eff3861","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1600x742",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF74365"
"1",1710599051733,"16/03/2024 14:24:11",1710599051733,0,"16/03/2024 14:24:11",171533,4,"questionnaire-s6dh",NA,36151040,10674802,NA,"complete",NA,"65f5ab7ddf5d5ea675b1d523","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x551",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF04651"
"1",1710609485744,"16/03/2024 17:18:05",1710609485744,0,"16/03/2024 17:18:05",171533,4,"questionnaire-s6dh",NA,36154918,10675750,NA,"complete",NA,"65f5d439391bec682990ea69","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF88823"
"1",1710611937035,"16/03/2024 17:58:57",1710611937035,0,"16/03/2024 17:58:57",171533,4,"questionnaire-s6dh",NA,36155548,10675925,NA,"complete",NA,"65f5ddcefcabf3140fc153c7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF30067"
"1",1710614492413,"16/03/2024 18:41:32",1710596492413,-5,"16/03/2024 08:41:32",171533,4,"questionnaire-s6dh",NA,36156170,10676048,NA,"rejected - time limit reached",NA,"65f5e7bfa4fe5d09132830dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF61269"
