"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1697544988432,"17/10/2023 12:16:28",1697548588432,1,"17/10/2023 14:16:28",147682,3,"questionnaire-xamc",NA,32290564,9549831,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1440","2560x1279",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2","SUPPRF96180"
"1",1697545084995,"17/10/2023 12:18:04",1697548684995,1,"17/10/2023 14:18:04",147682,3,"questionnaire-xamc",NA,32290607,9549844,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2",NA,"1","2","SUPPRF31218"
"1",1697545397821,"17/10/2023 12:23:17",1697548997821,1,"17/10/2023 14:23:17",147682,3,"questionnaire-xamc",NA,32290752,9549837,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2",NA,"1","2","SUPPRF43420"
"1",1697546252726,"17/10/2023 12:37:32",1697549852726,1,"17/10/2023 14:37:32",147682,3,"questionnaire-xamc",NA,32291115,9550001,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.31","1280x720","1272x598",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2",NA,"1","2","SUPPRF66122"
"1",1697546661604,"17/10/2023 12:44:21",1697550261604,1,"17/10/2023 14:44:21",147682,3,"questionnaire-xamc",NA,32291599,9550140,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2",NA,"1","2","SUPPRF75168"
"1",1697547045953,"17/10/2023 12:50:45",1697550645953,1,"17/10/2023 14:50:45",147682,3,"questionnaire-xamc",NA,32292086,9550288,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x941",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2",NA,"1","2","SUPPRF71510"
"1",1697565588080,"17/10/2023 17:59:48",1697551188080,-4,"17/10/2023 09:59:48",147682,3,"questionnaire-xamc",NA,32292595,9550439,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x705",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2",NA,"1","2","SUPPRF51583"
"1",1697566078453,"17/10/2023 18:07:58",1697551678453,-4,"17/10/2023 10:07:58",147682,3,"questionnaire-xamc",NA,32293083,9550543,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x733",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2","SUPPRF16716"
"1",1697576775517,"17/10/2023 21:06:15",1697562375517,-4,"17/10/2023 13:06:15",147682,3,"questionnaire-xamc",NA,32306475,9553290,NA,"rejected - time limit reached",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x720","1280x610",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1","2","SUPPRF34589"
"1",1697560223431,"17/10/2023 16:30:23",1697563823431,1,"17/10/2023 18:30:23",147682,3,"questionnaire-xamc",NA,32309967,9554018,NA,"rejected - time limit reached",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x720","1280x563",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2",NA,"1","2","SUPPRF08202"
