"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1699640150196,"10/11/2023 18:15:50",1699640150196,0,"10/11/2023 18:15:50",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45424"
"2",1699640154859,"10/11/2023 18:15:54",1699640154859,0,"10/11/2023 18:15:54",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4581.31700000019,4566.747,4581.31700000019,4581.31700000019,4566.747,4581.31700000019,1,4581.31700000019,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF45424"
"3",1699640161131,"10/11/2023 18:16:01",1699640161131,0,"10/11/2023 18:16:01",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",6286.66999999981,6283.082,6286.66999999981,6286.66999999981,6283.082,6286.66999999981,1,6286.66999999981,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF45424"
"4",1699640163722,"10/11/2023 18:16:03",1699640163722,0,"10/11/2023 18:16:03",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",2595.38800000009,2583.492,2595.38800000009,2595.38800000009,2583.492,2595.38800000009,1,2595.38800000009,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF45424"
"5",1699640166199,"10/11/2023 18:16:06",1699640166199,0,"10/11/2023 18:16:06",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",2488.39600000009,2483.234,2488.39600000009,2488.39600000009,2483.234,2488.39600000009,1,2488.39600000009,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF45424"
"6",1699640168678,"10/11/2023 18:16:08",1699640168678,0,"10/11/2023 18:16:08",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",5,"continue","",2483.234,2466.568,2483.234,2483.234,2466.568,2483.234,1,2483.234,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF45424"
"7",1699640168681,"10/11/2023 18:16:08",1699640168681,0,"10/11/2023 18:16:08",151512,5,"task-w25u",NA,32874832,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45424"
"1",1699644590073,"10/11/2023 19:29:50",1699644590073,0,"10/11/2023 19:29:50",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF89348"
"2",1699644641089,"10/11/2023 19:30:41",1699644641089,0,"10/11/2023 19:30:41",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",50929.6799999046,50910.303,50929.6799999046,50929.6799999046,50910.303,50929.6799999046,1,50929.6799999046,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF89348"
"3",1699644658549,"10/11/2023 19:30:58",1699644658549,0,"10/11/2023 19:30:58",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",17483.8769999046,17469.964,17483.8769999046,17483.8769999046,17469.964,17483.8769999046,1,17483.8769999046,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF89348"
"4",1699644661929,"10/11/2023 19:31:01",1699644661929,0,"10/11/2023 19:31:01",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",3394.01299992847,3367.579,3394.01299992847,3394.01299992847,3367.579,3394.01299992847,1,3394.01299992847,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF89348"
"5",1699644664692,"10/11/2023 19:31:04",1699644664692,0,"10/11/2023 19:31:04",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",2789.53399995231,2767.34199999999,2789.53399995231,2789.53399995231,2767.34199999999,2789.53399995231,1,2789.53399995231,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF89348"
"6",1699644667777,"10/11/2023 19:31:07",1699644667777,0,"10/11/2023 19:31:07",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",5,"continue","",3107.39200000001,3100.35900000001,3107.39200000001,3107.39200000001,3100.35900000001,3107.39200000001,1,3107.39200000001,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF89348"
"7",1699644667781,"10/11/2023 19:31:07",1699644667781,0,"10/11/2023 19:31:07",151512,5,"task-w25u",NA,32875845,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF89348"
"1",1699645148135,"10/11/2023 19:39:08",1699645148135,0,"10/11/2023 19:39:08",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45704"
"2",1699645152650,"10/11/2023 19:39:12",1699645152650,0,"10/11/2023 19:39:12",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4461.95500002384,4446.055,4461.95500002384,4461.95500002384,4446.055,4461.95500002384,1,4461.95500002384,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF45704"
"3",1699645164083,"10/11/2023 19:39:24",1699645164083,0,"10/11/2023 19:39:24",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",11439.859,11423.181,11439.859,11439.859,11423.181,11439.859,1,11439.859,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF45704"
"4",1699645167241,"10/11/2023 19:39:27",1699645167241,0,"10/11/2023 19:39:27",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",3180.498,3163.824,3180.498,3180.498,3163.824,3180.498,1,3180.498,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF45704"
"5",1699645169995,"10/11/2023 19:39:29",1699645169995,0,"10/11/2023 19:39:29",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",2773.69499997616,2764.21,2773.69499997616,2773.69499997616,2764.21,2773.69499997616,1,2773.69499997616,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF45704"
"6",1699645172933,"10/11/2023 19:39:32",1699645172933,0,"10/11/2023 19:39:32",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",5,"continue","",2947.292,2930.691,2947.292,2947.292,2930.691,2947.292,1,2947.292,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF45704"
"7",1699645172936,"10/11/2023 19:39:32",1699645172936,0,"10/11/2023 19:39:32",151512,5,"task-w25u",NA,32876022,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45704"
"1",1699644878090,"10/11/2023 19:34:38",1699644878090,0,"10/11/2023 19:34:38",151512,5,"task-w25u",NA,32875943,9736180,NA,"complete",NA,"654e7dc17634b6d7df3e7554","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1920x1039",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF70595"
"2",1699644881609,"10/11/2023 19:34:41",1699644881609,0,"10/11/2023 19:34:41",151512,5,"task-w25u",NA,32875943,9736180,NA,"complete",NA,"654e7dc17634b6d7df3e7554","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1920x1039",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3308.42,3293.84,3308.42,3308.42,3293.84,3308.42,1,3308.42,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF70595"
"3",1699644893790,"10/11/2023 19:34:53",1699644893790,0,"10/11/2023 19:34:53",151512,5,"task-w25u",NA,32875943,9736180,NA,"complete",NA,"654e7dc17634b6d7df3e7554","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1920x1039",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",12196.08,12189.454,12196.08,12196.08,12189.454,12196.08,1,12196.08,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF70595"
"4",1699644896892,"10/11/2023 19:34:56",1699644896892,0,"10/11/2023 19:34:56",151512,5,"task-w25u",NA,32875943,9736180,NA,"complete",NA,"654e7dc17634b6d7df3e7554","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1920x1039",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",3108.82600001788,3093.2,3108.82600001788,3108.82600001788,3093.2,3108.82600001788,1,3108.82600001788,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF70595"
"5",1699644899254,"10/11/2023 19:34:59",1699644899254,0,"10/11/2023 19:34:59",151512,5,"task-w25u",NA,32875943,9736180,NA,"complete",NA,"654e7dc17634b6d7df3e7554","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1920x1039",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",2377.22600001192,2374.727,2377.22600001192,2377.22600001192,2374.727,2377.22600001192,1,2377.22600001192,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF70595"
