"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1702911371619,"18/12/2023 14:56:11",1702911371619,0,"18/12/2023 14:56:11",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF23130"
"2",1702911376276,"18/12/2023 14:56:16",1702911376276,0,"18/12/2023 14:56:16",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4448.89999998808,4433.4,4448.89999998808,4448.89999998808,4433.4,4448.89999998808,1,4448.89999998808,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF23130"
"3",1702911381088,"18/12/2023 14:56:21",1702911381088,0,"18/12/2023 14:56:21",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",4826.8,4816.7,4826.8,4826.8,4816.7,4826.8,1,4826.8,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF23130"
"4",1702911384280,"18/12/2023 14:56:24",1702911384280,0,"18/12/2023 14:56:24",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",3202.50000000596,3199.9,3202.50000000596,3202.50000000596,3199.9,3202.50000000596,1,3202.50000000596,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF23130"
"5",1702911390893,"18/12/2023 14:56:30",1702911390893,0,"18/12/2023 14:56:30",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",6616.10000000596,6600.2,6616.10000000596,6616.10000000596,6600.2,6616.10000000596,1,6616.10000000596,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF23130"
"6",1702911393897,"18/12/2023 14:56:33",1702911393897,0,"18/12/2023 14:56:33",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",5,"continue","",3020,3016.7,3020,3020,3016.7,3020,1,3020,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF23130"
"7",1702911393898,"18/12/2023 14:56:33",1702911393898,0,"18/12/2023 14:56:33",157680,2,"task-w25u",NA,33757609,9985032,NA,"complete",NA,"65805a6478141009e3ad2700","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF23130"
"1",1702912511496,"18/12/2023 15:15:11",1702912511496,0,"18/12/2023 15:15:11",157680,2,"task-w25u",NA,33758095,9985135,NA,"complete",NA,"65805e99a3d357b82d00161a","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1368x912","1368x743",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF57988"
"2",1702912514646,"18/12/2023 15:15:14",1702912514646,0,"18/12/2023 15:15:14",157680,2,"task-w25u",NA,33758095,9985135,NA,"complete",NA,"65805e99a3d357b82d00161a","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1368x912","1368x743",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3008.79999995232,3002.1,3008.79999995232,3008.79999995232,3002.1,3008.79999995232,1,3008.79999995232,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF57988"
"3",1702912522643,"18/12/2023 15:15:22",1702912522643,0,"18/12/2023 15:15:22",157680,2,"task-w25u",NA,33758095,9985135,NA,"complete",NA,"65805e99a3d357b82d00161a","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1368x912","1368x743",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",8004.19999995232,7989,8004.19999995232,8004.19999995232,7989,8004.19999995232,1,8004.19999995232,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF57988"
"4",1702912526322,"18/12/2023 15:15:26",1702912526322,0,"18/12/2023 15:15:26",157680,2,"task-w25u",NA,33758095,9985135,NA,"complete",NA,"65805e99a3d357b82d00161a","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1368x912","1368x743",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",3694.29999997616,3686,3694.29999997616,3694.29999997616,3686,3694.29999997616,1,3694.29999997616,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF57988"
"5",1702912541197,"18/12/2023 15:15:41",1702912541197,0,"18/12/2023 15:15:41",157680,2,"task-w25u",NA,33758095,9985135,NA,"complete",NA,"65805e99a3d357b82d00161a","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1368x912","1368x743",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio)",1,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",14883.0999999881,14876.9,14883.0999999881,14883.0999999881,14876.9,14883.0999999881,1,14883.0999999881,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF57988"
