"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1709575314093,"04/03/2024 18:01:54",1709575314093,0,"04/03/2024 18:01:54",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45961"
"2",1709575343717,"04/03/2024 18:02:23",1709575343717,0,"04/03/2024 18:02:23",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",29629.722,29613.022,29629.722,29629.722,29613.022,29629.722,1,29629.722,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF45961"
"3",1709575343719,"04/03/2024 18:02:23",1709575343719,0,"04/03/2024 18:02:23",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",12357.722,29613.022,29629.722,12357.722,29613.022,29629.722,1,12357.722,17272,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF45961"
"4",1709575343719,"04/03/2024 18:02:23",1709575343719,0,"04/03/2024 18:02:23",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",17082.222,29613.022,29629.722,17082.222,29613.022,29629.722,1,17082.222,12547.5,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF45961"
"5",1709575343719,"04/03/2024 18:02:23",1709575343719,0,"04/03/2024 18:02:23",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",28298.722,29613.022,29629.722,28298.722,29613.022,29629.722,1,28298.722,1331,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF45961"
"6",1709575364058,"04/03/2024 18:02:44",1709575364058,0,"04/03/2024 18:02:44",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",20360.6,20354,20360.6,20360.6,20354,20360.6,1,20360.6,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF45961"
"7",1709575364061,"04/03/2024 18:02:44",1709575364061,0,"04/03/2024 18:02:44",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",4418.6,20354,20363.9000000119,4418.6,20354,20363.9000000119,1,4418.6,15945.3000000119,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF45961"
"8",1709575364061,"04/03/2024 18:02:44",1709575364061,0,"04/03/2024 18:02:44",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",10059.6,20354,20364.4000000119,10059.6,20354,20364.4000000119,1,10059.6,10304.8000000119,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF45961"
"9",1709575364062,"04/03/2024 18:02:44",1709575364062,0,"04/03/2024 18:02:44",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",18757.1,20354,20364.7999999881,18757.1,20354,20364.7999999881,1,18757.1,1607.69999998808,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF45961"
"10",1709575378139,"04/03/2024 18:02:58",1709575378139,0,"04/03/2024 18:02:58",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",14087.4999999762,14082.9,14087.4999999762,14087.4999999762,14082.9,14087.4999999762,1,14087.4999999762,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF45961"
