"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1689012169325,"10/07/2023 18:02:49",1689015769325,1,"10/07/2023 20:02:49",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM31721"
"2",1689012171866,"10/07/2023 18:02:51",1689015771866,1,"10/07/2023 20:02:51",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",2215.06200009537,2212.168,2215.06200009537,2215.06200009537,2212.168,2215.06200009537,1,2215.06200009537,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WM-035-032-S.jpeg",NA,"SUPTM31721"
"3",1689012171867,"10/07/2023 18:02:51",1689015771867,1,"10/07/2023 20:02:51",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","0",1571.983,2212.168,2215.56200009537,1571.983,2212.168,2215.56200009537,1,1571.983,643.579000095368,0,NA,"Slider","J",3,"object-27","V","CFD-WM-035-032-S.jpeg",NA,"SUPTM31721"
"4",1689012172854,"10/07/2023 18:02:52",1689015772854,1,"10/07/2023 20:02:52",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",989.033,989.033,989.033,989.033,989.033,989.033,1,989.033,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WM-035-032-S.jpeg",NA,"SUPTM31721"
"5",1689012175450,"10/07/2023 18:02:55",1689015775450,1,"10/07/2023 20:02:55",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"continue","",2597.961,2594.488,2597.961,2597.961,2594.488,2597.961,1,2597.961,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WF-015-006-H.jpeg",NA,"SUPTM31721"
"6",1689012175450,"10/07/2023 18:02:55",1689015775450,1,"10/07/2023 20:02:55",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"response","72",1895.261,2594.488,2598.16100004768,1895.261,2594.488,2598.16100004768,1,1895.261,702.900000047684,0,NA,"Slider","J",3,"object-18","J","CFD-WF-015-006-H.jpeg",NA,"SUPTM31721"
"7",1689012176430,"10/07/2023 18:02:56",1689015776430,1,"10/07/2023 20:02:56",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",1,"J","Fixation","w9zir9",2,"continue","",981.914,981.914,981.914,981.914,981.914,981.914,1,981.914,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WF-015-006-H.jpeg",NA,"SUPTM31721"
"8",1689012177939,"10/07/2023 18:02:57",1689015777939,1,"10/07/2023 20:02:57",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",2,"V","Valence","xyoebq",1,"continue","",1509.95900009537,1506.533,1509.95900009537,1509.95900009537,1506.533,1509.95900009537,1,1509.95900009537,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WF-036-023-S.jpeg",NA,"SUPTM31721"
"9",1689012177939,"10/07/2023 18:02:57",1689015777939,1,"10/07/2023 20:02:57",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",2,"V","Valence","xyoebq",1,"response","0",770.742000000001,1506.533,1510.25900004768,770.742000000001,1506.533,1510.25900004768,1,770.742000000001,739.517000047683,0,NA,"Slider","J",3,"object-27","V","CFD-WF-036-023-S.jpeg",NA,"SUPTM31721"
"10",1689012178916,"10/07/2023 18:02:58",1689015778916,1,"10/07/2023 20:02:58",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",2,"V","Fixation","68owkj",2,"continue","",980.079,980.079,980.079,980.079,980.079,980.079,1,980.079,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WF-036-023-S.jpeg",NA,"SUPTM31721"
