"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"1",1689013220011,"10/07/2023 18:20:20",1689016820011,1,"10/07/2023 20:20:20",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPTM34679"
"2",1689013280885,"10/07/2023 18:21:20",1689016880885,1,"10/07/2023 20:21:20",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",60392.9519999046,60383.791,60392.9519999046,60392.9519999046,60383.791,60392.9519999046,1,60392.9519999046,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"3",1689013280888,"10/07/2023 18:21:20",1689016880888,1,"10/07/2023 20:21:20",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","the tone of this persons voice is average ",52117.876,60383.791,60396.352,52117.876,60383.791,60396.352,1,52117.876,8278.476,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"4",1689013280889,"10/07/2023 18:21:20",1689016880889,1,"10/07/2023 20:21:20",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","the person gives an adequate description of the picture ",37068.902,60383.791,60396.852,37068.902,60383.791,60396.852,1,37068.902,23327.95,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"5",1689013281846,"10/07/2023 18:21:21",1689016881846,1,"10/07/2023 20:21:21",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.749000000003,966.749000000003,966.749000000003,966.749000000003,966.749000000003,966.749000000003,1,966.749000000003,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"6",1689013369172,"10/07/2023 18:22:49",1689016969172,1,"10/07/2023 20:22:49",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Positive Feedback","Video","w2ir4b",1,"continue","",87331.657,87315.204,87331.657,87331.657,87315.204,87331.657,1,87331.657,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"7",1689013369176,"10/07/2023 18:22:49",1689016969176,1,"10/07/2023 20:22:49",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","this person speaks in quite a friendly, animated way ",23264.792,87315.204,87331.657,23264.792,87315.204,87331.657,1,23264.792,64066.865,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"8",1689013369176,"10/07/2023 18:22:49",1689016969176,1,"10/07/2023 20:22:49",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","the person gives and effective description of the scene",9282.597,87315.204,87331.657,9282.597,87315.204,87331.657,1,9282.597,78049.06,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"9",1689013370123,"10/07/2023 18:22:50",1689016970123,1,"10/07/2023 20:22:50",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,1,"Positive Feedback","Fixation","mtm832",2,"continue","",966.633000000002,966.633000000002,966.633000000002,966.633000000002,966.633000000002,966.633000000002,1,966.633000000002,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"10",1689013574038,"10/07/2023 18:26:14",1689017174038,1,"10/07/2023 20:26:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Positive Feedback","Video","w2ir4b",1,"continue","",203912.674999809,203898.978,203912.674999809,203912.674999809,203898.978,203912.674999809,1,203912.674999809,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"11",1689013574043,"10/07/2023 18:26:14",1689017174043,1,"10/07/2023 20:26:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Positive Feedback","Video","w2ir4b",1,"response","the person effectively reads between the lines and describes the peoples possible emotions ",21615.053,203898.978,203915.68,21615.053,203898.978,203915.68,1,21615.053,182300.627,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"12",1689013574043,"10/07/2023 18:26:14",1689017174043,1,"10/07/2023 20:26:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Positive Feedback","Video","w2ir4b",1,"response","the person gives a succinct description of the scene ",8816.101,203898.978,203915.68,8816.101,203898.978,203915.68,1,8816.101,195099.579,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"13",1689013574991,"10/07/2023 18:26:14",1689017174991,1,"10/07/2023 20:26:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Positive Feedback","Fixation","mtm832",2,"continue","",966.580999999947,966.580999999947,966.580999999947,966.580999999947,966.580999999947,966.580999999947,1,966.580999999947,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"14",1689013667334,"10/07/2023 18:27:47",1689017267334,1,"10/07/2023 20:27:47",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",92343.815999857,92333.314,92343.815999857,92343.815999857,92333.314,92343.815999857,1,92343.815999857,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"15",1689013667338,"10/07/2023 18:27:47",1689017267338,1,"10/07/2023 20:27:47",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","their tone is quite neutral ",86450.473,92333.314,92347.6159998093,86450.473,92333.314,92347.6159998093,1,86450.473,5897.14299980929,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"16",1689013667338,"10/07/2023 18:27:47",1689017267338,1,"10/07/2023 20:27:47",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","the person give a simple description  of the scene",71501.491,92333.314,92347.916,71501.491,92333.314,92347.916,1,71501.491,20846.425,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
