"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"1",1691005733286,"02/08/2023 19:48:53",1691009333286,1,"02/08/2023 21:48:53",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","",NA,NA,NA,"SUPTM61449"
"2",1691005735967,"02/08/2023 19:48:55",1691009335967,1,"02/08/2023 21:48:55",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Instructions","Screen 3","6w7c99",1,"continue","",2707.06199999981,2700.023,2707.06199999981,2707.06199999981,2700.023,2707.06199999981,1,2707.06199999981,0,0,NA,"Click To Continue","Continue Button",2,"object-29",NA,NA,"","","Instructions",NA,NA,NA,"SUPTM61449"
"3",1691005737291,"02/08/2023 19:48:57",1691009337291,1,"02/08/2023 21:48:57",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Instructions","Screen 4","4vof69",2,"continue","",1332.53899999981,1316.639,1332.53899999981,1332.53899999981,1316.639,1332.53899999981,1,1332.53899999981,0,0,NA,"Click To Continue","Continue Button",2,"object-41",NA,NA,"","","Instructions",NA,NA,NA,"SUPTM61449"
"4",1691005822564,"02/08/2023 19:50:22",1691009422564,1,"02/08/2023 21:50:22",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Task","Screen 1","113qg5",1,"continue","",85288.1,85284.077,85288.1,85288.1,85284.077,85288.1,1,85288.1,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"I could easily picture what you were describing.","You seemed very in-control.","Task",NA,NA,NA,"SUPTM61449"
"5",1691005824328,"02/08/2023 19:50:24",1691009424328,1,"02/08/2023 21:50:24",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Task","Screen 3","izqege",2,"continue","",1766.833,1766.833,1766.833,1766.833,1766.833,1766.833,1,1766.833,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"I could easily picture what you were describing.","You seemed very in-control.","Task",NA,NA,NA,"SUPTM61449"
"6",1691005829612,"02/08/2023 19:50:29",1691009429612,1,"02/08/2023 21:50:29",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",2,"Task","Screen 1","113qg5",1,"continue","",5285.69,5283.139,5285.69,5285.69,5283.139,5285.69,1,5285.69,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"That was perfect.","You are really engaging when you speak.","Task",NA,NA,NA,"SUPTM61449"
"7",1691005831377,"02/08/2023 19:50:31",1691009431377,1,"02/08/2023 21:50:31",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",2,"Task","Screen 3","izqege",2,"continue","",1766.92600000001,1766.92600000001,1766.92600000001,1766.92600000001,1766.92600000001,1766.92600000001,1,1766.92600000001,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was perfect.","You are really engaging when you speak.","Task",NA,NA,NA,"SUPTM61449"
"8",1691005865928,"02/08/2023 19:51:05",1691009465928,1,"02/08/2023 21:51:05",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",3,"Task","Screen 1","113qg5",1,"continue","",34551.4250000007,34550.107,34551.4250000007,34551.4250000007,34550.107,34551.4250000007,1,34551.4250000007,0,0,NA,"Click To Continue","Text_left_X1",2,"object-18",NA,1,"That was decent.","You said all the right things.","Task",NA,NA,NA,"SUPTM61449"
"9",1691005867694,"02/08/2023 19:51:07",1691009467694,1,"02/08/2023 21:51:07",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",3,"Task","Screen 3","izqege",2,"continue","",1766.897,1766.897,1766.897,1766.897,1766.897,1766.897,1,1766.897,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was decent.","You said all the right things.","Task",NA,NA,NA,"SUPTM61449"
"10",1691005959264,"02/08/2023 19:52:39",1691009559264,1,"02/08/2023 21:52:39",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",4,"Task","Screen 1","113qg5",1,"continue","",91570.9210000008,91565.708,91570.9210000008,91570.9210000008,91565.708,91570.9210000008,1,91570.9210000008,0,0,NA,"Click To Continue","Text_left_X1",2,"object-18",NA,1,"That was decent.","Well done!","Task",NA,NA,NA,"SUPTM61449"
