"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1690912366573,"01/08/2023 17:52:46",1690915966573,1,"01/08/2023 19:52:46",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM24387"
"2",1690912382602,"01/08/2023 17:53:02",1690915982602,1,"01/08/2023 19:53:02",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",16042.779,16033.529,16042.779,16042.779,16033.529,16042.779,1,16042.779,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM24387"
"3",1690912384883,"01/08/2023 17:53:04",1690915984883,1,"01/08/2023 19:53:04",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",2291.14999997616,2283.386,2291.14999997616,2291.14999997616,2283.386,2291.14999997616,1,2291.14999997616,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM24387"
"4",1690912391314,"01/08/2023 17:53:11",1690915991314,1,"01/08/2023 19:53:11",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",6438.26399997616,6433.242,6438.26399997616,6438.26399997616,6433.242,6438.26399997616,1,6438.26399997616,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM24387"
"5",1690912395472,"01/08/2023 17:53:15",1690915995472,1,"01/08/2023 19:53:15",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",4163.42200001192,4150.07,4163.42200001192,4163.42200001192,4150.07,4163.42200001192,1,4163.42200001192,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM24387"
"6",1690912402097,"01/08/2023 17:53:22",1690916002097,1,"01/08/2023 19:53:22",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",6638.45199997616,6633.415,6638.45199997616,6638.45199997616,6633.415,6638.45199997616,1,6638.45199997616,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM24387"
"7",1690912405250,"01/08/2023 17:53:25",1690916005250,1,"01/08/2023 19:53:25",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",3158.137,3150.03,3158.137,3158.137,3150.03,3158.137,1,3158.137,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPTM24387"
"8",1690912461221,"01/08/2023 17:54:21",1690916061221,1,"01/08/2023 19:54:21",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",55977.7070000238,55966.765,55977.7070000238,55977.7070000238,55966.765,55977.7070000238,1,55977.7070000238,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM24387"
"9",1690912461232,"01/08/2023 17:54:21",1690916061232,1,"01/08/2023 19:54:21",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","Your voice was clear enough.",33483.379,55966.765,55983.36,33483.379,55966.765,55983.36,1,33483.379,22499.981,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM24387"
"10",1690912461232,"01/08/2023 17:54:21",1690916061232,1,"01/08/2023 19:54:21",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","I think I understand the picture from the description.",45833.427,55966.765,55983.36,45833.427,55966.765,55983.36,1,45833.427,10149.933,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM24387"
"11",1690912461235,"01/08/2023 17:54:21",1690916061235,1,"01/08/2023 19:54:21",139282,42,"task-oyxw",NA,30991098,9194236,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM24387"
"1",1691003901883,"02/08/2023 19:18:21",1691007501883,1,"02/08/2023 21:18:21",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM61449"
"2",1691004285417,"02/08/2023 19:24:45",1691007885417,1,"02/08/2023 21:24:45",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",383566.287,383551.679,383566.287,383566.287,383551.679,383566.287,1,383566.287,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM61449"
"3",1691004285872,"02/08/2023 19:24:45",1691007885872,1,"02/08/2023 21:24:45",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",466.65499999997,449.989000000001,466.65499999997,466.65499999997,449.989000000001,466.65499999997,1,466.65499999997,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM61449"
"4",1691004287425,"02/08/2023 19:24:47",1691007887425,1,"02/08/2023 21:24:47",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",1571.91899999982,1566.614,1571.91899999982,1571.91899999982,1566.614,1571.91899999982,1,1571.91899999982,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM61449"
"5",1691004288777,"02/08/2023 19:24:48",1691007888777,1,"02/08/2023 21:24:48",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",1357.30499999982,1350.016,1357.30499999982,1357.30499999982,1350.016,1357.30499999982,1,1357.30499999982,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM61449"
"6",1691004293711,"02/08/2023 19:24:53",1691007893711,1,"02/08/2023 21:24:53",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",4941.489,4933.19400000002,4941.489,4941.489,4933.19400000002,4941.489,1,4941.489,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM61449"
"7",1691004294591,"02/08/2023 19:24:54",1691007894591,1,"02/08/2023 21:24:54",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",888.694999999425,883.524999999965,888.694999999425,888.694999999425,883.524999999965,888.694999999425,1,888.694999999425,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPTM61449"
"8",1691004331153,"02/08/2023 19:25:31",1691007931153,1,"02/08/2023 21:25:31",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",36548.6699999995,36533.499,36548.6699999995,36548.6699999995,36533.499,36548.6699999995,1,36548.6699999995,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM61449"
"9",1691004331173,"02/08/2023 19:25:31",1691007931173,1,"02/08/2023 21:25:31",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","She is coherent in her speech.",16916.776,36533.499,36550.165,16916.776,36533.499,36550.165,1,16916.776,19633.389,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM61449"
"10",1691004331177,"02/08/2023 19:25:31",1691007931177,1,"02/08/2023 21:25:31",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","She describes the various components of what she sees.",23866.792,36533.499,36550.165,23866.792,36533.499,36550.165,1,23866.792,12683.373,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM61449"
"11",1691004331184,"02/08/2023 19:25:31",1691007931184,1,"02/08/2023 21:25:31",139282,42,"task-oyxw",NA,31015562,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM61449"
"1",1691236954967,"05/08/2023 12:02:34",1691240554967,1,"05/08/2023 14:02:34",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM20104"
"2",1691236963138,"05/08/2023 12:02:43",1691240563138,1,"05/08/2023 14:02:43",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",8188,8183,8188,8188,8183,8188,1,8188,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM20104"
"3",1691236964870,"05/08/2023 12:02:44",1691240564870,1,"05/08/2023 14:02:44",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",1736,1733,1736,1736,1733,1736,1,1736,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM20104"
"4",1691236966988,"05/08/2023 12:02:46",1691240566988,1,"05/08/2023 14:02:46",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",2122,2116,2122,2122,2116,2122,1,2122,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM20104"
"5",1691236970406,"05/08/2023 12:02:50",1691240570406,1,"05/08/2023 14:02:50",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",3423,3417,3423,3423,3417,3423,1,3423,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM20104"
"6",1691236976236,"05/08/2023 12:02:56",1691240576236,1,"05/08/2023 14:02:56",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",5837,5833,5837,5837,5833,5837,1,5837,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM20104"
"7",1691236977486,"05/08/2023 12:02:57",1691240577486,1,"05/08/2023 14:02:57",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",1254,1250,1254,1254,1250,1254,1,1254,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPTM20104"
"8",1691237021373,"05/08/2023 12:03:41",1691240621373,1,"05/08/2023 14:03:41",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",43884,43880,43884,43884,43880,43884,1,43884,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM20104"
"9",1691237021377,"05/08/2023 12:03:41",1691240621377,1,"05/08/2023 14:03:41",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","She does not seem very confident",28947,43880,43895,28947,43880,43895,1,28947,14948,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM20104"
"10",1691237021379,"05/08/2023 12:03:41",1691240621379,1,"05/08/2023 14:03:41",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","She is quite halting in her speech",35930,43880,43896,35930,43880,43896,1,35930,7966,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM20104"
"11",1691237021383,"05/08/2023 12:03:41",1691240621383,1,"05/08/2023 14:03:41",139282,42,"task-oyxw",NA,31067506,9210346,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x792","1707x786",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","BCADJEIFHG",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM20104"
"1",1691429313015,"07/08/2023 17:28:33",1691432913015,1,"07/08/2023 19:28:33",139282,42,"task-oyxw",NA,31091963,9216438,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM83190"
