"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1710523985851,"15/03/2024 17:33:05",1710505985851,-5,"15/03/2024 07:33:05",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82392"
"2",1710524023500,"15/03/2024 17:33:43",1710506023500,-5,"15/03/2024 07:33:43",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",37665.6000000015,37649.6,37665.6000000015,37665.6000000015,37649.6,37665.6000000015,1,37665.6000000015,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF82392"
"3",1710524023504,"15/03/2024 17:33:43",1710506023504,-5,"15/03/2024 07:33:43",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",19382.3,37649.6,37666.3,19382.3,37649.6,37666.3,1,19382.3,18284,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF82392"
"4",1710524023506,"15/03/2024 17:33:43",1710506023506,-5,"15/03/2024 07:33:43",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",24015.5,37649.6,37666.3,24015.5,37649.6,37666.3,1,24015.5,13650.8,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF82392"
"5",1710524023506,"15/03/2024 17:33:43",1710506023506,-5,"15/03/2024 07:33:43",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",35883,37649.6,37666.3,35883,37649.6,37666.3,1,35883,1783.3,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF82392"
"6",1710524055539,"15/03/2024 17:34:15",1710506055539,-5,"15/03/2024 07:34:15",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",32054.4,32048.7,32054.4,32054.4,32048.7,32054.4,1,32054.4,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF82392"
"7",1710524055543,"15/03/2024 17:34:15",1710506055543,-5,"15/03/2024 07:34:15",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",7566.5,32048.7,32058.5999999993,7566.5,32048.7,32058.5999999993,1,7566.5,24492.0999999993,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF82392"
"8",1710524055544,"15/03/2024 17:34:15",1710506055544,-5,"15/03/2024 07:34:15",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",13833,32048.7,32059.4,13833,32048.7,32059.4,1,13833,18226.4,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF82392"
"9",1710524055544,"15/03/2024 17:34:15",1710506055544,-5,"15/03/2024 07:34:15",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",19265.5,32048.7,32059.7999999985,19265.5,32048.7,32059.7999999985,1,19265.5,12794.2999999985,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF82392"
"10",1710524073597,"15/03/2024 17:34:33",1710506073597,-5,"15/03/2024 07:34:33",171533,4,"task-gjqt",NA,36132742,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",18062.8999999993,18050.6,18062.8999999993,18062.8999999993,18050.6,18062.8999999993,1,18062.8999999993,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF82392"
