"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1710524107932,"15/03/2024 17:35:07",1710506107932,-5,"15/03/2024 07:35:07",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82392"
"2",1710524114254,"15/03/2024 17:35:14",1710506114254,-5,"15/03/2024 07:35:14",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",5067.7,5050,5067.7,5067.7,5050,5067.7,1,5067.7,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF82392"
"3",1710524116994,"15/03/2024 17:35:16",1710506116994,-5,"15/03/2024 07:35:16",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2758.99999999776,2749.9,2758.99999999776,2758.99999999776,2749.9,2758.99999999776,1,2758.99999999776,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF82392"
"4",1710524134360,"15/03/2024 17:35:34",1710506134360,-5,"15/03/2024 07:35:34",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",17374.3999999985,17366.4,17374.3999999985,17374.3999999985,17366.4,17374.3999999985,1,17374.3999999985,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF82392"
"5",1710524150438,"15/03/2024 17:35:50",1710506150438,-5,"15/03/2024 07:35:50",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",16081.4,16065.6,16081.4,16081.4,16065.6,16081.4,1,16081.4,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF82392"
"6",1710524200140,"15/03/2024 17:36:40",1710506200140,-5,"15/03/2024 07:36:40",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",49723.8999999985,49715.9,49723.8999999985,49723.8999999985,49715.9,49723.8999999985,1,49723.8999999985,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF82392"
"7",1710524205129,"15/03/2024 17:36:45",1710506205129,-5,"15/03/2024 07:36:45",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",4999.80000000002,4983.20000000001,4999.80000000002,4999.80000000002,4983.20000000001,4999.80000000002,1,4999.80000000002,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF82392"
"8",1710524210231,"15/03/2024 17:36:50",1710506210231,-5,"15/03/2024 07:36:50",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",5121.20000000074,5116.59999999999,5121.20000000074,5121.20000000074,5116.59999999999,5121.20000000074,1,5121.20000000074,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF82392"
"9",1710524212856,"15/03/2024 17:36:52",1710506212856,-5,"15/03/2024 07:36:52",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2630.19999999851,2616.8,2630.19999999851,2630.19999999851,2616.8,2630.19999999851,1,2630.19999999851,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF82392"
"10",1710524212858,"15/03/2024 17:36:52",1710506212858,-5,"15/03/2024 07:36:52",171533,4,"task-kvtv",NA,36132801,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82392"
"1",1710525361057,"15/03/2024 17:56:01",1710525361057,0,"15/03/2024 17:56:01",171533,4,"task-kvtv",NA,36133692,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1431",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF19125"
"2",1710525368131,"15/03/2024 17:56:08",1710525368131,0,"15/03/2024 17:56:08",171533,4,"task-kvtv",NA,36133692,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1431",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",6867,6850.4,6867,6867,6850.4,6867,1,6867,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF19125"
"3",1710525371100,"15/03/2024 17:56:11",1710525371100,0,"15/03/2024 17:56:11",171533,4,"task-kvtv",NA,36133692,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1431",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2988.2,2984.1,2988.2,2988.2,2984.1,2988.2,1,2988.2,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF19125"
"4",1710525378198,"15/03/2024 17:56:18",1710525378198,0,"15/03/2024 17:56:18",171533,4,"task-kvtv",NA,36133692,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1431",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",7100.7,7084,7100.7,7100.7,7084,7100.7,1,7100.7,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF19125"
