"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","Not Applicable","2024-03-25T19:08:00.781000Z","2024-03-25T20:07:57.790000Z","2024-03-27T17:28:30.493000Z","2024-03-25T20:11:19.195537Z",3598,"C6UC3A24",19,"English","No","22","Female","Other","United States","United States","United States","English","No","Part-Time","SUPPRF90446"
"2","APPROVED","Not Applicable","2024-03-25T19:17:00.314000Z","2024-03-25T20:26:09.132000Z","2024-03-27T17:28:30.842000Z","2024-03-25T20:28:16.500385Z",4149,"C6UC3A24",1067,"English, Hindi, Urdu, Punjabi","No","24","Female","Asian","Pakistan","United States","United States","Punjabi","No","Due to start a new job within the next month","SUPPRF44769"
"3","APPROVED","Not Applicable","2024-03-25T23:34:48.568000Z","2024-03-26T00:19:12.492000Z","2024-03-27T17:28:31.092000Z","2024-03-26T00:20:04.252527Z",2664,"C6UC3A24",148,"English","No","24","Female","White","United States","United States","United States","English","No","Full-Time","SUPPRF42267"
"4","APPROVED","Not Applicable","2024-03-26T02:54:44.588000Z","2024-03-26T03:46:49.246000Z","2024-03-27T17:28:31.333000Z","2024-03-26T03:47:17.472773Z",3125,"C6UC3A24",871,"English","No","25","Female","White","United States","United States","United States","English","No","Full-Time","SUPPRF91123"
"5","APPROVED","Not Applicable","2024-03-26T05:01:18.028000Z","2024-03-26T05:55:44.455000Z","2024-03-27T17:28:31.652000Z","2024-03-26T05:55:45.015613Z",3267,"NOCODE",62,"English","No","23","Male","White","United States","United States","United States","English","No","Part-Time","SUPPRF14135"
"6","APPROVED","Not Applicable","2024-03-26T05:29:21.111000Z","2024-03-26T06:16:31.630000Z","2024-03-27T17:28:31.895000Z","2024-03-26T06:16:32.133969Z",2831,"C6UC3A24",255,"English","No","21","Female","White","United States","United States","United States","English","No","Part-Time","SUPPRF82107"
"7","APPROVED","Not Applicable","2024-03-26T10:27:18.294000Z","2024-03-26T11:25:17.208000Z","2024-03-27T17:28:32.178000Z","2024-03-26T11:25:17.709308Z",3479,"C6UC3A24",313,"English","No","22","Female","Asian","Sri Lanka","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF65253"
"8","APPROVED","Not Applicable","2024-03-26T13:10:03.487000Z","2024-03-26T14:04:54.741000Z","2024-03-27T17:28:32.421000Z","2024-03-26T14:05:50.335231Z",3292,"C6UC3A24",587,"Czech, English, Italian","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF87379"
"9","APPROVED","Not Applicable","2024-03-26T13:16:36.040000Z","2024-03-26T14:04:54.429000Z","2024-03-27T17:28:32.656000Z","2024-03-26T14:05:51.007850Z",2899,"C6UC3A24",108,"English, Gaelic","No","22","Female","White","United Kingdom","United Kingdom","Ireland","English","No","Part-Time","SUPPRF48724"
"10","APPROVED","Not Applicable","2024-03-26T20:55:46.482000Z","2024-03-26T21:18:58.573000Z","2024-04-16T00:00:46.452000Z","2024-03-26T21:18:59.014115Z",1393,"NOCODE",13,"English","No","22","Female","White","United States","United States","United States","English","No","Full-Time",NA
"11","APPROVED","Not Applicable","2024-03-26T22:06:38.454000Z","2024-03-26T22:51:01.432000Z","2024-03-27T17:28:32.898000Z","2024-03-26T22:51:01.850959Z",2663,"C6UC3A24",1413,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF49107"
"12","APPROVED","Not Applicable","2024-03-26T22:12:18.486000Z","2024-03-26T22:54:27.264000Z","2024-03-27T17:28:33.138000Z","2024-03-26T22:54:27.753283Z",2529,"C6UC3A24",1519,"English","No","23","Female","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF84251"
"13","APPROVED","Not Applicable","2024-03-26T22:22:31.584000Z","2024-03-26T23:15:08.917000Z","2024-03-27T17:28:33.374000Z","2024-03-27T00:24:48.509335Z",3158,"C6UC3A24",8,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF68800"
"14","APPROVED","Not Applicable","2024-03-27T00:56:58.412000Z","2024-03-27T01:44:00.322000Z","2024-03-27T17:28:33.619000Z","2024-03-27T01:44:19.184334Z",2822,"C6UC3A24",58,"English","No","24","Female","Asian","United States","United States","United States","English","Yes","Full-Time","SUPPRF72305"
"15","APPROVED","Not Applicable","2024-03-27T01:14:13.085000Z","2024-03-27T02:05:18.787000Z","2024-03-27T17:28:33.869000Z","2024-03-27T02:05:19.407173Z",3066,"C6UC3A24",20,"English","No","20","Female","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF09649"
"16","APPROVED","Not Applicable","2024-03-27T11:20:53.852000Z","2024-03-27T12:59:43.756000Z","2024-03-27T17:28:34.167000Z","2024-03-27T12:59:44.236578Z",5930,"C6UC3A24",15,"English","No","19","Female","Black","Nigeria","United Kingdom","Nigeria","English","Yes","DATA_EXPIRED","SUPPRF53394"
"17","APPROVED","Not Applicable","2024-03-27T11:31:21.798000Z","2024-03-27T12:24:12.400000Z","2024-03-27T17:28:34.402000Z","2024-03-27T12:24:12.921460Z",3171,"C6UC3A24",163,"English","No","22","Prefer not to say","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF14326"
"18","APPROVED","Not Applicable","2024-03-27T12:13:23.023000Z","2024-03-27T13:09:47.437000Z","2024-03-27T17:28:34.659000Z","2024-03-27T13:09:48.092220Z",3385,"C6UC3A24",2,"English, German, Russian","No","23","Male","Mixed","Germany","United Kingdom","Germany","English","No","Unemployed (and job seeking)","SUPPRF89652"
"19","APPROVED","Not Applicable","2024-03-27T20:27:04.152000Z","2024-03-27T21:12:40.433000Z","2024-04-08T15:15:30.775000Z","2024-03-27T21:12:48.023289Z",2737,"C6UC3A24",746,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF82710"
"20","APPROVED","Not Applicable","2024-03-27T20:41:52.459000Z","2024-03-27T21:34:00.045000Z","2024-04-08T15:15:31.412000Z","2024-03-27T21:35:58.181682Z",3128,"C6UC3A24",23,"English","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF13929"
"21","APPROVED","Not Applicable","2024-03-27T22:26:24.729000Z","2024-03-27T23:45:32.899000Z","2024-04-08T15:15:31.831000Z","2024-03-27T23:45:33.486681Z",4749,"C6UC3A24",6,"English","No","20","Female","White","United States","United States","Puerto Rico","English","Yes","Part-Time","SUPPRF56182"
"22","APPROVED","Not Applicable","2024-03-28T01:08:27.639000Z","2024-03-28T02:02:28.133000Z","2024-04-08T15:15:32.300000Z","2024-03-28T02:02:28.603508Z",3241,"C6UC3A24",8,"Bengali, English","No","18","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF95945"
"23","APPROVED","Not Applicable","2024-03-28T01:13:24.678000Z","2024-03-28T02:10:54.492000Z","2024-04-08T15:15:32.773000Z","2024-03-28T02:10:54.976070Z",3450,"C6UC3A24",1343,"English, Spanish","No","24","Female","White","United States","United States","United States","Spanish","DATA_EXPIRED","Part-Time","SUPPRF15240"
"24","APPROVED","Not Applicable","2024-03-28T08:04:44.883000Z","2024-03-28T08:49:42.762000Z","2024-04-08T15:15:33.317000Z","2024-03-28T08:50:28.526728Z",2698,"C6UC3A24",235,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF27758"
"25","APPROVED","Not Applicable","2024-03-28T14:50:13.235000Z","2024-03-28T15:48:09.315000Z","2024-04-08T15:15:33.745000Z","2024-03-28T15:48:09.843561Z",3477,"C6UC3A24",1518,"English","No","25","Male","Black","Zimbabwe","United Kingdom","Zimbabwe","Swahili","No","DATA_EXPIRED","SUPPRF03803"
"26","APPROVED","Not Applicable","2024-03-28T19:48:02.049000Z","2024-03-28T20:31:40.047000Z","2024-04-08T15:15:34.302000Z","2024-03-28T20:32:47.736881Z",2618,"C6UC3A24",472,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF91466"
"27","APPROVED","Not Applicable","2024-03-28T21:08:53.633000Z","2024-03-28T22:01:06.163000Z","2024-04-08T15:15:34.784000Z","2024-03-28T22:04:16.795905Z",3133,"C6UC3A24",17,"English, Dari","No","25","Female","Asian","Turkmenistan","United States","Afghanistan","Dari","Yes","Full-Time","SUPPRF56083"
"28","APPROVED","Not Applicable","2024-03-28T21:44:07.465000Z","2024-03-28T22:59:11.336000Z","2024-04-08T15:15:35.227000Z","2024-03-28T22:59:11.880556Z",4504,"C6UC3A24",480,"English, Spanish","No","25","Male","Black","United States","United States","United States","English","Yes","Full-Time","SUPPRF69098"
"29","APPROVED","Not Applicable","2024-03-29T02:21:54.304000Z","2024-03-29T03:03:32.729000Z","2024-04-08T15:15:35.704000Z","2024-03-29T03:03:33.264068Z",2499,"C6UC3A24",17,"English","No","22","Female","White","United States","United States","United States","English","No","Full-Time","SUPPRF40354"
"30","APPROVED","Not Applicable","2024-03-29T03:38:44.048000Z","2024-03-29T05:03:17.427000Z","2024-04-08T15:15:36.190000Z","2024-03-29T05:03:18.238804Z",5074,"C6UC3A24",267,"English","No","24","Female","Asian","United States","United States","United States","English","No","Part-Time","SUPPRF06434"
"31","APPROVED","Not Applicable","2024-03-25T19:08:00.781000Z","2024-03-25T20:07:57.790000Z","2024-03-27T17:28:30.493000Z","2024-03-25T20:11:23.694000Z",3598,"C6UC3A24",95,"English","No","23","Female","Other","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF90446"
