"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1712945968221,"12/04/2024 18:19:28",1712920768221,-7,"12/04/2024 04:19:28",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF15657"
"2",1712946130216,"12/04/2024 18:22:10",1712920930216,-7,"12/04/2024 04:22:10",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",162018.714000012,162003.814,162018.714000012,162018.714000012,162003.814,162018.714000012,1,162018.714000012,0,0,NA,"Click To Continue","Continue Button",16,"object-48","BIQ",NA,"SUPPRF15657"
"3",1712946130222,"12/04/2024 18:22:10",1712920930222,-7,"12/04/2024 04:22:10",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",155124.214,162003.814,162020.314,155124.214,162003.814,162020.314,1,155124.214,6896.10000000001,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF15657"
"4",1712946130224,"12/04/2024 18:22:10",1712920930224,-7,"12/04/2024 04:22:10",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",160021.714,162003.814,162020.314,160021.714,162003.814,162020.314,1,160021.714,1998.60000000001,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF15657"
"5",1712946144990,"12/04/2024 18:22:24",1712920944990,-7,"12/04/2024 04:22:24",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"continue","",14802.9000000119,14791.8,14802.9000000119,14802.9000000119,14791.8,14802.9000000119,1,14802.9000000119,0,0,NA,"Click To Continue","Continue Button",7,"object-1017","BIQ",NA,"SUPPRF15657"
"6",1712946144992,"12/04/2024 18:22:24",1712920944992,-7,"12/04/2024 04:22:24",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","4",7545.89999999999,14791.8,14804.3000000179,7545.89999999999,14791.8,14804.3000000179,1,7545.89999999999,7258.40000001789,0,NA,"Rating Scale","Rating Scale",8,"object-118","BIQ",NA,"SUPPRF15657"
"7",1712946144992,"12/04/2024 18:22:24",1712920944992,-7,"12/04/2024 04:22:24",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","4",12626.6,14791.8,14805.4000000119,12626.6,14791.8,14805.4000000119,1,12626.6,2178.80000001192,0,NA,"Rating Scale","Rating Scale",10,"object-121","BIQ",NA,"SUPPRF15657"
"8",1712946162454,"12/04/2024 18:22:42",1712920962454,-7,"12/04/2024 04:22:42",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"continue","",17473.7,17457.2,17473.7,17473.7,17457.2,17473.7,1,17473.7,0,0,NA,"Click To Continue","Continue Button",15,"object-50","BIQ",NA,"SUPPRF15657"
"9",1712946162455,"12/04/2024 18:22:42",1712920962455,-7,"12/04/2024 04:22:42",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","4",10127.8,17457.2,17473.7,10127.8,17457.2,17473.7,1,10127.8,7345.89999999999,0,NA,"Rating Scale","Rating Scale",2,"object-36","BIQ",NA,"SUPPRF15657"
"10",1712946162456,"12/04/2024 18:22:42",1712920962456,-7,"12/04/2024 04:22:42",175580,1,"task-7hcp",NA,36975916,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"BIQ (Charlotte)",5,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","1",16441.2,17457.2,17473.7,16441.2,17457.2,17473.7,1,16441.2,1032.5,0,NA,"Rating Scale","Rating Scale",9,"object-86","BIQ",NA,"SUPPRF15657"
