Event.Index,UTC.Timestamp,UTC.Date.and.Time,Local.Timestamp,Local.Timezone,Local.Date.and.Time,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Room.ID,Room.Order,Task.Name,Task.Version,order.ot79,branch.g31k,branch.5gtn,Spreadsheet,Trial.Number,Display,Screen,Screen.ID,Screen.Counter,Response.Type,Response,Onset.Time,Clock.Time,Reaction.Time,Absolute.Onset.Time,Absolute.Clock.Time,Absolute.Reaction.Time,Correct,Response.Onset,Response.Duration,Proportion,Tag,Component.Name,Object.Name,Object.Number,Object.ID,Spreadsheet..display,Manipulation..Spreadsheet,Random_ID
1,1.69693E+12,10/10/2023 10:48,1.69694E+12,1,10/10/2023 12:48,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,NA,,,,NA,5,BEGIN,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,,NA,,,NA,SUPPRF18834
2,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,continue,,48933.745,48916.804,48933.745,48933.745,48916.804,48933.745,1,48933.745,0,0,NA,Click To Continue,Continue Button,23,object-48,BIQ,NA,SUPPRF18834
3,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,response,7,40349.866,48916.804,48933.745,40349.866,48916.804,48933.745,1,40349.866,8583.879,0,NA,Rating Scale,Rating Scale,3,object-5,BIQ,NA,SUPPRF18834
4,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,response,4,43149.9,48916.804,48933.745,43149.9,48916.804,48933.745,1,43149.9,5783.845,0,NA,Rating Scale,Rating Scale,10,object-18,BIQ,NA,SUPPRF18834
5,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,response,4,48333.25,48916.804,48933.745,48333.25,48916.804,48933.745,1,48333.25,600.495,0,NA,Rating Scale,Rating Scale,17,object-80,BIQ,NA,SUPPRF18834
6,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,continue,,11066.599,11049.859,11066.599,11066.599,11049.859,11066.599,1,11066.599,0,0,NA,Click To Continue,Continue Button,22,object-50,BIQ,NA,SUPPRF18834
7,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,response,6,3316.369,11049.859,11066.599,3316.369,11049.859,11066.599,1,3316.369,7750.23,0,NA,Rating Scale,Rating Scale,2,object-259,BIQ,NA,SUPPRF18834
8,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,response,2,5249.707,11049.859,11066.599,5249.707,11049.859,11066.599,1,5249.707,5816.892,0,NA,Rating Scale,Rating Scale,9,object-36,BIQ,NA,SUPPRF18834
9,1.69693E+12,10/10/2023 10:49,1.69694E+12,1,10/10/2023 12:49,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,response,1,10333.107,11049.859,11066.599,10333.107,11049.859,11066.599,1,10333.107,733.492,0,NA,Rating Scale,Rating Scale,16,object-86,BIQ,NA,SUPPRF18834
10,1.69694E+12,10/10/2023 10:50,1.69694E+12,1,10/10/2023 12:50,146524,3,task-gjqt,NA,32129227,9500282,NA,complete,NA,652535a4bc4e0028590efed3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,NA,NA,0,BIQ (Charlotte),3,BCADJEIFHG,Passed AC2,NA,Spreadsheet1,1,BIQ,Screen 3,iz3the,3,continue,,60586.954,60583.727,60586.954,60586.954,60583.727,60586.954,1,60586.954,0,0,NA,Click To Continue,Continue Button,22,object-73,BIQ,NA,SUPPRF18834
