"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","2023-10-27T14:50:23.057000Z","2023-10-27T15:31:57.038000Z","2023-10-28T18:30:08.991000Z","2023-10-27T15:31:57.494776Z",2494,"NOCODE",256,"English","No","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF31333"
"2","APPROVED","2023-10-27T15:02:41.807000Z","2023-10-27T16:09:07.611000Z","2023-10-28T18:30:09.276000Z","2023-10-27T16:09:08.096289Z",3986,"C6UC3A24",0,"English","No","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF53839"
"3","APPROVED","2023-10-27T15:12:14.407000Z","2023-10-27T16:05:44.792000Z","2023-10-27T16:29:12.374000Z","2023-10-27T16:05:45.264602Z",3211,"C6UC3A24",38,"Turkish, Other, English","No","25","Male","White","Turkey","United Kingdom","Turkey","Turkish","No","Unemployed (and job seeking)","SUPPRF28820"
"4","APPROVED","2023-10-27T15:05:55.396000Z","2023-10-27T15:58:39.216000Z","2023-10-28T18:30:09.399000Z","2023-10-27T15:58:39.730156Z",3164,"C6UC3A24",448,"English, Polish","No","25","Female","White","Poland","United Kingdom","Poland","Polish","Yes","Unemployed (and job seeking)","SUPPRF94776"
"5","APPROVED","2023-10-27T15:08:15.744000Z","2023-10-27T15:53:37.022000Z","2023-10-28T18:30:09.564000Z","2023-10-27T15:53:37.465751Z",2722,"C6UC3A24",1423,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF18559"
"6","APPROVED","2023-10-27T15:08:33.538000Z","2023-10-27T15:54:07.182000Z","2023-10-28T18:30:09.733000Z","2023-10-27T15:54:07.735666Z",2734,"NOCODE",188,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF94864"
"7","APPROVED","2023-10-27T15:09:01.038000Z","2023-10-27T15:40:38.883000Z","2023-10-28T18:30:09.857000Z","2023-10-27T15:40:39.417657Z",1898,"NOCODE",0,"Italian, English","No","23","Female","Black","Italy","United Kingdom","Italy","Italian","Yes","Unemployed (and job seeking)","SUPPRF83676"
"8","APPROVED","2023-10-27T15:11:48.176000Z","2023-10-27T16:21:05.513000Z","2023-10-28T18:30:09.977000Z","2023-10-27T16:21:05.979539Z",4158,"NOCODE",87,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF87060"
"9","APPROVED","2023-10-27T15:09:06.409000Z","2023-10-27T16:24:47.605000Z","2023-10-28T18:30:10.142000Z","2023-10-27T16:24:48.178523Z",4542,"C6UC3A24",88,"English, Polish","No","21","Male","White","Poland","United Kingdom","Poland","Polish","Yes","Unemployed (and job seeking)","SUPPRF96217"
"10","APPROVED","2023-10-27T15:12:58.093000Z","2023-10-27T16:04:51.541000Z","2023-10-28T18:30:10.315000Z","2023-10-27T16:04:52.038878Z",3114,"C6UC3A24",568,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","SUPPRF98014"
