"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1699291312537,"06/11/2023 17:21:52",1699291312537,0,"06/11/2023 17:21:52",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF31306"
"2",1699291369947,"06/11/2023 17:22:49",1699291369947,0,"06/11/2023 17:22:49",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",57427.498,57410.832,57427.498,57427.498,57410.832,57427.498,1,57427.498,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF31306"
"3",1699291369950,"06/11/2023 17:22:49",1699291369950,0,"06/11/2023 17:22:49",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",33274.895,57410.832,57427.498,33274.895,57410.832,57427.498,1,33274.895,24152.603,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF31306"
"4",1699291369950,"06/11/2023 17:22:49",1699291369950,0,"06/11/2023 17:22:49",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",45395.122,57410.832,57427.498,45395.122,57410.832,57427.498,1,45395.122,12032.376,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF31306"
"5",1699291369951,"06/11/2023 17:22:49",1699291369951,0,"06/11/2023 17:22:49",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",54677.608,57410.832,57427.498,54677.608,57410.832,57427.498,1,54677.608,2749.88999999999,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF31306"
"6",1699291394223,"06/11/2023 17:23:14",1699291394223,0,"06/11/2023 17:23:14",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",24302.798,24294.661,24302.798,24302.798,24294.661,24302.798,1,24302.798,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF31306"
"7",1699291394229,"06/11/2023 17:23:14",1699291394229,0,"06/11/2023 17:23:14",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",13927.933,24294.661,24308.798,13927.933,24294.661,24308.798,1,13927.933,10380.865,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF31306"
"8",1699291394230,"06/11/2023 17:23:14",1699291394230,0,"06/11/2023 17:23:14",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",17651.143,24294.661,24309.897999994,17651.143,24294.661,24309.897999994,1,17651.143,6658.75499999404,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF31306"
"9",1699291394231,"06/11/2023 17:23:14",1699291394231,0,"06/11/2023 17:23:14",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",23250.919,24294.661,24310.698000006,23250.919,24294.661,24310.698000006,1,23250.919,1059.77900000596,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF31306"
"10",1699291415029,"06/11/2023 17:23:35",1699291415029,0,"06/11/2023 17:23:35",150440,6,"task-gjqt",NA,32747766,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",20814.236999994,20809.482,20814.236999994,20814.236999994,20809.482,20814.236999994,1,20814.236999994,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF31306"
