"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","X","Random_ID_new"
"1",1719922159646,"02/07/2024 12:09:19",1719925759646,1,"02/07/2024 14:09:19",180348,2,"questionnaire-4h2a",NA,38675292,11355075,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x728",NA,NA,0,"Mini-SPIN",2,"IAHBGCFDE","Failed AC2","Passed AC1","3","4","2","3","4","5","9",22,"SUPLCM16544"
"1",1721815880179,"24/07/2024 10:11:20",1721844680179,8,"25/07/2024 02:11:20",180348,2,"questionnaire-4h2a",NA,39164691,11491791,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1091x702",NA,NA,0,"Mini-SPIN",2,"DECFBGAHI","Passed AC2","","2","3","3","4","2","3","7",26,"SUPLCM83190"
"1",1722438251961,"31/07/2024 15:04:11",1722467051961,8,"01/08/2024 07:04:11",180348,2,"questionnaire-4h2a",NA,39300327,11525359,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x779",NA,NA,0,"Mini-SPIN",2,"GHFIEADBC","Passed AC2","","0","1","0","1","0","1","0",29,"SUPLCM81666"
"1",1722957067710,"06/08/2024 15:11:07",1722942667710,-4,"06/08/2024 07:11:07",180348,2,"questionnaire-4h2a",NA,39410959,11551348,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x701",NA,NA,0,"Mini-SPIN",2,"HIGAFBECD","Passed AC2","","2","3","3","4","0","1","5",30,"SUPLCM41800"
"1",1725876091772,"09/09/2024 10:01:31",1725879691772,1,"09/09/2024 12:01:31",180348,2,"questionnaire-4h2a",NA,39958572,11679805,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1309x707",NA,NA,0,"Mini-SPIN",2,"IAHBGCFDE","Passed AC2","","1","2","0","1","0","1","1",8,"SUPLCM42721"
"1",1727191249336,"24/09/2024 15:20:49",1727194849336,1,"24/09/2024 17:20:49",180348,2,"questionnaire-4h2a",NA,40235213,11745960,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1920x1080","1339x844",NA,NA,0,"Mini-SPIN",2,"CDBEAFIGH","Failed AC2","Passed AC1","2","3","2","3","2","3","6",9,"SUPLCM79674"
"1",1727881838399,"02/10/2024 15:10:38",1727885438399,1,"02/10/2024 17:10:38",180348,2,"questionnaire-4h2a",NA,40405466,11789972,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x703",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIA","Passed AC2","","1","2","1","2","3","4","5",41,"SUPLCM09311"
"1",1727956832468,"03/10/2024 12:00:32",1727960432468,1,"03/10/2024 14:00:32",180348,2,"questionnaire-4h2a",NA,40419102,11793856,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x779",NA,NA,0,"Mini-SPIN",2,"GHFIEADBC","Passed AC2","","1","2","0","1","2","3","3",11,"SUPLCM66456"
"1",1727960641870,"03/10/2024 13:04:01",1727964241870,1,"03/10/2024 15:04:01",180348,2,"questionnaire-4h2a",NA,40421300,11794177,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1440x900","1440x765",NA,NA,0,"Mini-SPIN",2,"HIGAFBECD","Passed AC2","","2","3","0","1","2","3","4",42,"SUPLCM61412"
"1",1728468741816,"09/10/2024 10:12:21",1728472341816,1,"09/10/2024 12:12:21",180348,2,"questionnaire-4h2a",NA,40515866,11820759,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Mini-SPIN",2,"CDBEAFIGH","Passed AC2","","2","3","2","3","1","2","5",13,"SUPLCM71524"
