"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","Not Applicable","2024-06-06T13:12:18.830000Z","2024-06-06T14:01:10.252000Z","2024-06-27T11:37:08.938000Z","2024-06-06T14:02:57.727880Z",2932,"C6UC3A24",344,"English","No","23","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF73571"
"2","APPROVED","Not Applicable","2024-06-06T13:18:19.499000Z","2024-06-06T14:08:02.362000Z","2024-06-27T11:37:09.558000Z","2024-06-06T14:10:12.347847Z",2983,"C6UC3A24",708,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF40133"
"3","APPROVED","Not Applicable","2024-06-06T13:17:23.323000Z","2024-06-06T14:14:50.585000Z","2024-06-27T11:37:10.113000Z","2024-06-06T14:14:56.384342Z",3448,"C6UC3A24",12,"English, Tagalog-Filipino","No","20","Female","Mixed","Philippines","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF98714"
"4","APPROVED","Not Applicable","2024-06-06T13:21:01.161000Z","2024-06-06T14:10:31.141000Z","2024-06-27T11:37:11.207000Z","2024-06-06T14:10:40.220907Z",2970,"C6UC3A24",1884,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF18559"
"5","APPROVED","Not Applicable","2024-06-06T13:21:01.161000Z","2024-06-06T14:10:31.141000Z","2024-06-27T11:37:11.207000Z","2024-06-06T14:10:40.220907Z",2970,"C6UC3A24",1884,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF16541"
"6","APPROVED","Not Applicable","2024-06-06T13:27:43.909000Z","2024-06-06T14:10:38.448000Z","2024-06-27T11:37:11.831000Z","2024-06-06T14:10:41.265869Z",2575,"C6UC3A24",46,"English, French, German, Italian, Norwegian, Spanish","No","23","Female","White","Germany","United Kingdom","Germany","German","Yes","Part-Time","SUPPRF46523"
"7","APPROVED","Not Applicable","2024-06-06T13:31:47.283000Z","2024-06-06T14:24:13.320000Z","2024-06-27T11:37:12.309000Z","2024-06-06T14:24:14.521858Z",3147,"C6UC3A24",8,"English","No","19","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF53261"
"8","APPROVED","Not Applicable","2024-06-06T13:35:47.914000Z","2024-06-06T14:29:01.709000Z","2024-06-27T11:37:12.827000Z","2024-06-06T14:31:36.448732Z",3194,"C6UC3A24",35,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF02576"
"9","APPROVED","Not Applicable","2024-06-06T13:40:50.849000Z","2024-06-06T14:37:01.635000Z","2024-06-27T11:37:13.334000Z","2024-06-06T14:37:06.079219Z",3371,"C6UC3A24",228,"English, French, Polish","No","24","Female","White","France","United Kingdom","Poland","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF02661"
"10","APPROVED","Not Applicable","2024-06-06T13:42:23.589000Z","2024-06-06T14:40:13.843000Z","2024-06-27T11:37:13.859000Z","2024-06-06T14:42:43.715120Z",3471,"C6UC3A24",33,"English, Spanish","No","25","Female","White","United States","United Kingdom","United States","English","Yes","Other","SUPPRF32225"
"11","APPROVED","Not Applicable","2024-06-06T13:49:32.988000Z","2024-06-06T15:01:53.043000Z","2024-06-27T11:37:14.384000Z","2024-06-06T15:04:29.172297Z",4341,"C6UC3A24",46,"English","No","21","Female","Mixed","United States","United States","United States","English","Yes","Unemployed (and job seeking)","SUPPRF77309"
"12","APPROVED","Not Applicable","2024-06-06T13:48:45.564000Z","2024-06-06T14:32:03.819000Z","2024-06-27T11:37:14.923000Z","2024-06-06T14:32:18.908677Z",2599,"C6UC3A24",289,"English, Russian","No","21","Male","White","Latvia","United Kingdom","United Kingdom","Russian","Yes","Full-Time","SUPPRF49978"
"13","APPROVED","Not Applicable","2024-06-06T13:53:24.714000Z","2024-06-06T14:33:03.555000Z","2024-06-27T11:37:15.472000Z","2024-06-06T14:33:06.678218Z",2379,"C6UC3A24",12,"English, Romanian","No","25","Female","White","Romania","United Kingdom","Romania","Romanian","No","Full-Time","SUPPRF55954"
