"Trial.Number","Random_ID","Response_H","Response_Ax","Response_fdbk","Response_SubjPE","Response_PE","Response_certainty","Response_m_hist","Response_pred","mini_SPIN_total","Pilot_Number","Social_Anxiety"
1,"SUPPRF31306",94,1,24,-11,-13,"61",37,35,7,9,"high"
2,"SUPPRF31306",97,3,56,-25,-15,"63",71,81,7,9,"high"
3,"SUPPRF31306",98,1,67,-6,-13,"58",80,73,7,9,"high"
4,"SUPPRF31306",98,2,22,-1,-15,"39",37,23,7,9,"high"
5,"SUPPRF31306",97,1,38,-8,-16,"32",54,46,7,9,"high"
6,"SUPPRF31306",97,2,8,-31,-12,"9",20,39,7,9,"high"
7,"SUPPRF31306",97,2,6,-11,-14,"20",20,17,7,9,"high"
8,"SUPPRF31306",97,4,16,-4,-13,"35",29,20,7,9,"high"
9,"SUPPRF31306",96,4,54,34,0,"78",54,20,7,9,"high"
10,"SUPPRF31306",97,2,100,72,20,"77",80,28,7,9,"high"
11,"SUPPRF31306",99,1,94,6,23,"90",71,88,7,9,"high"
12,"SUPPRF31306",95,4,63,2,0,"69",63,61,7,9,"high"
13,"SUPPRF31306",95,4,61,13,24,"49",37,48,7,9,"high"
14,"SUPPRF31306",94,1,41,-24,-13,"66",54,65,7,9,"high"
15,"SUPPRF31306",96,3,58,-1,12,"42",46,59,7,9,"high"
16,"SUPPRF31306",96,4,83,37,12,"58",71,46,7,9,"high"
17,"SUPPRF31306",98,3,88,75,25,"68",63,13,7,9,"high"
18,"SUPPRF31306",96,5,49,13,12,"74",37,36,7,9,"high"
19,"SUPPRF31306",19,73,50,-8,-13,"65",63,58,7,9,"high"
20,"SUPPRF31306",12,26,37,-3,0,"69",37,40,7,9,"high"
21,"SUPPRF31306",31,24,80,7,0,"53",80,73,7,9,"high"
22,"SUPPRF31306",19,24,81,17,1,"47",80,64,7,9,"high"
23,"SUPPRF31306",19,20,47,23,27,"63",20,24,7,9,"high"
24,"SUPPRF31306",13,14,78,43,24,"78",54,35,7,9,"high"
25,"SUPPRF31306",3,26,15,-33,-14,"26",29,48,7,9,"high"
26,"SUPPRF31306",8,35,58,-7,29,"54",29,65,7,9,"high"
27,"SUPPRF31306",2,41,55,1,1,"66",54,54,7,9,"high"
28,"SUPPRF31306",63,10,46,26,17,"73",29,20,7,9,"high"
29,"SUPPRF31306",2,41,70,11,-1,"61",71,59,7,9,"high"
30,"SUPPRF31306",7,75,47,-1,-16,"26",63,48,7,9,"high"
31,"SUPPRF31306",7,68,71,11,0,"57",71,60,7,9,"high"
32,"SUPPRF31306",8,77,46,13,0,"66",46,33,7,9,"high"
33,"SUPPRF31306",4,90,33,-12,-13,"100",46,45,7,9,"high"
34,"SUPPRF31306",10,93,77,24,14,"30",63,53,7,9,"high"
35,"SUPPRF31306",5,96,45,-9,-1,"78",46,54,7,9,"high"
36,"SUPPRF31306",13,100,55,-9,-16,"30",71,64,7,9,"high"
37,"SUPPRF31306",0,100,29,-35,0,"42",29,64,7,9,"high"
38,"SUPPRF31306",2,98,20,4,0,"79",20,16,7,9,"high"
39,"SUPPRF31306",3,80,28,-2,-1,"69",29,30,7,9,"high"
40,"SUPPRF31306",37,53,34,-10,-12,"60",46,44,7,9,"high"
41,"SUPPRF31306",9,96,38,-10,1,"29",37,48,7,9,"high"
42,"SUPPRF31306",0,100,96,45,16,"21",80,51,7,9,"high"
43,"SUPPRF31306",0,99,35,15,15,"100",20,20,7,9,"high"
44,"SUPPRF31306",6,100,68,-3,-12,"22",80,71,7,9,"high"
45,"SUPPRF31306",0,100,19,-2,-1,"72",20,21,7,9,"high"
