"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
1,1717680360884,"06/06/2024 13:26:00",1717683960884,1,"06/06/2024 15:26:00",180921,1,"questionnaire-wop8",NA,38088119,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2",NA,"1-0",1,"SUPPRF73571"
1,1717680468403,"06/06/2024 13:27:48",1717684068403,1,"06/06/2024 15:27:48",180921,1,"questionnaire-wop8",NA,38088166,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1350x631",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFIGH","Passed AC2",NA,"1-0",1,"SUPPRF98714"
1,1717680713267,"06/06/2024 13:31:53",1717684313267,1,"06/06/2024 15:31:53",180921,1,"questionnaire-wop8",NA,38088248,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1920x1080","1920x957",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2",NA,"1-0",1,"SUPPRF40133"
1,1717680964903,"06/06/2024 13:36:04",1717684564903,1,"06/06/2024 15:36:04",180921,1,"questionnaire-wop8",NA,38088353,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1384x697",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2",NA,"1-0",1,"SUPPRF46523"
1,1717681087467,"06/06/2024 13:38:07",1717684687467,1,"06/06/2024 15:38:07",180921,1,"questionnaire-wop8",NA,38088407,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x599",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2",NA,"1-0",1,"SUPPRF16541"
1,1717681457105,"06/06/2024 13:44:17",1717685057105,1,"06/06/2024 15:44:17",180921,1,"questionnaire-wop8",NA,38088550,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1452x709",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEADBC","Passed AC2",NA,"1-0",1,"SUPPRF53261"
1,1717681767713,"06/06/2024 13:49:27",1717685367713,1,"06/06/2024 15:49:27",180921,1,"questionnaire-wop8",NA,38088672,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x559",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2",NA,"1-0",1,"SUPPRF02661"
1,1717681951241,"06/06/2024 13:52:31",1717685551241,1,"06/06/2024 15:52:31",180921,1,"questionnaire-wop8",NA,38088755,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2",NA,"1-0",1,"SUPPRF02576"
1,1717682063845,"06/06/2024 13:54:23",1717685663845,1,"06/06/2024 15:54:23",180921,1,"questionnaire-wop8",NA,38088804,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1728x1117","1728x993",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFIGH","Passed AC2",NA,"1-0",1,"SUPPRF32225"
1,1717682242560,"06/06/2024 13:57:22",1717685842560,1,"06/06/2024 15:57:22",180921,1,"questionnaire-wop8",NA,38088901,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2",NA,"1-0",1,"SUPPRF49978"
