"X","Submission.id","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
1,"65fdc439d78b83735eacceca","AWAITING REVIEW","Not Applicable","2024-03-22T17:47:51.477000Z","2024-03-22T19:08:42.912000Z",NA,"2024-03-22T19:08:43.312376Z",4852,"C6UC3A24",8,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF61251"
2,"65fdc810943d2c23752a24a8","AWAITING REVIEW","Not Applicable","2024-03-22T18:04:04.832000Z","2024-03-22T19:22:33.650000Z",NA,"2024-03-22T19:22:34.076248Z",4709,"C6UC3A24",28,"English, Urdu","No","25","Male","Asian","Pakistan","United Kingdom","Pakistan","English","No","Full-Time","SUPPRF06189"
3,"65fe1b1d1e16876d59dc5f42","AWAITING REVIEW","Not Applicable","2024-03-22T23:58:26.105000Z","2024-03-23T00:42:00.698000Z",NA,"2024-03-23T00:42:01.241879Z",2615,"C6UC3A24",111,"Arabic, English, Hindi, Urdu","No","25","Male","Asian","Pakistan","United Kingdom","DATA_EXPIRED","English","No","DATA_EXPIRED","SUPPRF00748"
4,"660054d858ab804f5f5af5b8","AWAITING REVIEW","Not Applicable","2024-03-24T16:29:16.185000Z","2024-03-24T17:54:31.336000Z",NA,"2024-03-24T17:54:31.760121Z",5116,"C6UC3A24",402,"English, French","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF44269"
5,"66017d3ddf20d46323ba2ab7","AWAITING REVIEW","Not Applicable","2024-03-25T13:33:57.558000Z","2024-03-25T14:24:11.497000Z",NA,"2024-03-25T14:24:12.182161Z",3014,"C6UC3A24",955,"English","No","22","Female","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF97228"
6,"660182ca861e0cd143091963","AWAITING REVIEW","Not Applicable","2024-03-25T13:58:58.439000Z","2024-03-25T14:45:02.530000Z",NA,"2024-03-25T14:45:03.978409Z",2765,"C6UC3A24",295,"English","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Unemployed (and job seeking)","SUPPRF95311"
7,"660186cda1c64256036bb336","AWAITING REVIEW","Not Applicable","2024-03-25T14:14:44.294000Z","2024-03-25T15:07:13.354000Z",NA,"2024-03-25T15:07:13.829677Z",3150,"C6UC3A24",253,"Portuguese, English","No","25","Female","Mixed","Brazil","United Kingdom","Brazil","Portuguese","No","Full-Time","SUPPRF48071"
8,"66018a9e515ef50a88317f5e","AWAITING REVIEW","Not Applicable","2024-03-25T14:31:00.218000Z","2024-03-25T15:46:03.635000Z",NA,"2024-03-25T15:46:04.497781Z",4504,"C6UC3A24",8,"Afrikaans, Bulgarian, English","No","23","Female","Black","Zimbabwe","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF72649"
9,"65feee085c09843d4abe518b","RETURNED","Not Applicable","2024-03-23T14:59:06.214000Z","",NA,"",NA,"",1139,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","SUPPRF74201"
10,"65fefe7c948544ef2616ec5c","RETURNED","Not Applicable","2024-03-23T16:08:31.258000Z","",NA,"",NA,"",509,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","SUPPRF36280"
