"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
1,1711373654899,"25/03/2024 13:34:14",1711359254899,-4,"25/03/2024 05:34:14",172741,4,"questionnaire-s6dh",NA,36415763,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF97228"
1,1711375239321,"25/03/2024 14:00:39",1711375239321,0,"25/03/2024 14:00:39",172741,4,"questionnaire-s6dh",NA,36417231,NA,"complete",NA,"660182ca861e0cd143091963","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF95311"
1,1711376116049,"25/03/2024 14:15:16",1711376116049,0,"25/03/2024 14:15:16",172741,4,"questionnaire-s6dh",NA,36418717,NA,"complete",NA,"660186cda1c64256036bb336","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1366x768","1151x598",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF48071"
1,1711377085578,"25/03/2024 14:31:25",1711377085578,0,"25/03/2024 14:31:25",172741,4,"questionnaire-s6dh",NA,36420096,NA,"complete",NA,"66018a9e515ef50a88317f5e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1470x956","1325x733",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF72649"
1,1711393695493,"25/03/2024 19:08:15",1711379295493,-4,"25/03/2024 11:08:15",172741,4,"questionnaire-s6dh",NA,36435799,NA,"complete",NA,"6601cb868c4c847f2e11c901","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1322x696",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF75031"
1,1711394269191,"25/03/2024 19:17:49",1711412269191,5,"26/03/2024 05:17:49",172741,4,"questionnaire-s6dh",NA,36436161,NA,"complete",NA,"6601cd67faa97a294fe3db4c","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x607",NA,NA,0,"Consent (Clone)",7,"IAHBGCFDE","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF36782"
1,1711409729170,"25/03/2024 23:35:29",1711391729170,-5,"25/03/2024 13:35:29",172741,4,"questionnaire-s6dh",NA,36442540,NA,"complete",NA,"66020a14fed03f0a4e034fb5","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF49898"
1,1711421697191,"26/03/2024 02:54:57",1711403697191,-5,"25/03/2024 16:54:57",172741,4,"questionnaire-s6dh",NA,36444532,NA,"complete",NA,"660238f01be858ed29072393","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF60894"
1,1711429295630,"26/03/2024 05:01:35",1711411295630,-5,"25/03/2024 19:01:35",172741,4,"questionnaire-s6dh",NA,36445328,NA,"complete",NA,"6602563d86cb8962f2d42b1f","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF90238"
1,1711430977081,"26/03/2024 05:29:37",1711416577081,-4,"25/03/2024 21:29:37",172741,4,"questionnaire-s6dh",NA,36445457,NA,"complete",NA,"66025d2d6e435259d20b2437","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1792x1120","1152x661",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF18827"
