"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
1,1722273093125,"29/07/2024 17:11:33",1722276693125,1,"29/07/2024 19:11:33",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF23034"
2,1722273683957,"29/07/2024 17:21:23",1722277283957,1,"29/07/2024 19:21:23",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",590840.47,590823.47,590840.47,590840.47,590823.47,590840.47,1,590840.47,0,0,NA,"Click To Continue","Continue Button",16,"object-48","BIQ",NA,"SUPPRF23034"
3,1722273683971,"29/07/2024 17:21:23",1722277283971,1,"29/07/2024 19:21:23",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",104603.37,590823.47,590840.47,104603.37,590823.47,590840.47,1,104603.37,486237.1,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF23034"
4,1722273683972,"29/07/2024 17:21:23",1722277283972,1,"29/07/2024 19:21:23",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",589973.17,590823.47,590840.47,589973.17,590823.47,590840.47,1,589973.17,867.300000000047,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF23034"
5,1722273750847,"29/07/2024 17:22:30",1722277350847,1,"29/07/2024 19:22:30",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"continue","",66915.9000000029,66907.8999999999,66915.9000000029,66915.9000000029,66907.8999999999,66915.9000000029,1,66915.9000000029,0,0,NA,"Click To Continue","Continue Button",7,"object-1017","BIQ",NA,"SUPPRF23034"
6,1722273750850,"29/07/2024 17:22:30",1722277350850,1,"29/07/2024 19:22:30",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","0",63208,66907.8999999999,66919.1000000059,63208,66907.8999999999,66919.1000000059,1,63208,3711.10000000591,0,NA,"Rating Scale","Rating Scale",8,"object-118","BIQ",NA,"SUPPRF23034"
7,1722273750850,"29/07/2024 17:22:30",1722277350850,1,"29/07/2024 19:22:30",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","1",66341,66907.8999999999,66919.499999997,66341,66907.8999999999,66919.499999997,1,66341,578.499999996973,0,NA,"Rating Scale","Rating Scale",10,"object-121","BIQ",NA,"SUPPRF23034"
8,1722273908175,"29/07/2024 17:25:08",1722277508175,1,"29/07/2024 19:25:08",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"continue","",157335.899999994,157329.2,157335.899999994,157335.899999994,157329.2,157335.899999994,1,157335.899999994,0,0,NA,"Click To Continue","Continue Button",15,"object-50","BIQ",NA,"SUPPRF23034"
9,1722273908178,"29/07/2024 17:25:08",1722277508178,1,"29/07/2024 19:25:08",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","4",102902.9,157329.2,157338.700000006,102902.9,157329.2,157338.700000006,1,102902.9,54435.800000006,0,NA,"Rating Scale","Rating Scale",2,"object-36","BIQ",NA,"SUPPRF23034"
10,1722273908179,"29/07/2024 17:25:08",1722277508179,1,"29/07/2024 19:25:08",185160,1,"task-7hcp",NA,39265339,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","2",156695.9,157329.2,157339.500000003,156695.9,157329.2,157339.500000003,1,156695.9,643.600000003004,0,NA,"Rating Scale","Rating Scale",9,"object-86","BIQ",NA,"SUPPRF23034"
