"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
1,1714567437623,"01/05/2024 12:43:57",1714571037623,1,"01/05/2024 14:43:57",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO24387"
2,1714567442255,"01/05/2024 12:44:02",1714571042255,1,"01/05/2024 14:44:02",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4444.70000000019,4442.2,4444.70000000019,4444.70000000019,4442.2,4444.70000000019,1,4444.70000000019,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPSCO24387"
3,1714567444933,"01/05/2024 12:44:04",1714571044933,1,"01/05/2024 14:44:04",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2681.40000000009,2678.6,2681.40000000009,2681.40000000009,2678.6,2681.40000000009,1,2681.40000000009,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPSCO24387"
4,1714567457313,"01/05/2024 12:44:17",1714571057313,1,"01/05/2024 14:44:17",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",12382.8000000001,12381.3,12382.8000000001,12382.8000000001,12381.3,12382.8000000001,1,12382.8000000001,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPSCO24387"
5,1714567468061,"01/05/2024 12:44:28",1714571068061,1,"01/05/2024 14:44:28",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",10749.5000000001,10744.9,10749.5000000001,10749.5000000001,10744.9,10749.5000000001,1,10749.5000000001,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPSCO24387"
6,1714567479136,"01/05/2024 12:44:39",1714571079136,1,"01/05/2024 14:44:39",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",11079.5,11078.2,11079.5,11079.5,11078.2,11079.5,1,11079.5,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPSCO24387"
7,1714567483832,"01/05/2024 12:44:43",1714571083832,1,"01/05/2024 14:44:43",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",4696.7,4690.7,4696.7,4696.7,4690.7,4696.7,1,4696.7,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPSCO24387"
8,1714567488152,"01/05/2024 12:44:48",1714571088152,1,"01/05/2024 14:44:48",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",4326.39999999981,4321.1,4326.39999999981,4326.39999999981,4321.1,4326.39999999981,1,4326.39999999981,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPSCO24387"
9,1714567514570,"01/05/2024 12:45:14",1714571114570,1,"01/05/2024 14:45:14",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",26423.6000000001,26422.9,26423.6000000001,26423.6000000001,26422.9,26423.6000000001,1,26423.6000000001,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPSCO24387"
10,1714567514572,"01/05/2024 12:45:14",1714571114572,1,"01/05/2024 14:45:14",177048,7,"task-xk4o",NA,37380534,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO24387"
