"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.my.personal.data.such.as.name..date.of.birth..age..gender..sex..health.information..email.address.and.phone.number...I.Agree.","Consent.Form.object.2.I.consent.to.a.video..eye.movement.and.audio.recording.of.the.testing.session.to.take.place...I.Agree.","Consent.Form.object.2.I.understand.that.the.video.and.audio.recording.data.will.be.kept.safe.on.a.secure.university.computer.and.storing.system.to.which.access.is.highly.restricted..only.by.the.study.team..and.will.be.de.identified.and.destroyed.at.the.end.of.the.study...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.the.lawful.basis.for.processing.my.personal.information.is..public.task...and.the.lawful.basis.for.processing.my.special.category.information.is.research.purposes...I.Agree.","Consent.Form.object.2.I.understand.that.my.personally.identifying.data.will.be.deleted.at.the.end.of.the.study...I.Agree.","Consent.Form.object.2.I.understand.that.all.personal.information.will.remain.confidential.and.that.all.efforts.will.be.made.to.ensure.I.cannot.be.identified..except.as.required.by.law...I.understand.that.my.data.will.be.stored.securely.and.pseudonymously.during.the.study.period..and.will.be.anonymised.after.the.study.is.complete...I.Agree.","Consent.Form.object.2.I.understand.that.my.participation.is.completely.voluntary.and.that.I.am.free.to.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.of.Love2Shop.voucher.e.Gift.cards.at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL..I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.between.14...18.years.old..speak.fluent.English..and.am.able.to.complete.testing.from.a.computer.with.a.good.internet.connection..in.a.private.space..I.Agree.","Multiple.Choice.object.12.Response","Multiple.Choice.object.12.Quantised","Text.Input.object.29.Value","Random_ID_new"
1,1719415698846,"26/06/2024 15:28:18",1719419298846,1,"26/06/2024 17:28:18",177048,9,"questionnaire-rcv8",NA,38523269,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"Consent Under 18",4,"CDBEAFHG","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH00664","SUPSCO81666"
1,1719847646677,"01/07/2024 15:27:26",1719851246677,1,"01/07/2024 17:27:26",177048,9,"questionnaire-rcv8",NA,38655050,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent Under 18",4,"FGEHDACB","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH12765","SUPSCO15998"
1,1721910510430,"25/07/2024 12:28:30",1721914110430,1,"25/07/2024 14:28:30",177048,9,"questionnaire-rcv8",NA,39199252,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Consent Under 18",4,"CDBEAFHG","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH38981","SUPSCO05791"
1,1721987994550,"26/07/2024 09:59:54",1721991594550,1,"26/07/2024 11:59:54",177048,9,"questionnaire-rcv8",NA,39213492,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 126.0.0.0","1920x1080","1920x945",NA,NA,0,"Consent Under 18",4,"DECFBGAH","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH09006","SUPSCO15787"
1,1722262056408,"29/07/2024 14:07:36",1722265656408,1,"29/07/2024 16:07:36",177048,9,"questionnaire-rcv8",NA,39258306,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Consent Under 18",4,"EFDGCHBA","Passed AC2","","spreadsheet_5",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH23888","SUPSCO97532"
1,1727882908325,"02/10/2024 15:28:28",1727886508325,1,"02/10/2024 17:28:28",177048,9,"questionnaire-rcv8",NA,40405849,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Consent Under 18",4,"ABHCGDFE","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"No",2,"SUPSCH02797","SUPSCO24909"
1,1731688481317,"15/11/2024 16:34:41",1731688481317,0,"15/11/2024 16:34:41",177048,9,"questionnaire-rcv8",NA,41375791,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1470x956","1200x723",NA,NA,0,"Consent Under 18",4,"BCADHEGF","Failed AC2","Passed AC1","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH44923","SUPSCO04571"
1,1731938260840,"18/11/2024 13:57:40",1731938260840,0,"18/11/2024 13:57:40",177048,9,"questionnaire-rcv8",NA,41419906,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1366x768","1366x589",NA,NA,0,"Consent Under 18",4,"CDBEAFHG","Passed AC2","","spreadsheet_5",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH02681","SUPSCO42721"
1,1732119786056,"20/11/2024 16:23:06",1732119786056,0,"20/11/2024 16:23:06",177048,9,"questionnaire-rcv8",NA,41493607,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"Consent Under 18",4,"FGEHDACB","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH63488","SUPSCO79674"
1,1732119825147,"20/11/2024 16:23:45",1732119825147,0,"20/11/2024 16:23:45",177048,9,"questionnaire-rcv8",NA,41493633,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"Consent Under 18",4,"GHFAEBDC","Passed AC2","","spreadsheet_5",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH65249","SUPSCO80310"
