"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1695838111470,"27/09/2023 18:08:31",1695823711470,-4,"27/09/2023 10:08:31",144636,5,"questionnaire-t2gh",NA,31904848,9434076,NA,"complete","lqhvtm","3T111IHZ5KPKFV2VC6YM36UW6JF9RV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Consent (without video or audio)",2,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT97235"
"1",1695838307037,"27/09/2023 18:11:47",1695823907037,-4,"27/09/2023 10:11:47",144636,5,"questionnaire-t2gh",NA,31904942,9434100,NA,"complete","lmlvva","3MH9DQ7572BRAXHKU6Z10Y33HVEGUX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Consent (without video or audio)",2,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT66053"
"1",1695860202374,"28/09/2023 00:16:42",1695845802374,-4,"27/09/2023 16:16:42",144636,5,"questionnaire-t2gh",NA,31905050,9434148,NA,"complete","xtoiqa","3NXNZ5RS1GWAXCIG3S0GYP3W57L79U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Consent (without video or audio)",2,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT90577"
"1",1695840218166,"27/09/2023 18:43:38",1695825818166,-4,"27/09/2023 10:43:38",144636,5,"questionnaire-t2gh",NA,31905656,9434661,NA,"complete","jvaotd","30BXRYBRPAWI2X109CWK3M01HCNWHY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT41746"
"1",1695840324420,"27/09/2023 18:45:24",1695825924420,-4,"27/09/2023 10:45:24",144636,5,"questionnaire-t2gh",NA,31905689,9434701,NA,"complete","rdlnde","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"FGEHDICJBA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT41746"
"1",1695839809949,"27/09/2023 18:36:49",1695825409949,-4,"27/09/2023 10:36:49",144636,5,"questionnaire-t2gh",NA,31905749,9434753,NA,"complete","ivpjlv","3L6L49WXW6WUD2YLY4PSJXEKSA0456","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"JAIBHCGDFE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT32807"
"1",1695840537925,"27/09/2023 18:48:57",1695826137925,-4,"27/09/2023 10:48:57",144636,5,"questionnaire-t2gh",NA,31905784,9434766,NA,"complete","jiznez","3NS0A6KXCA78WWBU0TY9HQIIJDWGZP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT65847"
"1",1695840541149,"27/09/2023 18:49:01",1695826141149,-4,"27/09/2023 10:49:01",144636,5,"questionnaire-t2gh",NA,31905788,9434768,NA,"complete","ylvjyp","34S6N1K2Z1I2R3P15YPIUBJLJ5MHLT","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"IJHAGBFCED","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPAMT93128"
"1",1695851357496,"27/09/2023 21:49:17",1695826157496,-7,"27/09/2023 07:49:17",144636,5,"questionnaire-t2gh",NA,31905793,9434773,NA,"complete","amahdm","336KAV9KYWRICCTI5SB11FFF30N2Y1","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1360x768","1360x651",NA,NA,0,"Consent (without video or audio)",2,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT68806"
"1",1695840562175,"27/09/2023 18:49:22",1695826162175,-4,"27/09/2023 10:49:22",144636,5,"questionnaire-t2gh",NA,31905794,9434777,NA,"complete","juggof","3NG53N1RL1IZPD36UMOJYFZ6LVBP8W","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT28732"
