"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695838194060,"27/09/2023 18:09:54",1695823794060,-4,"27/09/2023 10:09:54",144636,5,"questionnaire-xamc",NA,31904889,9434076,NA,"complete","lqhvtm","3T111IHZ5KPKFV2VC6YM36UW6JF9RV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPAMT97235"
"1",1695838345421,"27/09/2023 18:12:25",1695823945421,-4,"27/09/2023 10:12:25",144636,5,"questionnaire-xamc",NA,31904956,9434100,NA,"complete","lmlvva","3MH9DQ7572BRAXHKU6Z10Y33HVEGUX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT66053"
"1",1695860283615,"28/09/2023 00:18:03",1695845883615,-4,"27/09/2023 16:18:03",144636,5,"questionnaire-xamc",NA,31905081,9434148,NA,"complete","xtoiqa","3NXNZ5RS1GWAXCIG3S0GYP3W57L79U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT90577"
"1",1695840289695,"27/09/2023 18:44:49",1695825889695,-4,"27/09/2023 10:44:49",144636,5,"questionnaire-xamc",NA,31905678,9434661,NA,"complete","jvaotd","30BXRYBRPAWI2X109CWK3M01HCNWHY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPAMT41746"
"1",1695840487638,"27/09/2023 18:48:07",1695826087638,-4,"27/09/2023 10:48:07",144636,5,"questionnaire-xamc",NA,31905754,9434701,NA,"complete","rdlnde","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT41746"
"1",1695840603069,"27/09/2023 18:50:03",1695826203069,-4,"27/09/2023 10:50:03",144636,5,"questionnaire-xamc",NA,31905814,9434766,NA,"complete","jiznez","3NS0A6KXCA78WWBU0TY9HQIIJDWGZP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT65847"
"1",1695839989950,"27/09/2023 18:39:49",1695825589950,-4,"27/09/2023 10:39:49",144636,5,"questionnaire-xamc",NA,31905839,9434753,NA,"complete","ivpjlv","3L6L49WXW6WUD2YLY4PSJXEKSA0456","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT32807"
"1",1695840683012,"27/09/2023 18:51:23",1695826283012,-4,"27/09/2023 10:51:23",144636,5,"questionnaire-xamc",NA,31905851,9434777,NA,"complete","juggof","3NG53N1RL1IZPD36UMOJYFZ6LVBP8W","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPAMT28732"
"1",1695862404305,"28/09/2023 00:53:24",1695848004305,-4,"27/09/2023 16:53:24",144636,5,"questionnaire-xamc",NA,31905900,9434789,NA,"complete","vqanwo","3137ONMDKM4AL1KY46KWWGH0V7KEGE","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1298x609",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT46237"
"1",1695840791554,"27/09/2023 18:53:11",1695826391554,-4,"27/09/2023 10:53:11",144636,5,"questionnaire-xamc",NA,31905913,9434788,NA,"complete","rqazep","30ZX6P7VFEUSHNYJJSAYRS0RQW9J2J","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT37895"
"1",1695851641363,"27/09/2023 21:54:01",1695826441363,-7,"27/09/2023 07:54:01",144636,5,"questionnaire-xamc",NA,31905932,9434773,NA,"complete","amahdm","336KAV9KYWRICCTI5SB11FFF30N2Y1","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1360x768","1360x651",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPAMT68806"
"1",1695862673331,"28/09/2023 00:57:53",1695848273331,-4,"27/09/2023 16:57:53",144636,5,"questionnaire-xamc",NA,31906036,9434872,NA,"complete","kkwsod","39KFRKBFITUWJJINSQ9Y8SII45HYO1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Failed AC2","Passed AC1","1","2","SUPAMT34408"
"1",1695841204704,"27/09/2023 19:00:04",1695826804704,-4,"27/09/2023 11:00:04",144636,5,"questionnaire-xamc",NA,31906126,9434786,NA,"complete","eilfgx","36DSNE9QZBX6OUNO6Q8VY53UR17JOR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1282x602",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Failed AC2","Passed AC1","1","2","SUPAMT38095"
"1",1695841323997,"27/09/2023 19:02:03",1695826923997,-4,"27/09/2023 11:02:03",144636,5,"questionnaire-xamc",NA,31906170,9434898,NA,"complete","fgfwcs","386PBUZZXLWYI9KRTYS36OZ0WW2JLA","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1327x596",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT56321"
"1",1695841674629,"27/09/2023 19:07:54",1695827274629,-4,"27/09/2023 11:07:54",144636,5,"questionnaire-xamc",NA,31906369,9434768,NA,"complete","ylvjyp","34S6N1K2Z1I2R3P15YPIUBJLJ5MHLT","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Failed AC2","Passed AC1","1","2","SUPAMT93128"
"1",1695841716601,"27/09/2023 19:08:36",1695827316601,-4,"27/09/2023 11:08:36",144636,5,"questionnaire-xamc",NA,31906494,9435252,NA,"complete","fgfhmm","38BQUHLA92ZWP2T99NLNEXVBVV4MO0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT69675"
"1",1695842192047,"27/09/2023 19:16:32",1695827792047,-4,"27/09/2023 11:16:32",144636,5,"questionnaire-xamc",NA,31906587,9434806,NA,"complete","henypu","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Failed AC2","Passed AC1","1","2","SUPAMT34408"
"1",1695850623003,"27/09/2023 21:37:03",1695829023003,-6,"27/09/2023 09:37:03",144636,5,"questionnaire-xamc",NA,31907179,9435777,NA,"complete","ysbynr","3NPFYT4IZI3JR1BFZBAOK527BESGXO","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT87285"
"1",1695843559454,"27/09/2023 19:39:19",1695829159454,-4,"27/09/2023 11:39:19",144636,5,"questionnaire-xamc",NA,31907310,9435822,NA,"complete","jnaanr","3Y5140Z9D3FSEJFJ380AB4TKOS7PIX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPAMT94387"
"1",1695865203458,"28/09/2023 01:40:03",1695850803458,-4,"27/09/2023 17:40:03",144636,5,"questionnaire-xamc",NA,31907316,9435835,NA,"complete","xnepon","3M0BCWMB81V8BKYE9KMOHBX3MZVWBV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT94580"
"1",1695865249873,"28/09/2023 01:40:49",1695850849873,-4,"27/09/2023 17:40:49",144636,5,"questionnaire-xamc",NA,31907360,9435859,NA,"complete","mhiuae","3R9WASFE25F2IWFZP9SRZ5I6IZMFZH","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPAMT69504"
"1",1695843793854,"27/09/2023 19:43:13",1695829393854,-4,"27/09/2023 11:43:13",144636,5,"questionnaire-xamc",NA,31907524,9435866,NA,"complete","esrdgj","3U84XHCDIICSKGIA5SW881LFT9HZ4H","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT21062"
