Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-ot79,branch-g31k,branch-5gtn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1695838551452,27/09/2023 18:15:51,1695824151452,-4,27/09/2023 10:15:51,144636,5,task-hbx7,,31905040,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,Task Introduction and Instructions (Clone),9,ABJCIDHEGF,Passed AC2,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1695838616223,27/09/2023 18:16:56,1695824216223,-4,27/09/2023 10:16:56,144636,5,task-hbx7,,31905040,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,Task Introduction and Instructions (Clone),9,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 1,anr7sn,1,continue,,64007.59000004768,63997.827000000005,64007.59000004768,64007.59000004768,63997.827000000005,64007.59000004768,1,64007.59000004768,0,0,,Click To Continue,Continue Button,2,object-1944,Task Instructions,
3,1695838619477,27/09/2023 18:16:59,1695824219477,-4,27/09/2023 10:16:59,144636,5,task-hbx7,,31905040,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,Task Introduction and Instructions (Clone),9,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 2,ce2tc8,2,continue,,3263.3699999999953,3246.703999999998,3263.3699999999953,3263.3699999999953,3246.703999999998,3263.3699999999953,1,3263.3699999999953,0,0,,Click To Continue,Continue Button,2,object-7,Task Instructions,
4,1695838622628,27/09/2023 18:17:02,1695824222628,-4,27/09/2023 10:17:02,144636,5,task-hbx7,,31905040,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,Task Introduction and Instructions (Clone),9,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 5,spepx9,3,continue,,3168.259000095364,3162.8649999999907,3168.259000095364,3168.259000095364,3162.8649999999907,3168.259000095364,1,3168.259000095364,0,0,,Click To Continue,Continue Button,2,object-9,Task Instructions,
5,1695838626080,27/09/2023 18:17:06,1695824226080,-4,27/09/2023 10:17:06,144636,5,task-hbx7,,31905040,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,Task Introduction and Instructions (Clone),9,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 9,8nvnao,4,continue,,3457.2939999523223,3442.7850000000035,3457.2939999523223,3457.2939999523223,3442.7850000000035,3457.2939999523223,1,3457.2939999523223,0,0,,Click To Continue,Continue Button,2,object-44,Task Instructions,
6,1695838626082,27/09/2023 18:17:06,1695824226082,-4,27/09/2023 10:17:06,144636,5,task-hbx7,,31905040,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,Task Introduction and Instructions (Clone),9,ABJCIDHEGF,Passed AC2,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1695838635830,27/09/2023 18:17:15,1695824235830,-4,27/09/2023 10:17:15,144636,5,task-hbx7,,31905075,A12V4FYXCW31LN,9434100,,complete,lmlvva,3MH9DQ7572BRAXHKU6Z10Y33HVEGUX,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x800,1280x651,,,0,Task Introduction and Instructions (Clone),9,BCADJEIFHG,Passed AC2,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1695838638862,27/09/2023 18:17:18,1695824238862,-4,27/09/2023 10:17:18,144636,5,task-hbx7,,31905075,A12V4FYXCW31LN,9434100,,complete,lmlvva,3MH9DQ7572BRAXHKU6Z10Y33HVEGUX,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x800,1280x651,,,0,Task Introduction and Instructions (Clone),9,BCADJEIFHG,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 1,anr7sn,1,continue,,3010.4410000000003,2993.775,3010.4410000000003,3010.4410000000003,2993.775,3010.4410000000003,1,3010.4410000000003,0,0,,Click To Continue,Continue Button,2,object-1944,Task Instructions,
3,1695838641894,27/09/2023 18:17:21,1695824241894,-4,27/09/2023 10:17:21,144636,5,task-hbx7,,31905075,A12V4FYXCW31LN,9434100,,complete,lmlvva,3MH9DQ7572BRAXHKU6Z10Y33HVEGUX,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x800,1280x651,,,0,Task Introduction and Instructions (Clone),9,BCADJEIFHG,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 2,ce2tc8,2,continue,,3049.3170001907347,3037.852999999999,3049.3170001907347,3049.3170001907347,3037.852999999999,3049.3170001907347,1,3049.3170001907347,0,0,,Click To Continue,Continue Button,2,object-7,Task Instructions,
4,1695838644511,27/09/2023 18:17:24,1695824244511,-4,27/09/2023 10:17:24,144636,5,task-hbx7,,31905075,A12V4FYXCW31LN,9434100,,complete,lmlvva,3MH9DQ7572BRAXHKU6Z10Y33HVEGUX,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x800,1280x651,,,0,Task Introduction and Instructions (Clone),9,BCADJEIFHG,Passed AC2,,Spreadsheet1,1,Task Instructions,Screen 5,spepx9,3,continue,,2629.2640003814704,2621.6190000000006,2629.2640003814704,2629.2640003814704,2621.6190000000006,2629.2640003814704,1,2629.2640003814704,0,0,,Click To Continue,Continue Button,2,object-9,Task Instructions,
