"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1708971326901,"26/02/2024 18:15:26",1708971326901,0,"26/02/2024 18:15:26",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF94580"
"2",1708971342084,"26/02/2024 18:15:42",1708971342084,0,"26/02/2024 18:15:42",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",15207.4000000238,15200.2,15207.4000000238,15207.4000000238,15200.2,15207.4000000238,1,15207.4000000238,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF94580"
"3",1708971342086,"26/02/2024 18:15:42",1708971342086,0,"26/02/2024 18:15:42",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",3916.8,15200.2,15210.3,3916.8,15200.2,15210.3,1,3916.8,11293.5,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF94580"
"4",1708971342087,"26/02/2024 18:15:42",1708971342087,0,"26/02/2024 18:15:42",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",8483.5,15200.2,15210.9000000238,8483.5,15200.2,15210.9000000238,1,8483.5,6727.40000002384,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF94580"
"5",1708971342087,"26/02/2024 18:15:42",1708971342087,0,"26/02/2024 18:15:42",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",14534,15200.2,15211.3,14534,15200.2,15211.3,1,14534,677.299999999999,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF94580"
"6",1708971359742,"26/02/2024 18:15:59",1708971359742,0,"26/02/2024 18:15:59",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",17666.1,17650.3,17666.1,17666.1,17650.3,17666.1,1,17666.1,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF94580"
"7",1708971359746,"26/02/2024 18:15:59",1708971359746,0,"26/02/2024 18:15:59",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",5316.8,17650.3,17667,5316.8,17650.3,17667,1,5316.8,12350.2,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF94580"
"8",1708971359746,"26/02/2024 18:15:59",1708971359746,0,"26/02/2024 18:15:59",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",8300.4,17650.3,17667,8300.4,17650.3,17667,1,8300.4,9366.59999999999,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF94580"
"9",1708971359746,"26/02/2024 18:15:59",1708971359746,0,"26/02/2024 18:15:59",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",13600.3,17650.3,17667,13600.3,17650.3,17667,1,13600.3,4066.69999999999,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF94580"
"10",1708971374517,"26/02/2024 18:16:14",1708971374517,0,"26/02/2024 18:16:14",167771,4,"task-gjqt",NA,35522523,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",14791.4000000238,14783.5,14791.4000000238,14791.4000000238,14783.5,14791.4000000238,1,14791.4000000238,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF94580"
