"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1708971377072,"26/02/2024 18:16:17",1708971377072,0,"26/02/2024 18:16:17",167771,4,"questionnaire-wop8",NA,35522548,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_second","1-0","1","SUPPRF94580"
"1",1708971424677,"26/02/2024 18:17:04",1708971424677,0,"26/02/2024 18:17:04",167771,4,"questionnaire-wop8",NA,35522589,10494334,NA,"complete",NA,"65dcd343038df1ca26649274","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_first","1-0","1","SUPPRF91296"
"1",1708971299275,"26/02/2024 18:14:59",1708971299275,0,"26/02/2024 18:14:59",167771,4,"questionnaire-wop8",NA,35522667,10494361,NA,"complete",NA,"65dcd3eed5e1a6a3349a3356","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_second","1-0","1","SUPPRF77316"
"1",1708972536482,"26/02/2024 18:35:36",1708954536482,-5,"26/02/2024 08:35:36",167771,4,"questionnaire-wop8",NA,35523183,10494421,NA,"complete",NA,"65dcce30f40fd5cad9b7b120","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x673",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_first","1-0","1","SUPPRF56143"
"1",1708975700563,"26/02/2024 19:28:20",1708957700563,-5,"26/02/2024 09:28:20",167771,4,"questionnaire-wop8",NA,35524846,10494908,NA,"complete",NA,"65dce2bedf550398cbe21df9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1058x722",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1-0","1","SUPPRF59156"
"1",1708977025910,"26/02/2024 19:50:25",1708948225910,-8,"26/02/2024 03:50:25",167771,4,"questionnaire-wop8",NA,35525552,10495197,NA,"complete",NA,"65dce8d9cab7e37ca604a9ef","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1426x692",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_second","1-0","1","SUPPRF87285"
"1",1708977707795,"26/02/2024 20:01:47",1708977707795,0,"26/02/2024 20:01:47",167771,4,"questionnaire-wop8",NA,35525809,10495308,NA,"complete",NA,"65dceba002a94d3dfdc24511","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_second","1-0","1","SUPPRF00201"
"1",1708978348661,"26/02/2024 20:12:28",1708960348661,-5,"26/02/2024 10:12:28",167771,4,"questionnaire-wop8",NA,35526166,10495316,NA,"complete",NA,"65dcec09d5e1a6a3349a3837","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1280x800","1243x690",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_second","1-0","1","SUPPRF64585"
"1",1708978266160,"26/02/2024 20:11:06",1708960266160,-5,"26/02/2024 10:11:06",167771,4,"questionnaire-wop8",NA,35526140,10495365,NA,"complete",NA,"65dced46926eb51a950e86da","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1504x1003","1504x868",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_first","1-0","1","SUPPRF09191"
"1",1708978358321,"26/02/2024 20:12:38",1708978358321,0,"26/02/2024 20:12:38",167771,4,"questionnaire-wop8",NA,35526171,10495375,NA,"complete",NA,"65dce39a39457860b3e43fc8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1710x1107","1710x948",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_first","1-0","1","SUPPRF01454"
