"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1709574854575,"04/03/2024 17:54:14",1709574854575,0,"04/03/2024 17:54:14",169741,4,"questionnaire-s6dh",NA,35763131,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1056x716",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF45961"
"1",1709576763350,"04/03/2024 18:26:03",1709558763350,-5,"04/03/2024 08:26:03",169741,4,"questionnaire-s6dh",NA,35767861,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF85564"
"1",1709577329627,"04/03/2024 18:35:29",1709577329627,0,"04/03/2024 18:35:29",169741,4,"questionnaire-s6dh",NA,35768239,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF01010"
"1",1709578018364,"04/03/2024 18:46:58",1709578018364,0,"04/03/2024 18:46:58",169741,4,"questionnaire-s6dh",NA,35768616,10572350,NA,"complete",NA,"65e61655112ede9803cb7027","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 113.0.0.0","1440x900","1440x700",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF90122"
"1",1709578701968,"04/03/2024 18:58:21",1709578701968,0,"04/03/2024 18:58:21",169741,4,"questionnaire-s6dh",NA,35768948,10572429,NA,"complete",NA,"65e618b72145f01e320788fb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x679",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF33311"
"1",1709578978935,"04/03/2024 19:02:58",1709557378935,-6,"04/03/2024 07:02:58",169741,4,"questionnaire-s6dh",NA,35769240,10572500,NA,"complete",NA,"65e61ac1ea11151a57933935","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x599",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF99447"
"1",1709580591050,"04/03/2024 19:29:51",1709580591050,0,"04/03/2024 19:29:51",169741,4,"questionnaire-s6dh",NA,35770152,10572707,NA,"complete",NA,"65e6212196c95a694dd9bf64","computer","Desktop or Laptop","Linux x86_64","Chrome 122.0.0.0","1920x1080","1920x863",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF68034"
"1",1709580636272,"04/03/2024 19:30:36",1709580636272,0,"04/03/2024 19:30:36",169741,4,"questionnaire-s6dh",NA,35770186,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF40866"
"1",1709582132967,"04/03/2024 19:55:32",1709564132967,-5,"04/03/2024 09:55:32",169741,4,"questionnaire-s6dh",NA,35771156,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF82077"
"1",1709582226381,"04/03/2024 19:57:06",1709582226381,0,"04/03/2024 19:57:06",169741,4,"questionnaire-s6dh",NA,35771236,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF89522"
