"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1709921481572,"08/03/2024 18:11:21",1709921481572,0,"08/03/2024 18:11:21",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF56573"
"2",1709921488378,"08/03/2024 18:11:28",1709921488378,0,"08/03/2024 18:11:28",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",6795.09999998808,6783.2,6795.09999998808,6795.09999998808,6783.2,6795.09999998808,1,6795.09999998808,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF56573"
"3",1709921495904,"08/03/2024 18:11:35",1709921495904,0,"08/03/2024 18:11:35",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",7537.49999998212,7533.1,7537.49999998212,7537.49999998212,7533.1,7537.49999998212,1,7537.49999998212,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF56573"
"4",1709921521678,"08/03/2024 18:12:01",1709921521678,0,"08/03/2024 18:12:01",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",25778.199999994,25766.2,25778.199999994,25778.199999994,25766.2,25778.199999994,1,25778.199999994,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF56573"
"5",1709921542379,"08/03/2024 18:12:22",1709921542379,0,"08/03/2024 18:12:22",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",20713.4,20699.5,20713.4,20713.4,20699.5,20713.4,1,20713.4,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF56573"
"6",1709921551858,"08/03/2024 18:12:31",1709921551858,0,"08/03/2024 18:12:31",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",9493.59999998808,9483.00000000001,9493.59999998808,9493.59999998808,9483.00000000001,9493.59999998808,1,9493.59999998808,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF56573"
"7",1709921557117,"08/03/2024 18:12:37",1709921557117,0,"08/03/2024 18:12:37",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",5268.80000000595,5266.7,5268.80000000595,5268.80000000595,5266.7,5268.80000000595,1,5268.80000000595,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF56573"
"8",1709921561857,"08/03/2024 18:12:41",1709921561857,0,"08/03/2024 18:12:41",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",4742.2,4733.2,4742.2,4742.2,4733.2,4742.2,1,4742.2,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF56573"
"9",1709921565217,"08/03/2024 18:12:45",1709921565217,0,"08/03/2024 18:12:45",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",3369,3366.60000000001,3369,3369,3366.60000000001,3369,1,3369,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF56573"
"10",1709921565218,"08/03/2024 18:12:45",1709921565218,0,"08/03/2024 18:12:45",170281,5,"task-msu8",NA,35908967,10612565,NA,"complete",NA,"65eb4fa1ce545fd232f32bc7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF56573"
