"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1711373780429,"25/03/2024 13:36:20",1711359380429,-4,"25/03/2024 05:36:20",172741,4,"questionnaire-xamc",NA,36415847,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","","1","2","SUPPRF97228"
"1",1711375315623,"25/03/2024 14:01:55",1711375315623,0,"25/03/2024 14:01:55",172741,4,"questionnaire-xamc",NA,36417342,10748886,NA,"complete",NA,"660182ca861e0cd143091963","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2","SUPPRF95311"
"1",1711376165341,"25/03/2024 14:16:05",1711376165341,0,"25/03/2024 14:16:05",172741,4,"questionnaire-xamc",NA,36418814,10749187,NA,"complete",NA,"660186cda1c64256036bb336","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1366x768","1151x598",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2","SUPPRF48071"
"1",1711377139104,"25/03/2024 14:32:19",1711377139104,0,"25/03/2024 14:32:19",172741,4,"questionnaire-xamc",NA,36420158,10749437,NA,"complete",NA,"66018a9e515ef50a88317f5e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1470x956","1325x733",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2","SUPPRF72649"
"1",1711393990813,"25/03/2024 19:13:10",1711379590813,-4,"25/03/2024 11:13:10",172741,4,"questionnaire-xamc",NA,36435997,10754684,NA,"complete",NA,"6601cb868c4c847f2e11c901","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1322x696",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","","1","2","SUPPRF75031"
"1",1711394481204,"25/03/2024 19:21:21",1711412481204,5,"26/03/2024 05:21:21",172741,4,"questionnaire-xamc",NA,36436292,10754782,NA,"complete",NA,"6601cd67faa97a294fe3db4c","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x607",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Passed AC2","","1","2","SUPPRF36782"
"1",1711421777008,"26/03/2024 02:56:17",1711403777008,-5,"25/03/2024 16:56:17",172741,4,"questionnaire-xamc",NA,36444542,10756916,NA,"complete",NA,"660238f01be858ed29072393","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2","SUPPRF60894"
"1",1711429391842,"26/03/2024 05:03:11",1711411391842,-5,"25/03/2024 19:03:11",172741,4,"questionnaire-xamc",NA,36445336,10757142,NA,"complete",NA,"6602563d86cb8962f2d42b1f","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2","SUPPRF90238"
"1",1711431077964,"26/03/2024 05:31:17",1711416677964,-4,"25/03/2024 21:31:17",172741,4,"questionnaire-xamc",NA,36445466,10757176,NA,"complete",NA,"66025d2d6e435259d20b2437","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1792x1120","1212x740",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2","SUPPRF18827"
"1",1711448952418,"26/03/2024 10:29:12",1711448952418,0,"26/03/2024 10:29:12",172741,4,"questionnaire-xamc",NA,36451927,10759064,NA,"complete",NA,"6602a30233c28bbe2e29631e","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2","SUPPRF28922"
