"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1711374057501,"25/03/2024 13:40:57",1711359657501,-4,"25/03/2024 05:40:57",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF97228"
"2",1711374088038,"25/03/2024 13:41:28",1711359688038,-4,"25/03/2024 05:41:28",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",30556.288,30539.688,30556.288,30556.288,30539.688,30556.288,1,30556.288,0,0,NA,"Click To Continue","Continue Button",16,"object-48","BIQ",NA,"SUPPRF97228"
"3",1711374088040,"25/03/2024 13:41:28",1711359688040,-4,"25/03/2024 05:41:28",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",18227.288,30539.688,30556.288,18227.288,30539.688,30556.288,1,18227.288,12329,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF97228"
"4",1711374088041,"25/03/2024 13:41:28",1711359688041,-4,"25/03/2024 05:41:28",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",29706.588,30539.688,30556.288,29706.588,30539.688,30556.288,1,29706.588,849.700000000012,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF97228"
"5",1711374099217,"25/03/2024 13:41:39",1711359699217,-4,"25/03/2024 05:41:39",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"continue","",11196.6,11179.9,11196.6,11196.6,11179.9,11196.6,1,11196.6,0,0,NA,"Click To Continue","Continue Button",7,"object-1017","BIQ",NA,"SUPPRF97228"
"6",1711374099219,"25/03/2024 13:41:39",1711359699219,-4,"25/03/2024 05:41:39",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","0",4548.3,11179.9,11196.6,4548.3,11179.9,11196.6,1,4548.3,6648.3,0,NA,"Rating Scale","Rating Scale",8,"object-118","BIQ",NA,"SUPPRF97228"
"7",1711374099220,"25/03/2024 13:41:39",1711359699220,-4,"25/03/2024 05:41:39",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","7",8414.2,11179.9,11196.6,8414.2,11179.9,11196.6,1,8414.2,2782.39999999999,0,NA,"Rating Scale","Rating Scale",10,"object-121","BIQ",NA,"SUPPRF97228"
"8",1711374116611,"25/03/2024 13:41:56",1711359716611,-4,"25/03/2024 05:41:56",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"continue","",17410.8,17394.3,17410.8,17410.8,17394.3,17410.8,1,17410.8,0,0,NA,"Click To Continue","Continue Button",15,"object-50","BIQ",NA,"SUPPRF97228"
"9",1711374116613,"25/03/2024 13:41:56",1711359716613,-4,"25/03/2024 05:41:56",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","0",4481.5,17394.3,17410.8,4481.5,17394.3,17410.8,1,4481.5,12929.3,0,NA,"Rating Scale","Rating Scale",2,"object-36","BIQ",NA,"SUPPRF97228"
"10",1711374116614,"25/03/2024 13:41:56",1711359716614,-4,"25/03/2024 05:41:56",172741,4,"task-7hcp",NA,36416032,10748550,NA,"complete",NA,"66017d3ddf20d46323ba2ab7","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x598",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","2",10279.9,17394.3,17410.8,10279.9,17394.3,17410.8,1,10279.9,7130.9,0,NA,"Rating Scale","Rating Scale",9,"object-86","BIQ",NA,"SUPPRF97228"
