"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1698418715535,"27/10/2023 14:58:35",1698422315535,1,"27/10/2023 16:58:35",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF31333"
"2",1698418757164,"27/10/2023 14:59:17",1698422357164,1,"27/10/2023 16:59:17",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",41638.8770000238,41628.263,41638.8770000238,41638.8770000238,41628.263,41638.8770000238,1,41638.8770000238,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF31333"
"3",1698418757166,"27/10/2023 14:59:17",1698422357166,1,"27/10/2023 16:59:17",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",27163.195,41628.263,41641.6770000358,27163.195,41628.263,41641.6770000358,1,27163.195,14478.4820000358,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF31333"
"4",1698418757167,"27/10/2023 14:59:17",1698422357167,1,"27/10/2023 16:59:17",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",34245.556,41628.263,41642.0770000119,34245.556,41628.263,41642.0770000119,1,34245.556,7396.52100001192,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF31333"
"5",1698418757167,"27/10/2023 14:59:17",1698422357167,1,"27/10/2023 16:59:17",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",40894.691,41628.263,41642.4769999881,40894.691,41628.263,41642.4769999881,1,40894.691,747.785999988082,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF31333"
"6",1698418769658,"27/10/2023 14:59:29",1698422369658,1,"27/10/2023 16:59:29",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",12504.7139999881,12498.123,12504.7139999881,12504.7139999881,12498.123,12504.7139999881,1,12504.7139999881,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF31333"
"7",1698418769661,"27/10/2023 14:59:29",1698422369661,1,"27/10/2023 16:59:29",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",5299.042,12498.123,12507.4140000358,5299.042,12498.123,12507.4140000358,1,5299.042,7208.37200003576,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF31333"
"8",1698418769661,"27/10/2023 14:59:29",1698422369661,1,"27/10/2023 16:59:29",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",8315.27800000001,12498.123,12507.7139999881,8315.27800000001,12498.123,12507.7139999881,1,8315.27800000001,4192.43599998808,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF31333"
"9",1698418769661,"27/10/2023 14:59:29",1698422369661,1,"27/10/2023 16:59:29",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",11931.497,12498.123,12508.1140000238,11931.497,12498.123,12508.1140000238,1,11931.497,576.617000023842,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF31333"
"10",1698418780294,"27/10/2023 14:59:40",1698422380294,1,"27/10/2023 16:59:40",149662,3,"task-gjqt",NA,32534112,9628414,NA,"rejected - time limit reached",NA,"653bce2a7fa6f396900dfb99","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1280x720","1272x598",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",10642.5909999881,10632.006,10642.5909999881,10642.5909999881,10632.006,10642.5909999881,1,10642.5909999881,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF31333"
