"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1699639579074,"10/11/2023 18:06:19",1699639579074,0,"10/11/2023 18:06:19",151512,5,"questionnaire-s6dh",NA,32874673,9735633,NA,"complete",NA,"654e710ffcc1748009be7272","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x702",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF45424"
"1",1699644010308,"10/11/2023 19:20:10",1699644010308,0,"10/11/2023 19:20:10",151512,5,"questionnaire-s6dh",NA,32875691,9736150,NA,"complete",NA,"654e81a2df6fc908052b2c4a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF89348"
"1",1699644244702,"10/11/2023 19:24:04",1699644244702,0,"10/11/2023 19:24:04",151512,5,"questionnaire-s6dh",NA,32875753,9736164,NA,"complete",NA,"654e824c01da0346f7d0bf9b","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF45704"
"1",1699644439321,"10/11/2023 19:27:19",1699644439321,0,"10/11/2023 19:27:19",151512,5,"questionnaire-s6dh",NA,32875806,9736180,NA,"complete",NA,"654e7dc17634b6d7df3e7554","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1920x1039",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF70595"
"1",1699645494072,"10/11/2023 19:44:54",1699623894072,-6,"10/11/2023 07:44:54",151512,5,"questionnaire-s6dh",NA,32876121,9736283,NA,"complete",NA,"654e8774ec3e795cee9c8c76","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF54185"
"1",1699645606628,"10/11/2023 19:46:46",1699645606628,0,"10/11/2023 19:46:46",151512,5,"questionnaire-s6dh",NA,32876164,9736304,NA,"complete",NA,"654e87b6c618dea49325448a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x747",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF14173"
"1",1699645735398,"10/11/2023 19:48:55",1699645735398,0,"10/11/2023 19:48:55",151512,5,"questionnaire-s6dh",NA,32876222,9736323,NA,"complete",NA,"654e88e1e05e35d574cedefe","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1164x655","1164x507",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF70880"
"1",1699645804048,"10/11/2023 19:50:04",1699627804048,-5,"10/11/2023 09:50:04",151512,5,"questionnaire-s6dh",NA,32876256,9736332,NA,"complete",NA,"654e88c2ded265c5d1c67475","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x721",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF18662"
"1",1699646719375,"10/11/2023 20:05:19",1699646719375,0,"10/11/2023 20:05:19",151512,5,"questionnaire-s6dh",NA,32876700,9736443,NA,"complete",NA,"654e8cad78caccc654b40be2","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF78305"
"1",1699646764746,"10/11/2023 20:06:04",1699617964746,-8,"10/11/2023 04:06:04",151512,5,"questionnaire-s6dh",NA,32876727,9736448,NA,"complete",NA,"654e8aebc909ed72997ee012","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1366x641",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF71639"
