"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","2023-11-22T18:13:15.029000Z","2023-11-22T19:12:58.726000Z","2023-11-24T16:21:41.590000Z","2023-11-22T19:12:59.334959Z",3584,"C6UC3A24",961,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF88145"
"2","APPROVED","2023-11-22T18:08:45.488000Z","2023-11-22T18:59:33.663000Z","2023-11-24T16:21:41.859000Z","2023-11-22T18:59:34.131617Z",3049,"C6UC3A24",23,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF61705"
"3","APPROVED","2023-11-22T18:16:21.187000Z","2023-11-22T19:11:58.038000Z","2023-11-24T16:21:42.016000Z","2023-11-22T19:11:58.584102Z",3337,"C6UC3A24",277,"English, Spanish","No","21","Female","Other","Venezuela, Bolivarian Republic of","United Kingdom","Bolivia","English","Yes","Unemployed (and job seeking)","SUPPRF47953"
"4","APPROVED","2023-11-22T18:29:09.545000Z","2023-11-22T19:19:49.376000Z","2023-11-24T16:21:42.168000Z","2023-11-22T19:19:49.826073Z",3040,"C6UC3A24",17,"English","No","24","Male","Asian","Italy","United Kingdom","United Kingdom","Italian","No","Full-Time","SUPPRF80130"
"5","APPROVED","2023-11-22T19:04:39.545000Z","2023-11-22T19:40:40.864000Z","2023-11-24T16:21:42.321000Z","2023-11-22T19:40:41.375111Z",2162,"C6UC3A24",405,"English","No","24","Male","Asian","United States","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF97792"
"6","APPROVED","2023-11-22T19:16:02.976000Z","2023-11-22T20:04:13.374000Z","2023-11-24T16:21:42.491000Z","2023-11-22T20:04:14.071089Z",2891,"C6UC3A24",18,"English","No","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF09619"
"7","APPROVED","2023-11-22T19:36:20.192000Z","2023-11-22T20:53:35.322000Z","2023-11-24T16:21:42.649000Z","2023-11-22T20:53:35.823850Z",4636,"C6UC3A24",19,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF96614"
"8","APPROVED","2023-11-22T21:16:38.126000Z","2023-11-22T22:06:30.391000Z","2023-11-24T16:21:42.799000Z","2023-11-22T22:06:30.941708Z",2993,"C6UC3A24",176,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF47214"
"9","APPROVED","2023-11-22T21:27:42.447000Z","2023-11-22T22:10:35.341000Z","2023-11-24T16:21:42.952000Z","2023-11-22T22:10:35.804662Z",2573,"C6UC3A24",485,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF23161"
"10","APPROVED","2023-11-22T23:30:40.302000Z","2023-11-23T00:12:02.827000Z","2023-11-24T16:21:43.113000Z","2023-11-23T00:12:03.340938Z",2483,"C6UC3A24",128,"English, Chinese","No","19","Male","Asian","Hong Kong","United Kingdom","Hong Kong","Cantonese","Yes","Other","SUPPRF13297"
"11","APPROVED","2023-11-23T13:45:27.248000Z","2023-11-23T14:38:56.413000Z","2023-11-24T16:21:43.267000Z","2023-11-23T14:38:56.977443Z",3210,"C6UC3A24",760,"English","No","21","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF54929"
"12","APPROVED","2023-11-23T15:24:12.014000Z","2023-11-23T16:13:48.297000Z","2023-11-24T16:21:43.417000Z","2023-11-23T16:13:48.831711Z",2977,"C6UC3A24",521,"English","No","25","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF03254"
"13","APPROVED","2023-11-23T15:26:15.439000Z","2023-11-23T16:03:33.562000Z","2023-11-24T16:21:43.570000Z","2023-11-23T16:03:34.027595Z",2239,"C6UC3A24",358,"English","No","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF74387"
"14","APPROVED","2023-11-23T18:12:15.457000Z","2023-11-23T18:52:55.398000Z","2023-11-24T16:21:43.727000Z","2023-11-23T18:52:56.022240Z",2440,"C6UC3A24",557,"English","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF95208"
"15","APPROVED","2023-11-23T19:18:25.182000Z","2023-11-23T20:00:54.700000Z","2023-11-24T16:21:43.880000Z","2023-11-23T20:00:55.254507Z",2550,"C6UC3A24",56,"English, Korean","No","21","Female","Asian","Korea","United Kingdom","Korea","Korean","Yes","Part-Time","SUPPRF98797"
"16","APPROVED","2023-11-23T19:48:00.008000Z","2023-11-23T20:34:10.050000Z","2023-11-24T16:21:44.033000Z","2023-11-23T20:34:10.490156Z",2771,"C6UC3A24",174,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Other","SUPPRF06127"
"17","APPROVED","2023-11-23T21:19:56.040000Z","2023-11-23T22:00:33.989000Z","2023-11-24T16:21:44.177000Z","2023-11-23T22:00:34.429744Z",2438,"C6UC3A24",1397,"English, Urdu","No","21","Male","Asian","India","United States","United States","Urdu","DATA_EXPIRED","DATA_EXPIRED","SUPPRF84309"
"18","APPROVED","2023-11-22T21:08:40.191000Z","2023-11-23T09:04:39.311000Z","2023-11-23T09:04:39.557000Z","",42960,"Manual Completion",137,"English","No","22","Female","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Unemployed (and job seeking)","SUPPRF71413"
"19","APPROVED","2023-11-24T19:10:47.153000Z","2023-11-24T19:51:19.201000Z","2023-11-29T15:11:18.567000Z","2023-11-24T19:51:19.616009Z",2433,"C6UC3A24",133,"English, Lithuanian","No","21","Female","White","Lithuania","United Kingdom","Lithuania","Lithuanian","Yes","Unemployed (and job seeking)","SUPPRF93936"
"20","APPROVED","2023-11-24T19:36:45.555000Z","2023-11-24T20:18:50.519000Z","2023-11-29T15:11:18.806000Z","2023-11-24T20:18:50.955164Z",2525,"C6UC3A24",374,"Chinese, English, Italian","No","25","Female","Asian","United States","United States","United States","English","Yes","Other","SUPPRF78461"
"21","APPROVED","2023-11-25T02:10:29.984000Z","2023-11-25T03:01:42.799000Z","2023-11-29T15:11:18.947000Z","2023-11-25T03:01:43.346035Z",3073,"C6UC3A24",845,"English","No","23","Male","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF00216"
"22","APPROVED","2023-11-25T09:40:02.821000Z","2023-11-25T10:59:52.038000Z","2023-11-29T15:11:19.087000Z","2023-11-25T10:59:52.746785Z",4790,"C6UC3A24",266,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF79304"
"23","APPROVED","2023-11-25T15:51:07.760000Z","2023-11-25T16:34:14.316000Z","2023-11-29T15:11:19.234000Z","2023-11-25T16:34:14.768062Z",2587,"C6UC3A24",77,"English, Turkish","No","21","Female","White","Turkey","United Kingdom","Turkey","Turkish","Yes","Part-Time","SUPPRF73458"
"24","APPROVED","2023-11-25T15:52:16.688000Z","2023-11-25T16:33:21.831000Z","2023-11-29T15:11:19.377000Z","2023-11-25T16:33:22.334581Z",2466,"C6UC3A24",376,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF99862"
"25","APPROVED","2023-11-27T04:33:34.908000Z","2023-11-27T05:25:26.690000Z","2023-11-29T15:11:19.523000Z","2023-11-27T05:25:27.170808Z",3112,"C6UC3A24",45,"English","No","22","Male","White","United States","United States","United States","English","Yes","Full-Time","SUPPRF53834"
"26","APPROVED","2023-11-27T22:00:32.639000Z","2023-11-27T22:41:03.397000Z","2023-11-29T15:11:19.660000Z","2023-11-27T22:41:03.805356Z",2431,"C6UC3A24",229,"English","No","24","Female","White","United States","United States","United States","English","No","Part-Time","SUPPRF08067"
"27","APPROVED","2023-11-27T23:45:21.898000Z","2023-11-28T00:31:07.898000Z","2023-11-29T15:11:19.802000Z","2023-11-28T00:31:08.365337Z",2746,"C6UC3A24",87,"English, German","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF54483"
"28","APPROVED","2023-11-28T16:54:11.994000Z","2023-11-28T17:46:21.828000Z","2023-11-29T15:11:19.951000Z","2023-11-28T17:46:22.397542Z",3130,"C6UC3A24",47,"English","No","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF76395"
