"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1697629875668,"18/10/2023 11:51:15",1697633475668,1,"18/10/2023 13:51:15",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF59606"
"2",1697629911910,"18/10/2023 11:51:51",1697633511910,1,"18/10/2023 13:51:51",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",36257.781,36240.946,36257.781,36257.781,36240.946,36257.781,1,36257.781,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF59606"
"3",1697629911912,"18/10/2023 11:51:51",1697633511912,1,"18/10/2023 13:51:51",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",10557.605,36240.946,36257.781,10557.605,36240.946,36257.781,1,10557.605,25700.176,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF59606"
"4",1697629911913,"18/10/2023 11:51:51",1697633511913,1,"18/10/2023 13:51:51",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",26474.271,36240.946,36257.781,26474.271,36240.946,36257.781,1,26474.271,9783.51,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF59606"
"5",1697629911913,"18/10/2023 11:51:51",1697633511913,1,"18/10/2023 13:51:51",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",34607.539,36240.946,36257.781,34607.539,36240.946,36257.781,1,34607.539,1650.242,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF59606"
"6",1697629932071,"18/10/2023 11:52:12",1697633532071,1,"18/10/2023 13:52:12",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",20182.1230000179,20167.108,20182.1230000179,20182.1230000179,20167.108,20182.1230000179,1,20182.1230000179,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF59606"
"7",1697629932074,"18/10/2023 11:52:12",1697633532074,1,"18/10/2023 13:52:12",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",4166.575,20167.108,20184.402,4166.575,20167.108,20184.402,1,4166.575,16017.827,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF59606"
"8",1697629932074,"18/10/2023 11:52:12",1697633532074,1,"18/10/2023 13:52:12",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",6533.158,20167.108,20184.402,6533.158,20167.108,20184.402,1,6533.158,13651.244,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF59606"
"9",1697629932075,"18/10/2023 11:52:12",1697633532075,1,"18/10/2023 13:52:12",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",9717.199,20167.108,20184.402,9717.199,20167.108,20184.402,1,9717.199,10467.203,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF59606"
"10",1697629940290,"18/10/2023 11:52:20",1697633540290,1,"18/10/2023 13:52:20",147683,3,"task-gjqt",NA,32328158,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",8234.303,8217.069,8234.303,8234.303,8217.069,8234.303,1,8234.303,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF59606"
