"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1697629319656,"18/10/2023 11:41:59",1697632919656,1,"18/10/2023 13:41:59",147683,3,"questionnaire-pgy1",NA,32327916,9559360,NA,"complete",NA,"652fc474c8ed36f51a72a679","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1707x1067","852x900",NA,NA,0,"Consent (without video or audio) (Clone)",2,"ABJCIDHEGF","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF59606"
"1",1697643285883,"18/10/2023 15:34:45",1697646885883,1,"18/10/2023 17:34:45",147683,3,"questionnaire-pgy1",NA,32335940,9561687,NA,"complete",NA,"652ffadb010422e0d379e4ca","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","958x921",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF37681"
"1",1697665992289,"18/10/2023 21:53:12",1697669592289,1,"18/10/2023 23:53:12",147683,3,"questionnaire-pgy1",NA,32347479,9565152,NA,"complete",NA,"653053b8f7c0c5dea6665f6f","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x707",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF11139"
"1",1697731853266,"19/10/2023 16:10:53",1697735453266,1,"19/10/2023 18:10:53",147683,3,"questionnaire-pgy1",NA,32366011,9571426,NA,"complete",NA,"653154994fa6fef45b59128a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x708",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF01788"
"1",1697736892479,"19/10/2023 17:34:52",1697740492479,1,"19/10/2023 19:34:52",147683,3,"questionnaire-pgy1",NA,32367771,9572136,NA,"complete",NA,"653168b4778f39567345066d","computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1080","2560x955",NA,NA,0,"Consent (without video or audio) (Clone)",2,"GHFIEJDACB","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF93027"
"1",1697804296983,"20/10/2023 12:18:16",1697807896983,1,"20/10/2023 14:18:16",147683,3,"questionnaire-pgy1",NA,32380406,9577007,NA,"rejected - time limit reached",NA,"65326ff35afdf92b45388b44","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Consent (without video or audio) (Clone)",2,"IJHAGBFCED","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF43235"
"1",1697804472737,"20/10/2023 12:21:12",1697790072737,-4,"20/10/2023 04:21:12",147683,3,"questionnaire-pgy1",NA,32380466,9577059,NA,"complete",NA,"6532706690febf7cc2ea91b4","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (without video or audio) (Clone)",2,"JAIBHCGDFE","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF97235"
"1",1697805005023,"20/10/2023 12:30:05",1697808605023,1,"20/10/2023 14:30:05",147683,3,"questionnaire-pgy1",NA,32380639,9577244,NA,"complete",NA,"653272c16dd19336f4549895","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF78020"
"1",1697805231025,"20/10/2023 12:33:51",1697808831025,1,"20/10/2023 14:33:51",147683,3,"questionnaire-pgy1",NA,32380742,9577338,NA,"complete",NA,"6532739f2c4691903668628b","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x1024","1536x867",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF06488"
"1",1697805363205,"20/10/2023 12:36:03",1697808963205,1,"20/10/2023 14:36:03",147683,3,"questionnaire-pgy1",NA,32380800,9577396,NA,"complete",NA,"6532741adb139ac3ecdd48d4","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","794x741",NA,NA,0,"Consent (without video or audio) (Clone)",2,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF45081"
"1",1697805415590,"20/10/2023 12:36:55",1697809015590,1,"20/10/2023 14:36:55",147683,3,"questionnaire-pgy1",NA,32380827,9577424,NA,"complete",NA,"65327436bd8652e10f461c5e","tablet","Apple iPad","iOS 16.6","Chrome 118.0.5993.92","834x1112","782x719",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF55923"
"1",1697805433429,"20/10/2023 12:37:13",1697809033429,1,"20/10/2023 14:37:13",147683,3,"questionnaire-pgy1",NA,32380832,9577432,NA,"complete",NA,"6532712d72e164e0bfb915f6","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1923x947","1920x941",NA,NA,0,"Consent (without video or audio) (Clone)",2,"JAIBHCGDFE","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF73219"
"1",1697805444649,"20/10/2023 12:37:24",1697809044649,1,"20/10/2023 14:37:24",147683,3,"questionnaire-pgy1",NA,32380835,9577436,NA,"complete",NA,"653274794c2d3cfdfbb3c7b1","computer","Desktop or Laptop","Windows 10","Firefox 120.0","2560x1440","1279x1286",NA,NA,0,"Consent (without video or audio) (Clone)",2,"GHFIEJDACB","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF44350"
"1",1697805468345,"20/10/2023 12:37:48",1697809068345,1,"20/10/2023 14:37:48",147683,3,"questionnaire-pgy1",NA,32380845,9577446,NA,"complete",NA,"653274782a9833c271b31a6e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","2049x927",NA,NA,0,"Consent (without video or audio) (Clone)",2,"FGEHDICJBA","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF05688"
"1",1697805578476,"20/10/2023 12:39:38",1697809178476,1,"20/10/2023 14:39:38",147683,3,"questionnaire-pgy1",NA,32380886,9577484,NA,"complete",NA,"653274e0a37f4de4ab6817c9","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent (without video or audio) (Clone)",2,"HIGJFAEBDC","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF56321"
"1",1697805633650,"20/10/2023 12:40:33",1697809233650,1,"20/10/2023 14:40:33",147683,3,"questionnaire-pgy1",NA,32380904,9577503,NA,"complete",NA,"653274d8009590ef598fd9dd","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x563",NA,NA,0,"Consent (without video or audio) (Clone)",2,"IJHAGBFCED","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF38095"
"1",1697805801135,"20/10/2023 12:43:21",1697809401135,1,"20/10/2023 14:43:21",147683,3,"questionnaire-pgy1",NA,32380978,9577571,NA,"complete",NA,"653275d5b71ece46e5b2b22f","computer","Desktop or Laptop","Linux x86_64","Chrome 117.0.0.0","412x915","980x1938",NA,NA,0,"Consent (without video or audio) (Clone)",2,"ABJCIDHEGF","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF57890"
"1",1697805922497,"20/10/2023 12:45:22",1697809522497,1,"20/10/2023 14:45:22",147683,3,"questionnaire-pgy1",NA,32381042,9577621,NA,"complete",NA,"653275a907f258f0133c73a0","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x969",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF67412"
"1",1697805950707,"20/10/2023 12:45:50",1697809550707,1,"20/10/2023 14:45:50",147683,3,"questionnaire-pgy1",NA,32381052,9577632,NA,"complete",NA,"6532766f7437bf7e1831323b","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x595",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF46237"
"1",1697815053865,"20/10/2023 15:17:33",1697818653865,1,"20/10/2023 17:17:33",147683,3,"questionnaire-pgy1",NA,32384188,9582054,NA,"complete",NA,"653299da3bfc21d6421e75f1","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","2048x1152","2048x1006",NA,NA,0,"Consent (without video or audio) (Clone)",2,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF14083"
"1",1698404156354,"27/10/2023 10:55:56",1698407756354,1,"27/10/2023 12:55:56",147683,3,"questionnaire-pgy1",NA,32527772,9626905,NA,"complete",NA,"653b96f7a7133e760517252f","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x715",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF10753"
"1",1698404520294,"27/10/2023 11:02:00",1698408120294,1,"27/10/2023 13:02:00",147683,3,"questionnaire-pgy1",NA,32528047,9626957,NA,"complete",NA,"653b98889792ce22f72289d5","computer","Desktop or Laptop","Mac OS 10.15.1","Chrome 108.0.0.0","1440x900","1440x821",NA,NA,0,"Consent (without video or audio) (Clone)",2,"FGEHDICJBA","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF08085"
"1",1698404656412,"27/10/2023 11:04:16",1698408256412,1,"27/10/2023 13:04:16",147683,3,"questionnaire-pgy1",NA,32528156,9626978,NA,"complete",NA,"653b99151d74d8d5110a1af1","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent (without video or audio) (Clone)",2,"GHFIEJDACB","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF69892"
"1",1698404903553,"27/10/2023 11:08:23",1698408503553,1,"27/10/2023 13:08:23",147683,3,"questionnaire-pgy1",NA,32528350,9627011,NA,"complete",NA,"653b9a1431eca6ab956f7067","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x739",NA,NA,0,"Consent (without video or audio) (Clone)",2,"JAIBHCGDFE","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF20625"
"1",1698405039605,"27/10/2023 11:10:39",1698408639605,1,"27/10/2023 13:10:39",147683,3,"questionnaire-pgy1",NA,32528432,9627027,NA,"complete",NA,"653b98f50551989304b5c57a","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5","820x1180","820x1073",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF83022"
"1",1698405135309,"27/10/2023 11:12:15",1698408735309,1,"27/10/2023 13:12:15",147683,3,"questionnaire-pgy1",NA,32528478,9627036,NA,"complete",NA,"653b9b099570bcbdf8f677b6","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent (without video or audio) (Clone)",2,"ABJCIDHEGF","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF48951"
"1",1698405285297,"27/10/2023 11:14:45",1698408885297,1,"27/10/2023 13:14:45",147683,3,"questionnaire-pgy1",NA,32528577,9627055,NA,"complete",NA,"653b9b91fc6155220cdbeeff","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF59066"
"1",1698405336905,"27/10/2023 11:15:36",1698412536905,2,"27/10/2023 15:15:36",147683,3,"questionnaire-pgy1",NA,32528609,9627063,NA,"complete",NA,"653b9a6d27a11e1a71e3863b","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1920x1080","1912x976",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF75783"
"1",1698405381945,"27/10/2023 11:16:21",1698408981945,1,"27/10/2023 13:16:21",147683,3,"questionnaire-pgy1",NA,32528627,9627067,NA,"complete",NA,"653b9bf465a41b0a85fdbf9a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x707",NA,NA,0,"Consent (without video or audio) (Clone)",2,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF06979"
"1",1698405545494,"27/10/2023 11:19:05",1698409145494,1,"27/10/2023 13:19:05",147683,3,"questionnaire-pgy1",NA,32528732,9627085,NA,"complete",NA,"653b9c97254098f975d05ec8","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1707x795",NA,NA,0,"Consent (without video or audio) (Clone)",2,"FGEHDICJBA","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF09587"
