"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1699290446513,"06/11/2023 17:07:26",1699290446513,0,"06/11/2023 17:07:26",150440,6,"questionnaire-pgy1",NA,32747219,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"Consent (without video or audio) (Clone)",2,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF31306"
"1",1699291124476,"06/11/2023 17:18:44",1699291124476,0,"06/11/2023 17:18:44",150440,6,"questionnaire-pgy1",NA,32747606,9689563,NA,"complete",NA,"65491fe7bf070a5a4f1860e2","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x642",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF86350"
"1",1699291351852,"06/11/2023 17:22:31",1699291351852,0,"06/11/2023 17:22:31",150440,6,"questionnaire-pgy1",NA,32747797,9689627,NA,"complete",NA,"654920b672f8f0b8d9219fd2","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1440x960","1392x834",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF93485"
"1",1699291503933,"06/11/2023 17:25:03",1699291503933,0,"06/11/2023 17:25:03",150440,6,"questionnaire-pgy1",NA,32747861,9689646,NA,"complete",NA,"654921342516b994de3f9f0e","tablet","Apple iPad","iOS 16.5","Chrome 116.0.5845.177","810x1080","810x965",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF70813"
"1",1699291548978,"06/11/2023 17:25:48",1699291548978,0,"06/11/2023 17:25:48",150440,6,"questionnaire-pgy1",NA,32747897,9689654,NA,"complete",NA,"6549218ea2301d20c2c9e1ff","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (without video or audio) (Clone)",2,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF86378"
"1",1699291579187,"06/11/2023 17:26:19",1699291579187,0,"06/11/2023 17:26:19",150440,6,"questionnaire-pgy1",NA,32747925,9689663,NA,"complete",NA,"654921b4e5e583cfb88fe018","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent (without video or audio) (Clone)",2,"FGEHDICJBA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF66344"
"1",1699291620689,"06/11/2023 17:27:00",1699291620689,0,"06/11/2023 17:27:00",150440,6,"questionnaire-pgy1",NA,32747950,9689668,NA,"complete",NA,"65492106b22f0178f57b0066","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x732",NA,NA,0,"Consent (without video or audio) (Clone)",2,"GHFIEJDACB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF60832"
"1",1699291855864,"06/11/2023 17:30:55",1699291855864,0,"06/11/2023 17:30:55",150440,6,"questionnaire-pgy1",NA,32748197,9689703,NA,"complete",NA,"6549212338759131b91a7191","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.1.2","1440x900","1440x837",NA,NA,0,"Consent (without video or audio) (Clone)",2,"JAIBHCGDFE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF79935"
"1",1699292004255,"06/11/2023 17:33:24",1699292004255,0,"06/11/2023 17:33:24",150440,6,"questionnaire-pgy1",NA,32748325,9689725,NA,"complete",NA,"6549235a90dc221dcf738816","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1922x1002",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF35697"
"1",1699292047425,"06/11/2023 17:34:07",1699292047425,0,"06/11/2023 17:34:07",150440,6,"questionnaire-pgy1",NA,32748376,9689737,NA,"complete",NA,"6549233dade4fb4950ad28ec","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.76","1920x1080","1856x949",NA,NA,0,"Consent (without video or audio) (Clone)",2,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF37035"
