"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","2023-11-06T17:07:07.362000Z","2023-11-06T18:03:36.754000Z","2023-11-08T10:38:01.401000Z","2023-11-06T18:03:37.248214Z",3390,"C6UC3A24",57,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF31306"
"2","APPROVED","2023-11-06T17:18:38.041000Z","2023-11-06T18:14:31.548000Z","2023-11-08T10:38:01.538000Z","2023-11-06T18:14:31.982389Z",3354,"C6UC3A24",135,"Bengali, English, Hindi","No","22","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","SUPPRF86350"
"3","APPROVED","2023-11-06T17:22:00.322000Z","2023-11-06T18:24:52.756000Z","2023-11-08T10:38:01.850000Z","2023-11-06T18:24:53.262622Z",3773,"C6UC3A24",382,"Arabic, English, Pashto, Urdu","No","21","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF93485"
"4","APPROVED","2023-11-06T17:26:07.534000Z","2023-11-06T18:42:01.332000Z","2023-11-08T10:38:02.045000Z","2023-11-06T18:42:01.795511Z",4554,"C6UC3A24",35,"English","No","22","Female","Other","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF60832"
"5","APPROVED","2023-11-06T17:26:30.096000Z","2023-11-06T18:08:25.238000Z","2023-11-08T10:38:02.230000Z","2023-11-06T18:08:25.674010Z",2516,"C6UC3A24",781,"English","No","24","Female","Black","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","SUPPRF79935"
"6","APPROVED","2023-11-06T17:24:08.174000Z","2023-11-06T18:12:03.988000Z","2023-11-08T10:38:02.412000Z","2023-11-06T18:12:04.403178Z",2876,"C6UC3A24",1068,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","SUPPRF70813"
"7","APPROVED","2023-11-06T17:25:37.894000Z","2023-11-06T18:37:16.084000Z","2023-11-08T10:38:02.598000Z","2023-11-06T18:37:16.603781Z",4299,"C6UC3A24",953,"English","No","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF86378"
"8","APPROVED","2023-11-06T17:34:54.996000Z","2023-11-06T18:32:06.073000Z","2023-11-08T10:38:02.791000Z","2023-11-06T18:32:06.572060Z",3432,"C6UC3A24",0,"English","No","20","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF88148"
"9","APPROVED","2023-11-06T17:26:12.239000Z","2023-11-06T18:04:31.641000Z","2023-11-08T10:38:02.940000Z","2023-11-06T18:04:32.151267Z",2300,"C6UC3A24",454,"English, Polish","No","23","Male","White","Poland","United Kingdom","Poland","Polish","No","Full-Time","SUPPRF66344"
"10","APPROVED","2023-11-06T17:32:56.600000Z","2023-11-06T18:26:33.505000Z","2023-11-08T10:38:03.138000Z","2023-11-06T18:26:33.993827Z",3217,"C6UC3A24",336,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF37035"
