"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1696933941774,"10/10/2023 10:32:21",1696937541774,1,"10/10/2023 12:32:21",146524,3,"questionnaire-pgy1",NA,32128683,9500282,NA,"complete",NA,"652535a4bc4e0028590efed3","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF18834"
"1",1696934162960,"10/10/2023 10:36:02",1696937762960,1,"10/10/2023 12:36:02",146524,3,"questionnaire-pgy1",NA,32128793,9500308,NA,"complete",NA,"6525370fbf00cac6004acd33","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x923",NA,NA,0,"Consent (without video or audio) (Clone)",2,"ABJCIDHEGF","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF41746"
"1",1696934836109,"10/10/2023 10:47:16",1696938436109,1,"10/10/2023 12:47:16",146524,3,"questionnaire-pgy1",NA,32129165,9500402,NA,"complete",NA,"652539b71e0db3dbdaacb9e5","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.3","1440x900","1440x738",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF51534"
"1",1696935025091,"10/10/2023 10:50:25",1696938625091,1,"10/10/2023 12:50:25",146524,3,"questionnaire-pgy1",NA,32129303,9500441,NA,"complete",NA,"65253a72b3fbf3fd02adeec4","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x782",NA,NA,0,"Consent (without video or audio) (Clone)",2,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF77371"
"1",1696935045839,"10/10/2023 10:50:45",1696938645839,1,"10/10/2023 12:50:45",146524,3,"questionnaire-pgy1",NA,32129352,9500459,NA,"complete",NA,"65253a7af19dbb56db1412ee","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x941",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF71510"
"1",1696935278337,"10/10/2023 10:54:38",1696938878337,1,"10/10/2023 12:54:38",146524,3,"questionnaire-pgy1",NA,32129489,9500529,NA,"complete",NA,"65253b77ca2f853bab081779","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2560x1440","2560x1323",NA,NA,0,"Consent (without video or audio) (Clone)",2,"FGEHDICJBA","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF20648"
"1",1696935911793,"10/10/2023 11:05:11",1696939511793,1,"10/10/2023 13:05:11",146524,3,"questionnaire-pgy1",NA,32129841,9500616,NA,"complete",NA,"65253ded783624af1fcb11c5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x763",NA,NA,0,"Consent (without video or audio) (Clone)",2,"GHFIEJDACB","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF43420"
"1",1696966004715,"10/10/2023 19:26:44",1696940804715,-7,"10/10/2023 05:26:44",146524,3,"questionnaire-pgy1",NA,32130474,9500890,NA,"complete",NA,"6525413e21cee3583ea1944f","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1366x768",NA,NA,0,"Consent (without video or audio) (Clone)",2,"HIGJFAEBDC","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF62013"
"1",1696937365107,"10/10/2023 11:29:25",1696940965107,1,"10/10/2023 13:29:25",146524,3,"questionnaire-pgy1",NA,32130594,9500967,NA,"complete",NA,"65254394162cd2b6b1bf695e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x783",NA,NA,0,"Consent (without video or audio) (Clone)",2,"IJHAGBFCED","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF54374"
"1",1696938784942,"10/10/2023 11:53:04",1696942384942,1,"10/10/2023 13:53:04",146524,3,"questionnaire-pgy1",NA,32131433,9501291,NA,"complete",NA,"652548d7631d9ec0b489b032","computer","Desktop or Laptop","Windows 10","Firefox 118.0","2560x1440","2560x1279",NA,NA,0,"Consent (without video or audio) (Clone)",2,"JAIBHCGDFE","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF96180"
"1",1696939900920,"10/10/2023 12:11:40",1696943500920,1,"10/10/2023 14:11:40",146524,3,"questionnaire-pgy1",NA,32132123,9501483,NA,"complete",NA,"65254d7dd9cdb856b589b0b6","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1920x1080","1872x966",NA,NA,0,"Consent (without video or audio) (Clone)",2,"ABJCIDHEGF","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF30203"
"1",1696961678921,"10/10/2023 18:14:38",1696947278921,-4,"10/10/2023 10:14:38",146524,3,"questionnaire-pgy1",NA,32135149,9502306,NA,"complete",NA,"65255c3b73b95dcd70f191c7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x733",NA,NA,0,"Consent (without video or audio) (Clone)",2,"BCADJEIFHG","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF16716"
"1",1696976853130,"10/10/2023 22:27:33",1696951653130,-7,"10/10/2023 08:27:33",146524,3,"questionnaire-pgy1",NA,32139553,9504121,NA,"complete",NA,"65256d3f9efa642c778e45a5","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent (without video or audio) (Clone)",2,"CDBEAFJGIH","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF51230"
"1",1696969896517,"10/10/2023 20:31:36",1696951896517,-5,"10/10/2023 10:31:36",146524,3,"questionnaire-pgy1",NA,32139687,9504175,NA,"complete",NA,"65256e38e4a1b045d3bb578f","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x739",NA,NA,0,"Consent (without video or audio) (Clone)",2,"DECFBGAHJI","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF43536"
"1",1696954557349,"10/10/2023 16:15:57",1696958157349,1,"10/10/2023 18:15:57",146524,3,"questionnaire-pgy1",NA,32144918,9505922,NA,"complete",NA,"6525869bc00f58b9070f40b8","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","1440x900","1440x820",NA,NA,0,"Consent (without video or audio) (Clone)",2,"EFDGCHBIAJ","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF95014"
"1",1696954775535,"10/10/2023 16:19:35",1696958375535,1,"10/10/2023 18:19:35",146524,3,"questionnaire-pgy1",NA,32144999,9505942,NA,"complete",NA,"6525870609de4876edb91632","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1517x723",NA,NA,0,"Consent (without video or audio) (Clone)",2,"FGEHDICJBA","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF13138"
"1",1696956027652,"10/10/2023 16:40:27",1696959627652,1,"10/10/2023 18:40:27",146524,3,"questionnaire-pgy1",NA,32146046,9506207,NA,"complete",NA,"65258c7731597a2159114669","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (without video or audio) (Clone)",2,"GHFIEJDACB","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF98941"
"1",1696978595119,"10/10/2023 22:56:35",1696960595119,-5,"10/10/2023 12:56:35",146524,3,"questionnaire-pgy1",NA,32146927,9506551,NA,"complete",NA,"65259043901872dd729558d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x783",NA,NA,0,"Consent (without video or audio) (Clone)",2,"HIGJFAEBDC","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF77780"
"1",1696963885850,"10/10/2023 18:51:25",1696967485850,1,"10/10/2023 20:51:25",146524,3,"questionnaire-pgy1",NA,32151402,9508025,NA,"complete",NA,"6525ab1efc2e393d8646fb2f","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x689",NA,NA,0,"Consent (without video or audio) (Clone)",2,"IJHAGBFCED","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF94218"
"1",1696968996533,"10/10/2023 20:16:36",1696972596533,1,"10/10/2023 22:16:36",146524,3,"questionnaire-pgy1",NA,32153447,9508609,NA,"complete",NA,"6525bf28bbce74ddb7274f04","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x739",NA,NA,0,"Consent (without video or audio) (Clone)",2,"JAIBHCGDFE","Passed AC2",NA,"1","1","1","1","1","1","1","1","1","1","1","SUPPRF69479"
