"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1701278766113,"29/11/2023 17:26:06",1701278766113,0,"29/11/2023 17:26:06",154366,3,"questionnaire-xamc",NA,33302560,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2","SUPPRF08618"
"1",1701281033030,"29/11/2023 18:03:53",1701281033030,0,"29/11/2023 18:03:53",154366,3,"questionnaire-xamc",NA,33303383,9860753,NA,"complete",NA,"65677c149b3b22c39c0b7b43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1512x982","1512x824",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1","2","SUPPRF47263"
"1",1701281711499,"29/11/2023 18:15:11",1701281711499,0,"29/11/2023 18:15:11",154366,3,"questionnaire-xamc",NA,33303675,9860848,NA,"complete",NA,"65677f11e0560086db012bb5","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2",NA,"1","2","SUPPRF80291"
"1",1701281878453,"29/11/2023 18:17:58",1701281878453,0,"29/11/2023 18:17:58",154366,3,"questionnaire-xamc",NA,33303722,9860857,NA,"complete",NA,"65677eb013b2b84a4b31ef67","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1361",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2",NA,"1","2","SUPPRF42417"
"1",1701283015384,"29/11/2023 18:36:55",1701283015384,0,"29/11/2023 18:36:55",154366,3,"questionnaire-xamc",NA,33304276,9861027,NA,"complete",NA,"6567847a53d73d303b831be3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2",NA,"1","2","SUPPRF79567"
"1",1701283834393,"29/11/2023 18:50:34",1701262234393,-6,"29/11/2023 06:50:34",154366,3,"questionnaire-xamc",NA,33304642,9861115,NA,"complete",NA,"6567879ce5d47bbeacb317a6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1416x677",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2",NA,"1","2","SUPPRF79528"
"1",1701284966684,"29/11/2023 19:09:26",1701263366684,-6,"29/11/2023 07:09:26",154366,3,"questionnaire-xamc",NA,33305575,9861333,NA,"complete",NA,"65678bbcbfc497603a098e9f","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1442x757","1440x753",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2",NA,"1","2","SUPPRF16774"
"1",1701284964903,"29/11/2023 19:09:24",1701284964903,0,"29/11/2023 19:09:24",154366,3,"questionnaire-xamc",NA,33305581,9861336,NA,"complete",NA,"65678c1c21dd37d57dd05676","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1","2","SUPPRF39307"
"1",1701285645682,"29/11/2023 19:20:45",1701256845682,-8,"29/11/2023 03:20:45",154366,3,"questionnaire-xamc",NA,33306058,9861419,NA,"complete",NA,"65678e9eab63379c5388dfa4","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1927x943","1920x941",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2",NA,"1","2","SUPPRF50800"
"1",1701286593273,"29/11/2023 19:36:33",1701268593273,-5,"29/11/2023 09:36:33",154366,3,"questionnaire-xamc",NA,33306588,9861535,NA,"complete",NA,"656791bfcfaa2c35b71a697e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2",NA,"1","2","SUPPRF59946"
"1",1701286831559,"29/11/2023 19:40:31",1701286831559,0,"29/11/2023 19:40:31",154366,3,"questionnaire-xamc",NA,33306796,9861596,NA,"complete",NA,"65679361965e6ca688f5576f","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","432x984","852x1691",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2",NA,"1","2","SUPPRF47480"
"1",1701287065545,"29/11/2023 19:44:25",1701290665545,1,"29/11/2023 21:44:25",154366,3,"questionnaire-xamc",NA,33306997,9861681,NA,"complete",NA,"6567932ae5d47bbeacb31a17","computer","Desktop or Laptop","Mac OS 10.15.4","Chrome 88.0.4324.96","1440x900","1209x713",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2",NA,"1","2","SUPPRF13830"
"1",1701287424740,"29/11/2023 19:50:24",1701291024740,1,"29/11/2023 21:50:24",154366,3,"questionnaire-xamc",NA,33307195,9861527,NA,"rejected - time limit reached",NA,"6567879deeb351263aa57beb","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2",NA,"1","2","SUPPRF09833"
"1",1701287553773,"29/11/2023 19:52:33",1701269553773,-5,"29/11/2023 09:52:33",154366,3,"questionnaire-xamc",NA,33307373,9861729,NA,"complete",NA,"656794a49c446679ee5a9458","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2","SUPPRF78219"
