"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","2023-11-29T17:24:39.938000Z","2023-11-29T18:22:11.123000Z","2023-12-06T11:27:02.429000Z","2023-11-29T18:22:11.616287Z",3452,"C6UC3A24",320,"English, Spanish","No","22","Female","Other","United Kingdom","United Kingdom","United Kingdom","Spanish","DATA_EXPIRED","DATA_EXPIRED","SUPPRF08618"
"2","APPROVED","2023-11-29T18:00:35.018000Z","2023-11-29T18:46:26.610000Z","2023-12-04T11:32:26.406000Z","2023-11-29T18:46:27.113196Z",2752,"NOCODE",360,"English","No","22","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF47263"
"3","APPROVED","2023-11-29T18:10:59.388000Z","2023-11-29T19:12:27.003000Z","2023-12-06T11:27:02.746000Z","2023-11-29T19:12:27.509593Z",3688,"C6UC3A24",18,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF42417"
"4","APPROVED","2023-11-29T18:12:41.184000Z","2023-11-29T19:30:18.161000Z","2023-12-06T11:27:02.918000Z","2023-11-29T19:30:18.785738Z",4657,"C6UC3A24",24,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","Welsh","No","Full-Time","SUPPRF80291"
"5","APPROVED","2023-11-29T18:35:42.102000Z","2023-11-29T19:15:58.343000Z","2023-12-06T11:27:03.101000Z","2023-11-29T19:15:58.830138Z",2417,"C6UC3A24",622,"English, Somali","No","23","Male","Black","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF79567"
"6","APPROVED","2023-11-29T18:49:05.038000Z","2023-11-29T19:36:06.585000Z","2023-12-06T11:27:03.274000Z","2023-11-29T19:36:07.471878Z",2822,"C6UC3A24",1736,"English","No","23","Female","White","United States","United States","United States","English","No","DATA_EXPIRED","SUPPRF79528"
"7","APPROVED","2023-11-29T18:58:41.360000Z","2023-11-29T21:02:38.212000Z","2023-12-04T11:33:26.320000Z","2023-11-29T21:02:38.741527Z",7437,"NOCODE",37,"English","No","24","Male","Black","Nigeria","United Kingdom","Nigeria","English","No","Part-Time","SUPPRF09833"
"8","APPROVED","2023-11-29T19:08:04.346000Z","2023-11-29T20:14:08.912000Z","2023-12-06T11:27:03.466000Z","2023-11-29T20:14:09.355616Z",3965,"C6UC3A24",1585,"English, Spanish","No","25","Male","Other","United States","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF16774"
"9","APPROVED","2023-11-29T19:08:20.338000Z","2023-11-29T20:08:19.752000Z","2023-12-06T11:27:03.644000Z","2023-11-29T20:08:20.275988Z",3600,"C6UC3A24",1,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF39307"
"10","APPROVED","2023-11-29T19:18:58.011000Z","2023-11-29T20:11:59.059000Z","2023-12-06T11:27:03.823000Z","2023-11-29T20:11:59.615872Z",3182,"C6UC3A24",23,"English","No","25","Male","Asian","United States","United States","United States","English","No","Other","SUPPRF50800"
