"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1701279470581,"29/11/2023 17:37:50",1701279470581,0,"29/11/2023 17:37:50",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF08618"
"2",1701279474446,"29/11/2023 17:37:54",1701279474446,0,"29/11/2023 17:37:54",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3475.19399998808,3466.528,3475.19399998808,3475.19399998808,3466.528,3475.19399998808,1,3475.19399998808,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF08618"
"3",1701279477695,"29/11/2023 17:37:57",1701279477695,0,"29/11/2023 17:37:57",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",3258.26600001192,3249.87,3258.26600001192,3258.26600001192,3249.87,3258.26600001192,1,3258.26600001192,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF08618"
"4",1701279480598,"29/11/2023 17:38:00",1701279480598,0,"29/11/2023 17:38:00",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",2910.99600000596,2900.641,2910.99600000596,2910.99600000596,2900.641,2910.99600000596,1,2910.99600000596,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF08618"
"5",1701279483112,"29/11/2023 17:38:03",1701279483112,0,"29/11/2023 17:38:03",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",2524.55499999404,2516.566,2524.55499999404,2524.55499999404,2516.566,2524.55499999404,1,2524.55499999404,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF08618"
"6",1701279486162,"29/11/2023 17:38:06",1701279486162,0,"29/11/2023 17:38:06",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",5,"continue","",3058.48899999404,3049.878,3058.48899999404,3058.48899999404,3049.878,3058.48899999404,1,3058.48899999404,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF08618"
"7",1701279486168,"29/11/2023 17:38:06",1701279486168,0,"29/11/2023 17:38:06",154366,3,"task-psw4",NA,33302805,9860482,NA,"complete",NA,"656773d7099cebee231fd9fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1092x681",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF08618"
"1",1701281557629,"29/11/2023 18:12:37",1701281557629,0,"29/11/2023 18:12:37",154366,3,"task-psw4",NA,33303632,9860753,NA,"complete",NA,"65677c149b3b22c39c0b7b43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1512x982","1512x824",NA,NA,0,"Task",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF47263"
"2",1701281561796,"29/11/2023 18:12:41",1701281561796,0,"29/11/2023 18:12:41",154366,3,"task-psw4",NA,33303632,9860753,NA,"complete",NA,"65677c149b3b22c39c0b7b43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1512x982","1512x824",NA,NA,0,"Task",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4131.91400000074,4124.835,4131.91400000074,4131.91400000074,4124.835,4131.91400000074,1,4131.91400000074,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF47263"
"3",1701281578478,"29/11/2023 18:12:58",1701281578478,0,"29/11/2023 18:12:58",154366,3,"task-psw4",NA,33303632,9860753,NA,"complete",NA,"65677c149b3b22c39c0b7b43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1512x982","1512x824",NA,NA,0,"Task",1,"DECFBGAHJI","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",16687.566,16679.233,16687.566,16687.566,16679.233,16687.566,1,16687.566,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF47263"
